Date,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2014-09-30,2013-12-31,2013-09-30,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31
Depreciation & Amortization,60682.0,200200.0,32379.0,48700.0,15198.0,7200.0,233179.0,160300.0,230906.0,15300.0,235260.0,675300.0,207598.0,4209700.0,170271.0,345300.0,280032.0
Stock-based compensation,4597188.0,1588300.0,5051838.0,2086000.0,3328400.0,758400.0,3708801.0,241700.0,6521812.0,1008700.0,5108666.0,1257300.0,3181360.0,1605400.0,35196.0,1302100.0,0.0
Operating Cash Flow,-5652001.0,-9038680.0,24195721.0,-4792100.0,-10032913.0,-2978400.0,-6959183.0,-2114800.0,-8735479.0,-3271100.0,-8389038.0,-3036200.0,-6449388.0,-3565700.0,-6028254.0,-4910600.0,-3715506.0
Capital Expenditure,-93545.0,55200.0,-90059.0,127900.0,-10369.0,4000.0,-4731.0,0.0,-64192.0,0.0,-8508.0,0.0,-7385.0,0.0,-1171.0,0.0,-5720.0
Acquisitions and disposals,0.0,-306600.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
Investment purchases and sales,5970188.0,0.0,-31903450.0,-190000.0,-14000000.0,0.0,46728.0,0.0,0.0,0.0,591422.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,5876643.0,-361800.0,-32060709.0,-479500.0,-14010369.0,-82300.0,41997.0,1500.0,-64192.0,-94000.0,582914.0,1400.0,-1507385.0,-21600.0,-1171.0,-14900.0,-5720.0
Issuance (repayment) of debt,4127533.0,-37000.0,27974961.0,-0.0,2552781.0,-0.0,6730324.0,-0.0,1945700.0,-0.0,2809472.0,-0.0,6482363.0,-26200.0,4883373.0,-94100.0,1454454.0
Issuance (buybacks) of shares,-9876350.0,-2324265.0,1141600.0,-2467700.0,22341156.0,-318200.0,102885.0,-432100.0,3900135.0,450400.0,8325177.0,1685200.0,1573277.0,-7700.0,1204046.0,2902000.0,2124294.0
Dividend payments,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
Financing Cash Flow,-5700522.0,7206180.0,29116561.0,10402400.0,24893937.0,2946800.0,6833209.0,1346400.0,5720835.0,3332100.0,11059649.0,4322400.0,8055640.0,4218600.0,6087419.0,3999400.0,3578748.0
Effect of forex changes on cash,-449.0,0.0,-12850.0,0.0,-5656.0,0.0,0.0,0.0,-3446.0,0.0,-17748.0,0.0,-9728.0,0.0,-2986.0,0.0,0.0
Net cash flow / Change in cash,-5476329.0,-2194300.0,21238723.0,5130800.0,844999.0,-113900.0,-83977.0,-808500.0,-3082282.0,-33000.0,3235777.0,1265900.0,89139.0,18200.0,55008.0,-926100.0,-142478.0
Free Cash Flow,-5745546.0,-9093880.0,24105662.0,-4920000.0,-10043282.0,-2982400.0,-6963914.0,-2114800.0,-8799671.0,-3271100.0,-8397546.0,-3036200.0,-6456773.0,-3565700.0,-6029425.0,-4910600.0,-3721226.0
Net Cash/Marketcap,5.1393,0.0,0.141,0.0,0.047,0.0,-0.9363,0.0,-0.0468,0.0,0.0188,0.0,-8.4565,0.0,0.0,0.0,0.0
