Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,573741000.0,543221000.0,464276000.0,457374000.0,290136000.0,179887000.0
Revenue Growth,0.0561833949718439,0.170038942353255,0.0150904948685321,0.576412441062123,0.612879196384397,
Cost of Revenue,504300000.0,464419000.0,384903000.0,395753000.0,270029000.0,164547000.0
Gross Profit,69441000.0,78802000.0,79373000.0,61621000.0,20107000.0,15340000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,27641000.0,30934000.0,29054000.0,18360000.0,14368000.0,16150000.0
Operating Expenses,27641000.0,30934000.0,29054000.0,18360000.0,14708000.0,16373000.0
Operating Income,41800000.0,47868000.0,37942000.0,41180000.0,5399000.0,-1033000.0
Interest Expense,36471000.0,31744000.0,15642000.0,10551000.0,8724000.0,5460000.0
Earnings before Tax,10431000.0,14373000.0,17723000.0,25755000.0,-3161000.0,-5416000.0
Income Tax Expense,0.0,0.0,0.0,2623000.0,15000.0,23000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,-215000.0,-58000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,6952000.0,17513000.0,21377000.0,23174000.0,-3176000.0,-5439000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,6952000.0,17513000.0,21377000.0,23174000.0,-3176000.0,-5439000.0
EPS,0.04,0.61,0.91,1.58,,
EPS Diluted,0.04,0.61,0.91,1.58,,
Weighted Average Shs Out,21533000.0,14403000.0,13002000.0,11988000.0,23810276.0,
Weighted Average Shs Out (Dil),21533000.0,14403000.0,13002000.0,11988000.0,23810276.0,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.1210319639,0.14506434766,0.170960807795,0.134727815748,0.0693,0.0853
EBITDA Margin,0.146764829427,0.164297771993,0.146251367721,0.161213798773,0.085,0.066
EBIT Margin,0.0728551733273,0.0881188319303,0.0817229406646,0.0900357256862,0.0192,0.0002
Profit Margin,0.0121169656692,0.0322391807386,0.0460437326073,0.0506675062422,-0.011,-0.03
Free Cash Flow margin,0.0992102708365,0.107416686763,-0.0291141476191,0.126248977861,0.0446,-0.7354
EBITDA,84205000.0,89250000.0,67901000.0,73735000.0,24572000.0,11931000.0
EBIT,41800000.0,47868000.0,37942000.0,41180000.0,5563000.0,44000.0
Consolidated Income,6952000.0,17513000.0,21377000.0,23174000.0,-3391000.0,-5497000.0
Earnings Before Tax Margin,0.018180677344,0.0264588445587,0.0381734140899,0.0563105904577,-0.0109,-0.0301
Net Profit Margin,0.0121169656692,0.0322391807386,0.0460437326073,0.0506675062422,-0.0109,-0.0302
