Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,1341000.0,1360000.0,1437000.0,
Stock-based compensation,7121000.0,1860000.0,1956000.0,
Operating Cash Flow,-1897000.0,-1672000.0,5485000.0,
Capital Expenditure,3668000.0,-1185000.0,-1083000.0,
Acquisitions and disposals,-0.0,0.0,0.0,
Investment purchases and sales,0.0,0.0,0.0,
Investing Cash flow,-3668000.0,-1185000.0,-1083000.0,
Issuance (repayment) of debt,-2625000.0,500000.0,-9908000.0,
Issuance (buybacks) of shares,-41634000.0,-7680000.0,-18781000.0,
Dividend payments,-0.0,0.0,0.0,
Financing Cash Flow,44836000.0,-7180000.0,6811000.0,
Effect of forex changes on cash,0.0,0.0,0.0,
Net cash flow / Change in cash,41884000.0,-10037000.0,11213000.0,
Free Cash Flow,-5565000.0,-2857000.0,4402000.0,
Net Cash/Marketcap,0.0,-0.0103,-0.0103,-0.0103
