Date,2018-12-28,2017-12-29,2016-12-30,2016-01-01,2015-01-02,2014-01-03,2012-12-28,2011-12-30,2010-12-31,2010-01-01
Cash and cash equivalents,127059000.0,124794000.0,114967000.0,125751000.0,129490000.0,122948000.0,113268000.0,84439000.0,106549000.0,67895000.0
Short-term investments,81495000.0,71604000.0,58755000.0,45842000.0,24913000.0,33171000.0,20881000.0,25260000.0,0.0,7490000.0
Cash and short-term investments,208554000.0,196398000.0,173722000.0,171593000.0,154403000.0,156119000.0,134149000.0,109699000.0,106549000.0,75385000.0
Receivables,105814000.0,110100000.0,87409000.0,88577000.0,86368000.0,76980000.0,85361000.0,73065000.0,72034000.0,62662000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,326612000.0,315509000.0,274044000.0,272786000.0,255498000.0,251684000.0,235444000.0,198578000.0,194594000.0,148330000.0
Property, Plant & Equipment Net,46103000.0,35014000.0,36710000.0,28485000.0,28264000.0,28721000.0,27446000.0,27215000.0,27267000.0,29115000.0
Goodwill and Intangible Assets,8607000.0,8607000.0,8607000.0,8607000.0,8607000.0,8607000.0,8607000.0,8607000.0,8607000.0,8607000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,34090000.0,30437000.0,42166000.0,39456000.0,35614000.0,29237000.0,26016000.0,21985000.0,18366000.0,14970000.0
Total non-current assets,142324000.0,124080000.0,129700000.0,114721000.0,109801000.0,92482000.0,79973000.0,70210000.0,64298000.0,58151000.0
Total assets,468936000.0,439589000.0,403744000.0,387507000.0,365299000.0,344166000.0,315417000.0,268788000.0,258892000.0,206481000.0
Payables,12283000.0,14741000.0,10073000.0,10580000.0,8935000.0,8442000.0,10386000.0,6738000.0,9715000.0,4498000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,98304000.0,93107000.0,80236000.0,80474000.0,79345000.0,72147000.0,71771000.0,60775000.0,57734000.0,45077000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,9166000.0,8302000.0,7624000.0,7802000.0,8226000.0,6771000.0,6665000.0,5948000.0,6131000.0,4757000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,56723000.0,57394000.0,50162000.0,44229000.0,41666000.0,36960000.0,27217000.0,21298000.0,17358000.0,11333000.0
Total liabilities,155027000.0,150501000.0,130398000.0,124703000.0,121011000.0,109107000.0,98988000.0,82073000.0,75092000.0,56410000.0
Other comprehensive income,-2853000.0,-2029000.0,-3126000.0,-1805000.0,-904000.0,109000.0,-250000.0,-471000.0,-451000.0,-367000.0
Retained earnings (deficit),342024000.0,303990000.0,291243000.0,269259000.0,246961000.0,226040000.0,206057000.0,179432000.0,156086000.0,139606000.0
Total shareholders equity,313909000.0,289088000.0,273346000.0,262804000.0,244288000.0,235059000.0,216429000.0,186715000.0,183800000.0,150071000.0
Investments,81495000.0,71604000.0,58755000.0,45842000.0,24913000.0,33171000.0,20881000.0,25260000.0,0.0,7490000.0
Net Debt,-208554000.0,-196398000.0,-173722000.0,-171593000.0,-154403000.0,-156119000.0,-134149000.0,-109699000.0,-106549000.0,-75385000.0
Other Assets,12244000.0,9011000.0,12913000.0,12616000.0,14727000.0,18585000.0,15934000.0,15814000.0,16011000.0,10283000.0
Other Liabilities,86021000.0,78366000.0,70163000.0,69894000.0,70410000.0,63705000.0,61385000.0,54037000.0,48019000.0,40579000.0
