date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,6090300000.0,5764600000.0,5485100000.0,5283300000.0,4984900000.0,4579400000.0,4013600000.0,4157400000.0,3591100000.0,3328600000.0
,costOfRevenue,3925900000.0,3712200000.0,3525700000.0,3350800000.0,3180300000.0,2997500000.0,2646700000.0,2718600000.0,2421100000.0,2332100000.0
,grossProfit,2164400000.0,2052400000.0,1959400000.0,1932500000.0,1804600000.0,1581900000.0,1366900000.0,1438800000.0,1170000000.0,996500000.0
,grossProfitRatio,0.355384792210564,0.356035110848975,0.357222293121365,0.365775178392293,0.36201328010592,0.345438267021881,0.340567071955352,0.346081685668928,0.325805463507003,0.299375112659977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1281300000.0,1288200000.0,1234900000.0,1194800000.0,1129900000.0,1047600000.0,943300000.0,1043100000.0,976900000.0,903000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3800000.0,2200000.0,4000000.0,-900000.0,-1500000.0,-4300000.0,400000.0,1200000.0,1000000.0,0.0
,operatingExpenses,1323300000.0,1329600000.0,1271000000.0,1226500000.0,1158000000.0,1069200000.0,956400000.0,1056300000.0,988000000.0,917400000.0
,costAndExpenses,5249200000.0,5041800000.0,4796700000.0,4577300000.0,4338300000.0,4066700000.0,3603100000.0,3774900000.0,3409100000.0,3249500000.0
,interestExpense,83900000.0,94200000.0,74500000.0,49400000.0,49100000.0,31900000.0,10400000.0,7200000.0,8700000.0,26400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,42000000.0,41400000.0,36100000.0,31700000.0,28100000.0,21600000.0,13100000.0,13200000.0,11100000.0,14400000.0
,EBITDA,883100000.0,764200000.0,724500000.0,737700000.0,674700000.0,534300000.0,423600000.0,395700000.0,193100000.0,93500000.0
,EBITDARatio,0.145001067270906,0.132567741040142,0.132085103279794,0.139628641190165,0.135348753234769,0.116674673538018,0.10554116005581,0.095179679607447,0.0537718247890618,0.0280898876404494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,841100000.0,722800000.0,688400000.0,706000000.0,646600000.0,512700000.0,410500000.0,382500000.0,182000000.0,79100000.0
,operatingIncomeRatio,0.138104855261646,0.125385976477119,0.125503637126032,0.133628603335037,0.129711729422857,0.111957898414639,0.102277257325095,0.0920046182710348,0.0506808498788672,0.0237637445172144
,totalOtherIncomeExpensesNet,-26400000.0,-53300000.0,-76900000.0,-21800000.0,-15400000.0,-20900000.0,-8200000.0,-30400000.0,-19300000.0,-96300000.0
,incomeBeforeTax,730800000.0,575300000.0,537000000.0,634800000.0,582100000.0,459900000.0,391900000.0,344900000.0,154000000.0,-43600000.0
,incomeBeforeTaxRatio,0.119994088961135,0.0997987718141762,0.0979015879382327,0.120152177616263,0.116772653413308,0.100428003668603,0.097643013753239,0.0829605041612546,0.0428837960513492,-0.0130986000120171
,incomeTaxExpense,168800000.0,144000000.0,147000000.0,159500000.0,169700000.0,153400000.0,118300000.0,114000000.0,34300000.0,-9000000.0
,netIncome,553100000.0,431900000.0,389600000.0,472600000.0,413200000.0,315000000.0,158100000.0,229700000.0,118700000.0,-35600000.0
,netIncomeRatio,0.0908165443410013,0.0749228047045762,0.0710287870777196,0.0894516684647853,0.0828903287929547,0.0687863038826047,0.0393910703607734,0.0552508779525665,0.0330539389045139,-0.0106951871657754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,3.9632981252826,3.094826,2.772974,3.111118,2.6934,1.969907,0.999746250363475,1.37819,0.724418,-0.23
,EPSDiluted,3.9632981252826,3.06,2.66,3.05,2.61,1.88,0.950691521346963,1.34,0.71,-0.23
,weightedAverageShsOut,139555487.0,139555487.0,140498981.0,151906797.0,153412050.0,159906032.0,158140128.0,166667936.0,163855647.0,155200000.0
,weightedAverageShsOutDil,139555487.0,141300000.0,146400000.0,155800000.0,157800000.0,163000000.0,166300000.0,171300000.0,166100000.0,155200000.0
