Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,1389000.0,1380000.0,1415000.0,1476000.0,1734000.0,1071000.0,1172625.0,1060108.0,648388.0,628407.0
Stock-based compensation,1019000.0,993000.0,754000.0,631000.0,585000.0,501000.0,474758.0,426730.0,270416.0,255275.0
Operating Cash Flow,17328000.0,21892000.0,2485000.0,16110000.0,16920000.0,36496000.0,-5588032.0,9610506.0,8271329.0,-14015564.0
Capital Expenditure,-648000.0,-851000.0,-518000.0,-706000.0,-493000.0,-216000.0,-1095649.0,-540632.0,-1861211.0,-581620.0
Acquisitions and disposals,-996000.0,0.0,0.0,0.0,21375000.0,0.0,0.0,101539588.0,0.0,0.0
Investment purchases and sales,-9348000.0,-48325000.0,-59983000.0,-21299000.0,-86543000.0,120709000.0,-36433867.0,-141631217.0,23643987.0,-101672126.0
Investing Cash flow,-9924000.0,-51521000.0,-60553000.0,-22005000.0,-65661000.0,119782000.0,-38670566.0,-43066163.0,20949039.0,-102649885.0
Issuance (repayment) of debt,51275000.0,-52550000.0,14154000.0,33789000.0,4128000.0,-32400000.0,-45900000.0,62400000.0,3400000.0,-29000000.0
Issuance (buybacks) of shares,88000.0,247000.0,72000.0,-67000.0,155000.0,492000.0,5181270.0,303292.0,226053.0,275159.0
Dividend payments,-2120000.0,-1690000.0,-399000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-9314000.0,33497000.0,61586000.0,2718000.0,-5992000.0,-101045000.0,43108260.0,30940415.0,-37364152.0,128186615.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-1910000.0,3868000.0,3518000.0,-3177000.0,-54733000.0,55233000.0,-1150338.0,-2515242.0,-8143784.0,11521166.0
Free Cash Flow,16680000.0,21041000.0,1967000.0,15404000.0,16427000.0,36280000.0,-6683681.0,9069874.0,6410118.0,-14597184.0
Net Cash/Marketcap,-0.0129,0.0652,0.0652,0.0652,0.0652,0.0652,0.0652,0.0652,0.0652,0.0652
