Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,71793000.0,114423000.0,89955000.0,86954000.0,67992000.0,70643000.0,50285000.0,70296000.0,67240000.0,26777000.0
Short-term investments,378843000.0,368270000.0,379710000.0,118719000.0,119777000.0,116684000.0,105060000.0,74145000.0,71483000.0,0.0
Cash and short-term investments,450636000.0,482693000.0,469665000.0,205673000.0,187769000.0,187327000.0,155345000.0,144441000.0,138723000.0,26777000.0
Receivables,45430000.0,42736000.0,41013000.0,16406000.0,16926000.0,16689000.0,15158000.0,10842000.0,10446000.0,64980000.0
Inventories,275130000.0,276771000.0,330683000.0,93458000.0,91088000.0,77793000.0,65345000.0,44412000.0,47406000.0,34437000.0
Total current assets,789892000.0,842197000.0,892135000.0,325434000.0,300753000.0,290222000.0,241430000.0,210478000.0,204998000.0,136586000.0
Property, Plant & Equipment Net,251645000.0,230341000.0,236057000.0,112447000.0,113750000.0,108137000.0,93304000.0,73451000.0,58425000.0,47980000.0
Goodwill and Intangible Assets,1005559000.0,924964000.0,935625000.0,301790000.0,276882000.0,251241000.0,166386000.0,69695000.0,68595000.0,69731000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,13019000.0,30998000.0,35217000.0,12888000.0,9070000.0,5044000.0,1148000.0,1078000.0,0.0,0.0
Total non-current assets,1318082000.0,1220587000.0,1253068000.0,427461000.0,415870000.0,368751000.0,266262000.0,146618000.0,137448000.0,119699000.0
Total assets,2107974000.0,2062784000.0,2145203000.0,752895000.0,716623000.0,658973000.0,507692000.0,357096000.0,342446000.0,256285000.0
Payables,96928000.0,84331000.0,109354000.0,27826000.0,42559000.0,38023000.0,27938000.0,25629000.0,27730000.0,1801000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,3326000.0,3212000.0,0.0,465000.0,4111000.0
Total current liabilities,133045000.0,120571000.0,143628000.0,46175000.0,42559000.0,48761000.0,31150000.0,35405000.0,34622000.0,35291000.0
Long-term debt,590887000.0,402243000.0,456545000.0,253874000.0,222400000.0,187026000.0,110851000.0,0.0,1386000.0,5265000.0
Total debt,590887000.0,402243000.0,456545000.0,253874000.0,222400000.0,190352000.0,114063000.0,0.0,1851000.0,9376000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,55603000.0,51258000.0,62013000.0,25387000.0,17223000.0,16239000.0,13275000.0,16095000.0,14861000.0,14248000.0
Deposit Liabilities,35368000.0,32019000.0,33536000.0,14426000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,656825000.0,466880000.0,551589000.0,275338000.0,239623000.0,195853000.0,124126000.0,6319000.0,9820000.0,8555000.0
Total liabilities,789870000.0,587451000.0,695217000.0,321513000.0,282182000.0,244614000.0,155276000.0,41724000.0,44442000.0,43846000.0
Other comprehensive income,-113117000.0,-111877000.0,-119806000.0,-78410000.0,-40278000.0,-7751000.0,-6940000.0,-13463000.0,-3049000.0,-6491000.0
Retained earnings (deficit),606810000.0,494457000.0,387401000.0,643604000.0,582894000.0,497728000.0,413882000.0,333523000.0,255741000.0,198083000.0
Total shareholders equity,1318104000.0,1475333000.0,1449986000.0,431382000.0,434441000.0,414359000.0,352416000.0,315372000.0,298004000.0,212439000.0
Investments,378843000.0,368270000.0,379710000.0,118719000.0,119777000.0,116684000.0,105060000.0,74145000.0,71483000.0,0.0
Net Debt,140251000.0,-80450000.0,-13120000.0,48201000.0,34631000.0,3025000.0,-41282000.0,-144441000.0,-136872000.0,-17401000.0
Other Assets,18696000.0,39997000.0,50774000.0,9897000.0,4970000.0,8413000.0,5582000.0,10783000.0,8423000.0,10392000.0
Other Liabilities,36117000.0,36240000.0,34274000.0,18349000.0,0.0,7412000.0,0.0,9776000.0,6427000.0,29379000.0
