Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stock-based compensation,2097000.0,2258000.0,703000.0,97000.0,1061000.0,87000.0,326000.0,250000.0,2492000.0,365000.0
Operating Cash Flow,-7826000.0,-3641000.0,-2124000.0,-1862000.0,-1699000.0,-2210000.0,-2994000.0,-3226000.0,-1928000.0,-4688000.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,0.0,27381000.0,5000000.0,0.0,2182000.0,1570000.0,0.0,2566000.0,7190000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,2347000.0,27975000.0,5108000.0,497000.0,2343000.0,1570000.0,0.0,2566000.0,7190000.0,0.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
Net cash flow / Change in cash,-5479000.0,24334000.0,2984000.0,-1365000.0,644000.0,-640000.0,-2994000.0,-650000.0,5262000.0,-4664000.0
Free Cash Flow,-7826000.0,-3641000.0,-2124000.0,-1862000.0,-1699000.0,-2210000.0,-2994000.0,-3226000.0,-1928000.0,-4688000.0
Net Cash/Marketcap,0.181,0.1744,0.0611,0.0611,0.0611,0.0611,0.0611,0.0611,0.0611,0.0611
