Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,6518523.8784,6560610.6409,6294744.4204,6938684.3322,7785760.4133,8025881.9651,7894964.721,7017290.6091,5634090.9091,5324886.4802
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,3673082.4891,1636487.3035,-3344564.4348,-4151902.6344,-3762835.0016,509396.637,7448845.4137,-2223667.5127,14935606.0606,1170060.0557
Capital Expenditure,-668451.5195,-486245.4655,-1432541.3967,-239716.5306,-854698.0949,-2176228.1569,-34071039.1276,-2877062.1827,5602272.7273,-800937.4542
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-664399.4211,-442261.185,-1493160.5472,3637344.0148,-1701323.8618,-5286679.8549,-13692912.1232,-18928458.1218,7880606.0606,-828621.6493
Issuance (repayment) of debt,-5981476.1216,-4075120.919,8657019.4384,1345401.3249,5056183.4033,5039235.0808,-3239576.6517,1031250.0,-936212.1212,1232605.8298
Issuance (buybacks) of shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-5981476.1216,-4075120.919,8657019.4384,1345401.3249,5056183.4033,5863501.4837,-32392.5593,1031250.0,-936212.1212,1232605.8298
Effect of forex changes on cash,-291461.6498,266021.7654,384305.2556,-8935.4491,-5004.8434,-2802.5058,-4169.3393,-33788.0711,2424.2424,34568.6246
Net cash flow / Change in cash,-3264254.7033,-2614873.0351,4203599.712,821907.2562,-412980.3035,1083415.76,-6280628.6081,-20154663.7056,21882424.2424,1608612.8607
Free Cash Flow,3004630.9696,1150241.838,-4777105.8315,-4391619.165,-4617533.0965,-1666831.5199,-26622193.7139,-5100729.6954,20537878.7879,369122.6014
Net Cash/Marketcap,6.7115,0.1395,0.1395,0.1395,0.1395,0.1395,0.1395,0.1395,0.1395,0.1395
