Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,250280000.0,220268000.0,186836000.0,14091000.0,3006000.0
Revenue Growth,0.136252201863185,0.178937677963562,12.2592434887517,3.687624750499,0.0
Cost of Revenue,183959000.0,165226000.0,133798000.0,10253000.0,2791000.0
Gross Profit,66321000.0,55042000.0,53038000.0,3838000.0,215000.0
R&D Expenses,5279000.0,0.0,0.0,0.0,0.0
SG&A Expense,49670000.0,97560000.0,70390000.0,47397000.0,3816000.0
Operating Expenses,54949000.0,97560000.0,87076000.0,47397000.0,3816000.0
Operating Income,11372000.0,-42518000.0,-34038000.0,-44400000.0,-3601000.0
Interest Expense,8134000.0,9683000.0,7593000.0,468000.0,0.0
Earnings before Tax,3238000.0,-53206000.0,-43128000.0,-59168000.0,-3574000.0
Income Tax Expense,46000.0,0.0,-14042000.0,-16583000.0,-41000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-17932000.0,-53206000.0,-29086000.0,-84535000.0,-3533000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0
Net Income Com,-17932000.0,-53206000.0,-29086000.0,-84535000.0,-3533000.0
EPS,-0.23,-0.96,-0.65,-6.48,-0.49
EPS Diluted,-0.23,-0.96,-0.65,-6.48,-0.49
Weighted Average Shs Out,76705877.0,55648235.0,44536906.0,13036082.0,7279949.0
Weighted Average Shs Out (Dil),76705877.0,55648235.0,44536906.0,13036082.0,7279949.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.26498721432,0.249886501898,0.283874628016,0.272372436307,0.0715236194278
EBITDA Margin,0.105385967716,-0.114850999691,-0.101094007579,-3.08054786743,-0.865269461078
EBIT Margin,0.0454371104363,-0.193028492564,-0.18218116423,-3.15094741324,-1.19793745842
Profit Margin,-0.0716477545149,-0.241551201264,-0.155676636194,-5.99921935988,-1.1753160346
Free Cash Flow margin,0.0928799744286,0.00501661612218,0.00715600847802,-0.80441416507,-0.481703260146
EBITDA,26376000.0,-25298000.0,-18888000.0,-43408000.0,-2601000.0
EBIT,11372000.0,-42518000.0,-34038000.0,-44400000.0,-3601000.0
Consolidated Income,-17932000.0,-53206000.0,-29086000.0,-84535000.0,-3533000.0
Earnings Before Tax Margin,0.0129375099888,-0.241551201264,-0.23083345822,-4.19899226457,-1.18895542249
Net Profit Margin,-0.0716477545149,-0.241551201264,-0.155676636194,-5.99921935988,-1.1753160346
