Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,19000000.0,16000000.0,11000000.0,8000000.0,5000000.0
Stock-based compensation,22000000.0,20000000.0,11000000.0,6000000.0,7000000.0
Operating Cash Flow,-121000000.0,-67000000.0,-64000000.0,-43000000.0,-31000000.0
Capital Expenditure,-16000000.0,-21000000.0,-25000000.0,-10000000.0,-7000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,79000000,34000000,-115000000,0,0
Investing Cash flow,63000000.0,13000000.0,-141000000.0,-9000000.0,-8000000.0
Issuance (repayment) of debt,000000.0,000000.0,000000.0,-1000000.0,-2000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,66000000.0,0000000.0,250000000.0,-1000000.0,109000000.0
Effect of forex changes on cash,0000000.0,000000.0,000000.0,000000.0,000000.0
Net cash flow / Change in cash,8000000.0,-54000000.0,46000000.0,-52000000.0,69000000.0
Free Cash Flow,-137000000.0,-88000000.0,-89000000.0,-52000000.0,-38000000.0
Net Cash/Marketcap,,,,,
