Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,102249000.0,71053000.0,56622000.0,41000000.0
Stock-based compensation,44468000.0,34879000.0,8520000.0,
Operating Cash Flow,105919000.0,69090000.0,77150000.0,61000000.0
Capital Expenditure,9106000.0,-10518000.0,-3408000.0,-6000000.0
Acquisitions and disposals,-413044000.0,-365698000.0,-171202000.0,-105000000.0
Investment purchases and sales,0.0,-500000.0,-12854000.0,
Investing Cash flow,-446450000.0,-376716000.0,-186799000.0,-115000000.0
Issuance (repayment) of debt,-461026000.0,507066000.0,121819000.0,139228000.0
Issuance (buybacks) of shares,531947000.0,-795894000.0,-42000.0,-61148000.0
Dividend payments,-0.0,0.0,0.0,-6339000.0
Financing Cash Flow,322487000.0,342403000.0,110864000.0,60000000.0
Effect of forex changes on cash,-198000.0,170000.0,-206000.0,-63000000000.0
Net cash flow / Change in cash,-18242000.0,34947000.0,1009000.0,6000000.0
Free Cash Flow,96813000.0,58572000.0,73742000.0,
Net Cash/Marketcap,0.0,-0.4888,-0.4888,-0.4888
