Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,297651000.0,220871000.0,167546000.0,125959000.0,71113000.0
Revenue Growth,0.347623726066346,0.318270803242095,0.330162989544217,0.771251388634989,
Cost of Revenue,67882000.0,58869000.0,48403000.0,33122000.0,21876000.0
Gross Profit,229769000.0,162002000.0,119143000.0,92837000.0,49237000.0
R&D Expenses,61713000.0,47435000.0,31490000.0,17772000.0,12302000.0
SG&A Expense,241601000.0,202299000.0,149802000.0,93143000.0,77469000.0
Operating Expenses,303314000.0,249734000.0,181292000.0,110915000.0,89771000.0
Operating Income,-73545000.0,-87732000.0,-62149000.0,-18078000.0,-40534000.0
Interest Expense,0.0,0.0,2577000.0,2745000.0,2749000.0
Earnings before Tax,-71891000.0,-89366000.0,-64229000.0,-26932000.0,-43413000.0
Income Tax Expense,2945000.0,1839000.0,1250000.0,328000.0,575000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,-74836000.0,-91205000.0,-65479000.0,-27260000.0,-43988000.0
Preferred Dividends,0.0,0.0,0.0,0.0,-41780000.0
Net Income Com,-74836000.0,-91205000.0,-65479000.0,-27260000.0,-2208000.0
EPS,-1.83,-9.12,-11.67,-6.61,-0.91
EPS Diluted,-1.83,-9.12,-11.67,-6.61,-0.91
Weighted Average Shs Out,40980000.0,11405356.0,37014000.0,37014000.0,
Weighted Average Shs Out (Dil),40980000.0,11405356.0,5609000.0,4121852.0,2439328.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.771940964418,0.733468857387,0.7111,0.737,0.6924
EBITDA Margin,-0.220197479599,-0.370311177112,-0.346,-0.178,-0.553
EBIT Margin,-0.24708467299,-0.397209230727,-0.368,-0.192,-0.5718
Profit Margin,-0.251421967338,-0.412933341181,-0.391,-0.216,-0.031
Free Cash Flow margin,0.0196908459908,-0.0328336449783,-0.3599,0.0051,-0.1344
EBITDA,-65542000.0,-81791000.0,-58042000.0,-22399000.0,-39323000.0
EBIT,-73545000.0,-87732000.0,-61652000.0,-24187000.0,-40664000.0
Consolidated Income,-74836000.0,-91205000.0,-65479000.0,-27260000.0,-43988000.0
Earnings Before Tax Margin,-0.241527829572,-0.404607214166,-0.3834,-0.2138,-0.6105
Net Profit Margin,-0.251421967338,-0.412933341181,-0.3908,-0.2164,-0.6186
