Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-26
Cash and cash equivalents,1721952000.0,2693317000.0,1718462000.0,1460704000.0,1889107000.0,1604513000.0,1202694000.0,806169000.0,851692000.0,700993000.0
Short-term investments,1143704000.0,720379000.0,607991000.0,703454000.0,509032000.0,439102000.0,102578000.0,66146000.0,167889000.0,120236000.0
Cash and short-term investments,2865656000.0,3413696000.0,2326453000.0,2164158000.0,2398139000.0,2043615000.0,1305272000.0,872315000.0,1019581000.0,821229000.0
Receivables,609280000.0,455186000.0,543163000.0,578963000.0,234019000.0,657706000.0,1242643000.0,843967000.0,307019000.0,226884000.0
Inventories,517995000.0,285647000.0,463731000.0,488183000.0,620705000.0,518615000.0,569296000.0,536618000.0,238591000.0,174516000.0
Total current assets,3859523000.0,3832772000.0,3787829000.0,3345586000.0,3077654000.0,3792764000.0,2832324000.0,2613261000.0,1584460000.0,1351271000.0
Property, Plant & Equipment Net,2064851000.0,1571645000.0,1077743000.0,1377877000.0,1466381000.0,1385084000.0,1525382000.0,1815958000.0,1430789000.0,988782000.0
Goodwill and Intangible Assets,88624000.0,94689000.0,102432000.0,194987000.0,204221000.0,202401000.0,65444000.0,65444000.0,433288000.0,286515000.0
Long-term investments,0.0,217230000.0,234610000.0,399805000.0,255029000.0,17321000.0,0.0,116192000.0,180271000.0,354608000.0
Tax assets,77682000.0,51417000.0,255152000.0,357693000.0,313891000.0,360502000.0,361543000.0,381418000.0,259624000.0,152194000.0
Total non-current assets,3261839000.0,3031729000.0,3036539000.0,3970745000.0,3643337000.0,3090738000.0,3516368000.0,3164353000.0,2795943000.0,1998241000.0
Total assets,7121362000.0,6864501000.0,6824368000.0,7316331000.0,6720991000.0,6883502000.0,6348692000.0,5777614000.0,4380403000.0,3349512000.0
Payables,233287000.0,120220000.0,148730000.0,337668000.0,214656000.0,261333000.0,350230000.0,176448000.0,82312000.0,75744000.0
Short-term debt,5570000.0,13075000.0,27966000.0,38090000.0,51399000.0,60543000.0,62349000.0,44505000.0,26587000.0,28559000.0
Total current liabilities,845457000.0,650276000.0,907881000.0,960800000.0,1000539000.0,1588061000.0,1101374000.0,973724000.0,469677000.0,394927000.0
Long-term debt,461221000.0,380465000.0,160422000.0,251325000.0,162074000.0,162780000.0,500223000.0,619143000.0,210804000.0,146399000.0
Total debt,466791000.0,393540000.0,188388000.0,289415000.0,213473000.0,223323000.0,562572000.0,663648000.0,237391000.0,174958000.0
Deferred revenue,129755000.0,81816000.0,308704000.0,116522000.0,255937000.0,759980000.0,731053000.0,209299000.0,0.0,0.0
Tax Liabilities,20885000.0,19581000.0,12562000.0,1330000.0,1727000.0,6707000.0,5474000.0,9541000.0,16831000.0,8740000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1063502000.0,1115528000.0,698138000.0,807044000.0,728965000.0,792324000.0,1641792000.0,1160027000.0,455781000.0,301798000.0
Total liabilities,1908959000.0,1765804000.0,1606019000.0,1767844000.0,1729504000.0,2380385000.0,2743166000.0,2133751000.0,925458000.0,696725000.0
Other comprehensive income,-54466000.0,2259000.0,-9907000.0,15480000.0,50140000.0,-25776000.0,10179000.0,-5037000.0,-27243000.0,-9596000.0
Retained earnings (deficit),2441553000.0,2297227000.0,2462842000.0,2790110000.0,2243689000.0,1882771000.0,1529733000.0,1626071000.0,1665564000.0,1001363000.0
Total shareholders equity,5212403000.0,5098697000.0,5218349000.0,5548487000.0,4991487000.0,4503117000.0,3605526000.0,3643863000.0,3454945000.0,2652787000.0
Investments,1143704000.0,937609000.0,842601000.0,1103259000.0,764061000.0,456423000.0,102578000.0,182338000.0,348160000.0,474844000.0
Net Debt,-2398865000.0,-3020156000.0,-2138065000.0,-1874743000.0,-2184666000.0,-1820292000.0,-742700000.0,-208667000.0,-782190000.0,-646271000.0
Other Assets,-133408000.0,-321757000.0,454482000.0,114282000.0,-175209000.0,572828000.0,-284887000.0,360361000.0,19269000.0,128642000.0
Other Liabilities,606600000.0,516981000.0,731185000.0,585042000.0,734484000.0,1266185000.0,688795000.0,752771000.0,360778000.0,290624000.0
