date,,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,95975000.0,14099000.0,-7894000.0,22761000.0,81851000.0,94570000.0,153400000.0,178700000.0,265500000.0,289500000.0,242800000.0,213562000.0,186500000.0,8000000.0,123168000.0,58813000.0,29566000.0,7286000.0,-11282000.0,6242000.0,16493000.0,51900000.0,25100000.0,37600000.0,66700000.0,63900000.0
,depreciationAndAmortization,72188000.0,68357000.0,63588000.0,69319000.0,70684000.0,85060000.0,88400000.0,89700000.0,79200000.0,67400000.0,64400000.0,61096000.0,50500000.0,4600000.0,38054000.0,34639000.0,35442000.0,34944000.0,37979000.0,41022000.0,34192000.0,26900000.0,23500000.0,17800000.0,17000000.0,15700000.0
,deferredIncomeTax,-5655000.0,5422000.0,23802000.0,408000.0,723000.0,-7976000.0,-17800000.0,7300000.0,-900000.0,11800000.0,-4700000.0,-8805000.0,-12400000.0,-3600000.0,-5441000.0,-25658000.0,-1751000.0,5013000.0,-8867000.0,1480000.0,-6729000.0,-2200000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,24290000.0,19973000.0,18852000.0,16908000.0,18880000.0,15342000.0,13949000.0,16285000.0,28100000.0,29312000.0,27339000.0,22846000.0,19519000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-119509000.0,-95529000.0,-57699000.0,-10634000.0,-81140000.0,-47078000.0,123900000.0,-119300000.0,108900000.0,-48800000.0,223100000.0,-59013000.0,142400000.0,9000000.0,-23042000.0,77951000.0,15534000.0,10558000.0,3245000.0,22028000.0,-18163000.0,14900000.0,15000000.0,-22000000.0,-10200000.0,28200000.0
,accountsReceivables,-12458000.0,-41519000.0,-11656000.0,-10805000.0,-5970000.0,31113000.0,38005000.0,28930000.0,10630000.0,-76709000.0,-12803000.0,-9940000.0,-89481000.0,-9300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,65428000.0,-74275000.0,-28120000.0,-57096000.0,-2179000.0,2264000.0,17162000.0,-30169000.0,-35810000.0,-40693000.0,-72000.0,-4798000.0,-53376000.0,-8500000.0,-25177000.0,-25009000.0,1201000.0,12153000.0,422000.0,48115000.0,-37596000.0,-9200000.0,2500000.0,-12600000.0,-6500000.0,10900000.0
,accountsPayables,-87423000.0,84531000.0,69299000.0,19054000.0,33510000.0,0.0,-22653000.0,-64204000.0,4287000.0,81770000.0,17330000.0,0.0,67027000.0,-13200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,425822000.0,545331000.0,640860000.0,698559000.0,709193000.0,-16663000.0,846100000.0,722200000.0,841500000.0,732600000.0,781400000.0,5537000.0,426400000.0,284000000.0,4353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,49012000.0,40399000.0,20998000.0,29055000.0,16130000.0,-4447000.0,27400000.0,29000000.0,25200000.0,29500000.0,23000000.0,-13332000.0,33300000.0,800000.0,6739000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,197913000.0,81679000.0,148370000.0,71740000.0,179668000.0,153826000.0,327900000.0,268900000.0,364500000.0,346400000.0,358200000.0,228625000.0,175500000.0,7100000.0,138253000.0,144211000.0,81592000.0,62474000.0,29589000.0,71780000.0,30172000.0,87300000.0,65200000.0,30200000.0,76800000.0,108400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-61868000.0,-108117000.0,-84655000.0,-90581000.0,-83844000.0,-71498000.0,-75438000.0,-99591000.0,-123531000.0,-123065000.0,-82286000.0,-89971000.0,-100178000.0,-2800000.0,-50281000.0,-48794000.0,-34779000.0,-18200000.0,-22692000.0,-22866000.0,-79134000.0,-63500000.0,-13700000.0,-48800000.0,-25500000.0,-23800000.0
,acquisitionsNet,0.0,-6404000.0,-4850000.0,-2068000.0,-1330000.0,0.0,-1648000.0,-15980000.0,0.0,0.0,549000.0,0.0,-12129000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-288067000.0,-34071000.0,-50624000.0,-3532000.0,-44053000.0,0.0,-22099000.0,-159669000.0,-112988000.0,-80410000.0,-6880000.0,-10537000.0,-16799000.0,0.0,-14481000.0,-3646000.0,-327000.0,-190000.0,0.0,-17000000.0,0.0,-19600000.0,-11900000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,9256000.0,6826000.0,9500000.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,55000.0,22850000.0,4900000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,293464000.0,25064000.0,49782000.0,46188000.0,55482000.0,5298000.0,352169000.0,145478000.0,89423000.0,57372000.0,0.0,-812000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4300000.0,500000.0,2500000.0,-4300000.0,2000000.0
,netCashUsedForInvestingActivites,-56471000.0,-123528000.0,-90347000.0,-48984000.0,-73546000.0,-57831000.0,-63100000.0,-120300000.0,-132100000.0,-146100000.0,-90800000.0,-102217000.0,-111900000.0,-5100000.0,-71537000.0,-70314000.0,-34086000.0,-18384000.0,-22470000.0,-37215000.0,-53233000.0,-75400000.0,-25100000.0,-44800000.0,-23200000.0,-21600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
