Date,2016-12,2015-12,2014-12,2013-12,2012-12
Depreciation & Amortization,34000000.0,47000000.0,62000000.0,63000000.0,88000000.0
Stock-based compensation,000000.0,000000.0,34000000.0,17000000.0,28000000.0
Operating Cash Flow,270000000.0,92000000.0,42000000.0,298000000.0,651000000.0
Capital Expenditure,-36000000.0,-55000000.0,-89000000.0,-81000000.0,-115000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,193000000,418000000,761000000,-1096000000,-208000000
Investing Cash flow,162000000.0,361000000.0,752000000.0,-102000000.0,-323000000.0
Issuance (repayment) of debt,-719000000.0,-1064000000.0,-1048000000.0,-1875000000.0,-1036000000.0
Issuance (buybacks) of shares,-9000000.0,-24000000.0,-115000000.0,-71000000.0,000000.0
Dividend payments,,,,,
Financing Cash Flow,-457000000.0,-480000000.0,-899000000.0,-568000000.0,161000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-25000000.0,-27000000.0,-105000000.0,-373000000.0,490000000.0
Free Cash Flow,234000000.0,37000000.0,-47000000.0,217000000.0,536000000.0
Net Cash/Marketcap,,,,,
