Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,247313917.5258,310136514.6481,172667997.543,286640324.2148
Short-term investments,123289690.7216,288610389.6104,132442567.5676,124549138.8045
Cash and short-term investments,370603608.2474,598746904.2585,305110565.1106,411189463.0193
Receivables,219929896.9072,282838417.3966,233488022.113,117178318.1358
Inventories,46428092.7835,53908486.862,56077395.5774,50465045.5927
Total current assets,853307989.6907,1010268196.9194,639039926.2899,623496960.4863
Property Plant & Equipment Net,726303350.5155,965196919.3597,929057125.3071,1078169706.1803
Goodwill and Intangible Assets,458109793.8144,527721232.2561,534310810.8108,434297112.462
Long-term investments,593353865.9794,432841739.6557,422292076.1671,434290273.5562
Tax assets,136724484.5361,110772878.2845,63423218.6732,60599544.0729
Total non-current assets,1821502835.0515,2011401389.3084,1942150184.2752,2002743414.387
Total assets,2674810824.7423,3021669586.2277,2581190110.5651,2626240374.8734
Payables,0.0,0.0,0.0,0.0
Short-term debt,350289432.9897,359788281.486,258760135.1351,353754559.2705
Total current liabilities,1855813402.0619,1742561159.7705,1489171375.9214,1403750759.8784
Long-term debt,1545574484.5361,1828305043.7934,1702681203.9312,2003116261.3982
Total debt,1895863917.5258,2188093325.2794,1961441339.0663,2356870820.6687
Deferred revenue,475245876.2887,452501359.106,5166769.0418,3409067.8825
Tax Liabilities,101456443.299,117533071.5796,161854115.4791,102169706.1803
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,1980170360.8247,2211914527.3331,2122961916.4619,2317332573.4549
Total liabilities,3835983762.8866,3954475687.1036,3612133292.3833,3721083333.3333
Other comprehensive income,-128871649.4845,-23955300.5134,-45217751.8428,-45323961.4995
Retained earnings (deficit),-2164063659.7938,-2208652672.9085,-2245840909.0909,-2067395390.0709
Total shareholders equity,-1284900000.0,-1057243733.0112,-1121006756.7568,-1151586119.5542
Investments,716643556.701,721452129.2661,554734643.7346,558839412.3607
Net Debt,1525298428.3211,,,
Other Assets,216038402.0619,,,
Other Liabilities,1505523969.0722,1382772878.2845,1230411240.7863,1049996200.6079
