Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,115308000.0,110156000.0,83227000.0,92701000.0,115405000.0,125784000.0,131794000.0,105163000.0,14754000.0,0.0
Revenue Growth,0.046770035222775,0.323560863662033,-0.10219954477298,-0.196733243793596,-0.0825144692488711,-0.0456014689591332,0.253235453534038,6.12776196285753,0.0,0.0
Cost of Revenue,3111000.0,1166000.0,0.0,0.0,0.0,22198000.0,16473000.0,20904000.0,6783000.0,0.0
Gross Profit,112197000.0,108990000.0,83227000.0,92701000.0,115405000.0,103586000.0,115321000.0,84259000.0,7971000.0,0.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4692000.0,7811000.0
SG&A Expense,9325000.0,8122000.0,9533000.0,10254000.0,12336000.0,16260000.0,13507000.0,9049000.0,7474000.0,2534000.0
Operating Expenses,14028000.0,12471000.0,13847000.0,17404000.0,19283000.0,25730000.0,21596000.0,20628000.0,30810000.0,34184000.0
Operating Income,16551000.0,28478000.0,8586000.0,12919000.0,31588000.0,10330000.0,49704000.0,45674000.0,-22839000.0,-34184000.0
Interest Expense,0.0,0.0,0.0,87000.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,-9378000.0,28478000.0,9146000.0,10453000.0,31266000.0,8975000.0,46968000.0,-11443000.0,-23074000.0,-34129000.0
Income Tax Expense,7263000.0,24328000.0,4759000.0,7391000.0,15021000.0,8890000.0,13297000.0,-12037000.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,9288000.0,4150000.0,4387000.0,3062000.0,16245000.0,85000.0,33671000.0,58369000.0,-23074000.0,-34129000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,9288000.0,4150000.0,4387000.0,3062000.0,16245000.0,85000.0,33671000.0,58369000.0,-23074000.0,-34129000.0
EPS,0.16,0.07,0.08,0.06,0.3,0.0,0.64,1.1,-0.46,-0.78
EPS Diluted,0.16,0.07,0.08,0.06,0.3,0.0,0.6,1.03,-0.46,-0.78
Weighted Average Shs Out,57534830.0,56854670.0,55140237.0,54186547.0,54119095.0,53255259.0,52846163.0,52979481.0,52998303.0,46095489.0
Weighted Average Shs Out (Dil),58369666.0,57594993.0,55725206.0,54259312.0,54620332.0,55299475.0,56315885.0,56414654.0,50042471.0,43764703.0
Dividend per Share,0.0196848822126,0.0197412993869,0.0299684849976,0.119831965433,0.11889345528,0.461378702058,0.638185833358,0.469452493673,0.15,0.0
Gross Margin,0.973020085337,0.989415011438,1.0,1.0,1.0,0.823522864593,0.875009484499,0.801222863555,0.5403,0.0
EBITDA Margin,0.275089325979,0.394676640401,0.254412630517,0.237494741157,0.313149343616,0.103001971634,0.388818914366,0.442455996881,-1.549,
EBIT Margin,0.143537308773,0.258524274665,0.103163636801,0.13936203493,0.273714310472,0.0821249125485,0.377134012171,0.434316251914,-1.5639,0.0
Profit Margin,0.0805494848579,0.0376738443662,0.0527112595672,0.0330309273902,0.140765131493,0.0006757616231,0.255482040154,0.555033614484,-1.564,
Free Cash Flow margin,-0.154542616297,0.0926050328625,0.0331502997825,-0.0702797165079,0.171179758243,-0.000477008204541,0.20291515547,0.343200555328,-1.783,0.0
EBITDA,31720000.0,43476000.0,21174000.0,22016000.0,36139000.0,12956000.0,51244000.0,46530000.0,-22852000.0,-33962000.0
EBIT,16551000.0,28478000.0,8586000.0,12919000.0,31588000.0,10330000.0,49704000.0,45674000.0,-23074000.0,-34129000.0
Consolidated Income,9288000.0,4150000.0,4387000.0,3062000.0,16245000.0,85000.0,33671000.0,58369000.0,-23074000.0,-34129000.0
Earnings Before Tax Margin,-0.0813300031221,0.258524274665,0.109892222476,0.112760380147,0.270924136736,0.0713524772626,0.356374341776,-0.108812034651,-1.5639,0.0
Net Profit Margin,0.0805494848579,0.0376738443662,0.0527112595672,0.0330309273902,0.140765131493,0.0006757616231,0.255482040154,0.555033614484,-1.5639,0.0
