date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-11-30_FY,2006-11-30_FY,2005-11-30_FY
,revenue,1923719000.0,2417238000.0,3843353000.0,3596166000.0,3410881000.0,2965589000.0,3235611000.0,3041011000.0,3476870000.0,3553712000.0,2132968000.0,1304174000.0,188800000.0,24202391.0,0.0,0.0
,costOfRevenue,1812163000.0,2384947000.0,3627633000.0,3301587000.0,3096079000.0,2729599000.0,2860813000.0,2867991000.0,3380099000.0,3381480000.0,1981396000.0,1221745000.0,175400000.0,23042844.0,0.0,0.0
,grossProfit,111556000.0,32291000.0,215720000.0,294579000.0,314802000.0,235990000.0,374798000.0,173020000.0,96771000.0,172232000.0,151572000.0,82429000.0,13300000.0,1159547.0,0.0,0.0
,grossProfitRatio,0.0579897583794723,0.0133586349378919,0.0561280735857466,0.0819147391972451,0.0922934573208505,0.0795760976993103,0.115835309003462,0.0568955521699856,0.0278327921377561,0.0484653792991666,0.0710615442894596,0.0632039896516876,0.0704449152542373,0.0479104316594175,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,84932000.0,77077000.0,115878000.0,112024000.0,104677000.0,79594000.0,88524000.0,65169000.0,79019000.0,73219000.0,60467000.0,44923000.0,18500000.0,8943202.0,2150986.0,729546.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,900000.0,5495000.0,2195000.0,3666000.0,-3027000.0,-457000.0,3429000.0,-2507000.0,-2399000.0,0.0,0.0,0.0,18467000.0,0.0,0.0,0.0
,operatingExpenses,189301000.0,174861000.0,250341000.0,252833000.0,223114000.0,174913000.0,88524000.0,65169000.0,79019000.0,73219000.0,60467000.0,44923000.0,18500000.0,8943202.0,2150986.0,729546.0
,costAndExpenses,2001464000.0,2559808000.0,3877974000.0,3554420000.0,3319193000.0,2904512000.0,2949337000.0,2933160000.0,3459118000.0,3454699000.0,2041863000.0,1266668000.0,193900000.0,31986046.0,2150986.0,729546.0
,interestExpense,39993000.0,40200000.0,101025000.0,90160000.0,51851000.0,40366000.0,39908000.0,33357000.0,37521000.0,36645000.0,24668000.0,18049000.0,-3800000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,78244000.0,72127000.0,103619000.0,107361000.0,84226000.0,65950000.0,60362000.0,51002000.0,52828000.0,50076000.0,38810000.0,29413000.0,4700000.0,1028101.0,13201.0,1693.0
,EBITDA,499000.0,-70443000.0,68998000.0,149107000.0,175914000.0,127027000.0,346636000.0,158853000.0,70580000.0,149089000.0,129915000.0,66919000.0,-500000.0,-6755554.0,-2137785.0,-727853.0
,EBITDARatio,0.0002593933937337,-0.0291419380300988,0.0179525534084431,0.0414627689600536,0.0515743586481029,0.0428336495718051,0.10713154331593,0.052236904108535,0.0202998674094804,0.0419530338980762,0.0609080867598576,0.0513114047665419,-0.00264830508474576,-0.279127545704059,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-77745000.0,-142570000.0,-34621000.0,41746000.0,91688000.0,61077000.0,286274000.0,107851000.0,17752000.0,99013000.0,91105000.0,37506000.0,-5200000.0,-7783655.0,-2150986.0,-729546.0
,operatingIncomeRatio,-0.0404139066048628,-0.0589805389456893,-0.00900801982019346,0.011608474136066,0.0268810316161719,0.0205952342013678,0.0884760250845976,0.0354655080169062,0.00510574165844567,0.0278618526205838,0.0427127833141425,0.0287584325404432,-0.0275423728813559,-0.321606861074181,0.0,0.0
,totalOtherIncomeExpensesNet,-44051000.0,5495000.0,152546000.0,3666000.0,-3027000.0,-457000.0,3429000.0,-2507000.0,44734000.0,-779000.0,-699000.0,563000.0,900000.0,395033.0,1603117.0,0.0
,incomeBeforeTax,-161130000.0,-172942000.0,20008000.0,-43151000.0,38351000.0,21465000.0,250430000.0,72281000.0,25156000.0,61899000.0,66051000.0,20245000.0,-8000000.0,-7432961.0,1244120.0,-397754.0
,incomeBeforeTaxRatio,-0.0837596343332888,-0.0715452926025489,0.00520587101939374,-0.0119991680028119,0.0112437226628546,0.00723802253110596,0.077398055575902,0.0237687400670369,0.00723524319287175,0.0174181250478373,0.0309667092989674,0.0155232353965038,-0.0423728813559322,-0.307116805112354,0.0,0.0
