Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,13417000.0,23612000.0,16346000.0,21030000.0,14541000.0,5647000.0,7761000.0,4151000.0,28902000.0,10803000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,13417000.0,23612000.0,16346000.0,21030000.0,14541000.0,5647000.0,7761000.0,4151000.0,28902000.0,10803000.0
Receivables,107673000.0,119335000.0,105549000.0,90912000.0,99638000.0,94662000.0,83597000.0,67134000.0,60803000.0,56061000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557000.0
Total current assets,220902000.0,200117000.0,172694000.0,167176000.0,160357000.0,136538000.0,118480000.0,95724000.0,95823000.0,74113000.0
Property Plant & Equipment Net,5859000.0,5123000.0,4547000.0,6245000.0,7864000.0,9231000.0,5511000.0,5562000.0,2965000.0,3121000.0
Goodwill and Intangible Assets,197057000.0,153198000.0,133597000.0,128196000.0,136292000.0,132116000.0,118693000.0,108460000.0,82791000.0,77531000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,1077000.0,1135000.0,1058000.0,0.0,3252000.0,2872000.0,2031000.0,2670000.0,1759000.0,1143000.0
Total non-current assets,213836000.0,164890000.0,142907000.0,135174000.0,145095000.0,143618000.0,125954000.0,115852000.0,87373000.0,82588000.0
Total assets,434738000.0,365007000.0,315601000.0,302350000.0,305452000.0,280156000.0,244434000.0,211576000.0,183196000.0,156701000.0
Payables,93254000.0,78280000.0,64596000.0,61071000.0,59018000.0,55339000.0,47457000.0,42500000.0,32694000.0,23464000.0
Short-term debt,0.0,12000000.0,12000000.0,13333000.0,13333000.0,407000.0,0.0,0.0,0.0,0.0
Total current liabilities,116958000.0,150332000.0,112835000.0,126854000.0,116820000.0,77808000.0,69334000.0,59766000.0,48501000.0,36736000.0
Long-term debt,116500000.0,16000000.0,28000000.0,11111000.0,24444000.0,0.0,0.0,0.0,0.0,0.0
Total debt,116500000.0,28000000.0,40000000.0,24444000.0,37777000.0,407000.0,0.0,0.0,0.0,0.0
Deferred revenue,23704000.0,0.0,0.0,0.0,0.0,0.0,0.0,17266000.0,15807000.0,13272000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3423000.0,1275000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,131211000.0,26621000.0,35270000.0,17152000.0,36907000.0,9321000.0,7763000.0,8416000.0,9908000.0,9075000.0
Total liabilities,248169000.0,176953000.0,148105000.0,144006000.0,153727000.0,87129000.0,77097000.0,68182000.0,58409000.0,45811000.0
Other comprehensive income,92048000,96138000,94941000,97375000,104142000,166738000,165001000,165161000,-2227000.0,-1946000.0
Retained earnings (deficit),116039000.0,106599000.0,93845000.0,73598000.0,54809000.0,27711000.0,3955000.0,-18733000.0,-36593000.0,-49325000.0
Total shareholders equity,186569000.0,188054000.0,167496000.0,158344000.0,151725000.0,193027000.0,167337000.0,143394000.0,124787000.0,110890000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,103083000.0,4388000.0,23654000.0,3414000.0,23236000.0,-5240000.0,-7761000.0,-4151000.0,-28902000.0,-10803000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118000.0,6692000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15807000.0,13272000.0
