Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,2522000.0,876.0,488334.0
Stock-based compensation,26960000.0,0.0,0.0
Operating Cash Flow,10275000.0,13542.0,4401860.0
Capital Expenditure,2096000.0,-6452.0,-675715.0
Acquisitions and disposals,-0.0,0.0,2156.0
Investment purchases and sales,0.0,434.0,18739.0
Investing Cash flow,-2180000.0,-6135.0,-696394.0
Issuance (repayment) of debt,-50625000.0,19625.0,28622101.0
Issuance (buybacks) of shares,-18635000.0,0.0,0.0
Dividend payments,-80059000.0,0.0,0.0
Financing Cash Flow,5592000.0,-6237.0,-965232.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,13687000.0,1170.0,2740234.0
Free Cash Flow,8179000.0,7090.0,3726145.0
Net Cash/Marketcap,0.0,-0.2157,-0.0336
