Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,1419000000.0,462399000.0,325189000.0,97318000.0,30769000.0,13478000.0,11067000.0,5190000.0,5431000.0,16000000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1419000000.0,462399000.0,325189000.0,97318000.0,30769000.0,13478000.0,11067000.0,5190000.0,5431000.0,16000000.0
Receivables,184000000.0,171230000.0,146811000.0,121473000.0,106692000.0,70047000.0,62472000.0,62085000.0,64487000.0,57179000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,873000000.0,666757000.0,505485000.0,285454000.0,168304000.0,130587000.0,96383000.0,79355000.0,84691000.0,86784000.0
Property, Plant & Equipment Net,363000000.0,350658000.0,326093000.0,234475000.0,221811000.0,143621000.0,135138000.0,137099000.0,137148000.0,148092000.0
Goodwill and Intangible Assets,2195000000.0,2215587000.0,1881873000.0,1591142000.0,1445772000.0,1026035000.0,990347000.0,990215000.0,990340000.0,990819000.0
Long-term investments,17000000.0,16599000.0,16599000.0,13599000.0,13599000.0,13599000.0,13599000.0,13599000.0,13599000.0,13599000.0
Tax assets,0.0,13791000.0,14641000.0,49690000.0,18855000.0,34113000.0,12550000.0,2762000.0,2565000.0,1597000.0
Total non-current assets,3340000000.0,2594100000.0,2247020000.0,1842254000.0,1703276000.0,1203837000.0,1153405000.0,1154625000.0,1157602000.0,1158955000.0
Total assets,4213000000.0,3260857000.0,2752505000.0,2127708000.0,1871580000.0,1334424000.0,1249788000.0,1233980000.0,1242293000.0,1245739000.0
Payables,8000000.0,7840000.0,5257000.0,4532000.0,4613000.0,2256000.0,2379000.0,2045000.0,5609000.0,6047000.0
Short-term debt,0.0,6417000.0,0.0,0.0,0.0,224000.0,0.0,4823000.0,4823000.0,8080000.0
Total current liabilities,150000000.0,131305000.0,119407000.0,87617000.0,80022000.0,63085000.0,47717000.0,49537000.0,58546000.0,75072000.0
Long-term debt,2549000000.0,1831011000.0,1756747000.0,1220084000.0,1236401000.0,842650000.0,832867000.0,827410000.0,821881000.0,783729000.0
Total debt,2549000000.0,1837428000.0,1756747000.0,1220084000.0,1236401000.0,842874000.0,832867000.0,832233000.0,826704000.0,791809000.0
Deferred revenue,4000000.0,4004000.0,4706000.0,3514000.0,7486000.0,2522000.0,3216000.0,4529000.0,5951000.0,8879000.0
Tax Liabilities,299000000.0,270443000.0,345927000.0,352317000.0,294573000.0,226957000.0,186351000.0,160626000.0,161731000.0,146410000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2876000000.0,2136655000.0,2140237000.0,1610817000.0,1575366000.0,1097329000.0,1058136000.0,1036649000.0,1017159000.0,983661000.0
Total liabilities,3026000000.0,2267960000.0,2259644000.0,1698434000.0,1655388000.0,1160414000.0,1105853000.0,1086186000.0,1075705000.0,1058733000.0
Other comprehensive income,-21000000.0,-22165000.0,-17645000.0,-17284000.0,-20812000.0,-10409000.0,-20170000.0,-16402000.0,-7988000.0,-9314000.0
Retained earnings (deficit),372000000.0,161694000.0,-101365000.0,-163638000.0,-202939000.0,-251000000.0,-269288000.0,-293322000.0,-295117000.0,-303698000.0
Total shareholders equity,1187000000.0,992897000.0,492861000.0,429274000.0,216192000.0,174010000.0,143935000.0,122953000.0,129407000.0,93620000.0
Investments,17000000.0,16599000.0,16599000.0,13599000.0,13599000.0,13599000.0,13599000.0,13599000.0,13599000.0,13599000.0
Net Debt,1130000000.0,1375029000.0,1431558000.0,1122766000.0,1205632000.0,829396000.0,821800000.0,827043000.0,821273000.0,775809000.0
Other Assets,-730000000.0,33128000.0,33485000.0,66663000.0,30843000.0,47062000.0,22844000.0,12080000.0,14773000.0,13605000.0
Other Liabilities,142000000.0,117048000.0,114150000.0,83085000.0,75409000.0,60605000.0,45338000.0,42669000.0,48114000.0,60945000.0
