Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-02-21,2011-12-31,2010-12-31,2009-12-31
Revenue,92249000.0,70880000.0,53101000.0,56803000.0,37930000.0,47562000.0,52246000.0,0.0,51126000.0,47213000.0,40060000.0
Revenue Growth,0.301481376975169,0.334814786915501,-0.0651726141224935,0.497574479303981,-0.202514612505782,-0.0896527963863262,0.0,-1,0.0828797153326414,0.17855716425362,0.3812
Cost of Revenue,69119000.0,52336000.0,37857000.0,42406000.0,26551000.0,34981000.0,34509000.0,0.0,34781000.0,36081000.0,29736000.0
Gross Profit,23130000.0,18544000.0,15244000.0,12859000.0,11379000.0,10407000.0,17737000.0,0.0,16345000.0,11132000.0,10324000.0
R&D Expenses,899000.0,1391000.0,1380000.0,3100000.0,3800000.0,2900000.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,17469000.0,15469000.0,11127000.0,14217000.0,17570000.0,15836000.0,-14865000.0,0.0,12672000.0,11683000.0,7749000.0
Operating Expenses,21764000.0,18315000.0,13669000.0,17317000.0,21370000.0,21075000.0,15740000.0,0.0,14117000.0,12364000.0,10626000.0
Operating Income,1366000.0,229000.0,1575000.0,-4136000.0,-6929000.0,-10668000.0,1997000.0,0.0,2228000.0,-1232000.0,-302000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,2512000.0,1580000.0,2873000.0,-4260000.0,-4608000.0,-7797000.0,1863000.0,0.0,2363000.0,-2043000.0,120000.0
Income Tax Expense,1131000.0,-4980000.0,350000.0,471000.0,166000.0,146000.0,689000.0,0.0,-438000.0,206000.0,917000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-354000.0,5384000.0,1422000.0,-4705000.0,-6742000.0,-10511000.0,1174000.0,0.0,2801000.0,-2249000.0,-797000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-354000.0,5384000.0,1422000.0,-4705000.0,-6742000.0,-10511000.0,1174000.0,0.0,2801000.0,-2249000.0,-797000.0
EPS,-0.02,0.28,0.08,-0.26,-0.38,-0.58,0.06,0.0,0.15,-0.12,-0.05
EPS Diluted,-0.02,0.27,0.08,-0.26,-0.38,-0.58,0.06,0.0,0.15,-0.12,-0.05
Weighted Average Shs Out,19704999.0,19259966.0,18218681.0,17892891.0,17887859.0,18150915.0,18383564.0,0.0,18465450.0,19159855.0,18925370.0
Weighted Average Shs Out (Dil),19704999.0,19605427.0,18512266.0,17892891.0,17887859.0,18150915.0,18458457.0,0.0,18465450.0,19159855.0,18925370.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.250734425305,0.261625282167,0.287075572965,0.226378888439,0.3,0.218809133342,0.339490104506,0.0,0.3197,0.2358,0.2577
EBITDA Margin,0.0433609036412,0.0193989841986,0.0499990583981,-0.0614404168794,-0.169865541788,-0.196375257559,0.0351797266776,0.0,0.072,-0.01,0.028
EBIT Margin,0.0148077485935,0.00323081264108,0.0296604583718,-0.0728130556485,-0.182678618508,-0.224296707456,0.0382230218581,0.0,0.0462,-0.0433,0.003
Profit Margin,-0.00383743997225,0.0759593679458,0.0267791567014,-0.0828301322113,-0.17774848405,-0.220995752912,0.0224706197604,0.0,0.055,-0.048,-0.02
Free Cash Flow margin,-0.0433175427376,0.107167042889,0.18969510932,0.0130098762389,0.164803585552,-0.0751650477272,0.0418979443402,0.0,0.0041,0.0214,-0.0224
EBITDA,4000000.0,1375000.0,2655000.0,-3490000.0,-6443000.0,-9340000.0,1838000.0,0.0,3673000.0,-486000.0,1107000.0
EBIT,1366000.0,229000.0,1575000.0,-4136000.0,-6929000.0,-10668000.0,1997000.0,0.0,2363000.0,-2043000.0,120000.0
Consolidated Income,-354000.0,5384000.0,1422000.0,-4705000.0,-6742000.0,-10511000.0,1174000.0,0.0,2801000.0,-2249000.0,-797000.0
Earnings Before Tax Margin,0.0272306474867,0.0222911963883,0.0541044424775,-0.0749960389416,-0.121486949644,-0.163933392204,0.0356582322092,0.0,0.0462,-0.0433,0.003
Net Profit Margin,-0.00383743997225,0.0759593679458,0.0267791567014,-0.0828301322113,-0.17774848405,-0.220995752912,0.0224706197604,0.0,0.0548,-0.0476,-0.0199
