Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,,,,,
Stock-based compensation,1000000.0,1000000.0,1000000.0,0000000.0,000000.0
Operating Cash Flow,202000000.0,201000000.0,157000000.0,114000000.0,61000000.0
Capital Expenditure,-6000000.0,-3000000.0,-4000000.0,-2000000.0,-1000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,95000000,33000000,-359000000,62000000,-28000000
Investing Cash flow,-608000000.0,-557000000.0,-1215000000.0,-328000000.0,-411000000.0
Issuance (repayment) of debt,-448000000.0,-14000000.0,-74000000.0,-139000000.0,-5000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,269000000.0,570000000.0,1023000000.0,352000000.0,401000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-138000000.0,215000000.0,-34000000.0,138000000.0,52000000.0
Free Cash Flow,196000000.0,198000000.0,154000000.0,112000000.0,60000000.0
Net Cash/Marketcap,,,,,
