Date,2018-12-25,2017-12-26,2016-12-27,2015-12-29,2014-12-30,2013-12-31,2012-12-25
Revenue,402147000.0,331386000.0,283685000.0,230602000.0,174619000.0,120373000.0,84158000.0
Revenue Growth,0.2135,0.1681,0.2302,0.3206,0.4506,0.4303,
Cost of Revenue,192401000.0,158479000.0,130937000.0,109292000.0,85444000.0,57695000.0,39083000.0
Gross Profit,209746000.0,172907000.0,152748000.0,121310000.0,89175000.0,62678000.0,45075000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,173941000.0,143344000.0,121437000.0,94092000.0,69287000.0,48416000.0,36085000.0
Operating Expenses,204590000.0,165742000.0,139293000.0,109535000.0,80415000.0,56193000.0,41469000.0
Operating Income,5156000.0,7165000.0,13455000.0,11775000.0,8760000.0,6485000.0,3606000.0
Interest Expense,1018000.0,588000.0,634000.0,451000.0,909000.0,735000.0,548000.0
Earnings before Tax,1720000.0,62269000.0,8181000.0,5242000.0,267000.0,0.0,0.0
Income Tax Expense,-1057000.0,65388000.0,3646000.0,2473000.0,299000.0,0.0,0.0
Net Income - Non-Controlling int,863000.0,1539000.0,4640000.0,6082000.0,7584000.0,5750000.0,3058000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,2777000.0,-3119000.0,4535000.0,2769000.0,-32000.0,0.0,0.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,2777000.0,-3119000.0,4535000.0,2769000.0,-32000.0,0.0,0.0
EPS,0.14,-0.15,0.26,0.22,0.0,0.0,0.0
EPS Diluted,0.13,-0.15,0.26,0.22,0.0,0.0,0.0
Weighted Average Shs Out,26049268.0,26025024.0,26000059.0,26001236.0,26002754.0,,
Weighted Average Shs Out (Dil),20538637.0,20285780.0,17139777.0,12445138.0,8974550.0,,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.5216,0.5218,0.5384,0.5261,0.5107,0.5207,0.5356
EBITDA Margin,0.068,0.246,0.084,0.074,0.055,0.056,0.053
EBIT Margin,0.0068,0.1897,0.0311,0.0247,0.0067,0.0061,0.0065
Profit Margin,0.007,-0.009,0.016,0.012,0.0,0.0,0.0
Free Cash Flow margin,-0.0032,-0.0375,0.0048,0.0095,-0.0069,-0.0404,-0.0443
EBITDA,27228000.0,81618000.0,23695000.0,17005000.0,9648000.0,6743000.0,4471000.0
EBIT,2738000.0,62857000.0,8815000.0,5693000.0,1176000.0,735000.0,548000.0
Consolidated Income,3640000.0,-1580000.0,9175000.0,8851000.0,7552000.0,5750000.0,3058000.0
Earnings Before Tax Margin,0.0043,0.1879,0.0288,0.0227,0.0015,0.0,0.0
Net Profit Margin,0.0069,-0.0094,0.016,0.012,-0.0002,0.0,0.0
