Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,3045000.0,7776000.0,3657000.0,15013000.0,2830000.0,6352000.0,5237000.0,3269000.0,403000.0,2508000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3045000.0,7776000.0,3657000.0,15013000.0,2830000.0,6352000.0,5237000.0,3269000.0,403000.0,2508000.0
Receivables,12332000.0,12803000.0,7846000.0,8593000.0,6737000.0,5061000.0,7126000.0,3055000.0,22508000.0,18767000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,66474000.0,74391000.0,56953000.0,61142000.0,47342000.0,44962000.0,47576000.0,39984000.0,23686000.0,24209000.0
Property Plant & Equipment Net,1538655000.0,1569471000.0,1328395000.0,1049870000.0,980479000.0,957814000.0,960535000.0,536425000.0,434950000.0,398044000.0
Goodwill and Intangible Assets,385665000.0,396179000.0,323354000.0,330303000.0,256498000.0,256498000.0,256498000.0,256498000.0,157598000.0,164545000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25437000.0,25919000.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,2036066000.0,2079723000.0,1827284000.0,1473314000.0,1354213000.0,1337546000.0,1346534000.0,926972000.0,619587000.0,592636000.0
Total assets,2102540000.0,2154114000.0,1884237000.0,1534456000.0,1401555000.0,1382508000.0,1394110000.0,966956000.0,643273000.0,616845000.0
Payables,30657000.0,22272000.0,26942000.0,22583000.0,17881000.0,22898000.0,7045000.0,6107000.0,10238000.0,6211000.0
Short-term debt,3462000.0,5707000.0,3225000.0,3809000.0,4571000.0,1845000.0,1905000.0,1777000.0,0.0,0.0
Total current liabilities,57897000.0,55485000.0,64735000.0,48924000.0,44202000.0,51566000.0,35750000.0,27691000.0,31444000.0,19805000.0
Long-term debt,1418900000.0,1507308000.0,1243912000.0,1008752000.0,867579000.0,807630000.0,864674000.0,605888000.0,491648000.0,390827000.0
Total debt,1422362000.0,1513015000.0,1247137000.0,1012561000.0,872150000.0,809475000.0,866579000.0,607665000.0,491648000.0,390827000.0
Deferred revenue,8697000.0,9598000.0,11102000.0,12016000.0,12432000.0,13981000.0,8901000.0,4032000.0,10437000.0,8402000.0
Tax Liabilities,1779000.0,4652000.0,5397000.0,3764000.0,2703000.0,2603000.0,2688000.0,2196000.0,1990000.0,1072000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1531635000.0,1570423000.0,1307392000.0,1068490000.0,915116000.0,843884000.0,891601000.0,609888000.0,502457000.0,403176000.0
Total liabilities,1586979000.0,1669049000.0,1412446000.0,1151355000.0,986111000.0,915574000.0,941254000.0,637579000.0,533901000.0,422981000.0
Other comprehensive income,0.0,485065000,471609000,382721000,415536000,467222000,461414000,342305000,-10026000.0,-9141000.0
Retained earnings (deficit),515561000.0,0.0,91000.0,190000.0,-46000.0,-144000.0,-4279000.0,-6464000.0,,
Total shareholders equity,515561000.0,485065000.0,471791000.0,383101000.0,415444000.0,466934000.0,452856000.0,329377000.0,109372000.0,193864000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25437000.0,25919000.0
Net Debt,1419317000.0,1505239000.0,1243480000.0,997548000.0,869320000.0,803123000.0,861342000.0,604396000.0,491245000.0,388319000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775000.0,2934000.0
Other Liabilities,-2553000.0,43141000.0,40319000.0,33941000.0,26793000.0,20124000.0,13903000.0,0.0,21206000.0,13594000.0
