Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Depreciation & Amortization,4799000.0,4044000.0,3249000.0,2954000.0,2367000.0,1313000.0,1012000.0
Stock-based compensation,12583000.0,7404000.0,3792000.0,1364000.0,2454000.0,6296000.0,0.0
Operating Cash Flow,21772000.0,45227000.0,22651000.0,-11261000.0,3700000.0,-1242000.0,5342000.0
Capital Expenditure,-2214000.0,-3465000.0,-3113000.0,-1939000.0,-291000.0,-143000.0,-141000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,-22327000.0,-9909000.0,0.0
Investment purchases and sales,0.0,0.0,0.0,1692000.0,21896000.0,-22355000.0,-110000.0
Investing Cash flow,-2214000.0,-3465000.0,-3113000.0,-247000.0,-1222000.0,-32565000.0,-251000.0
Issuance (repayment) of debt,15000000.0,0.0,-7500000.0,7500000.0,0.0,-3506000.0,-743000.0
Issuance (buybacks) of shares,-55877000.0,-4890000.0,40000.0,-520000.0,-304000.0,60760000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-49386000.0,-11305000.0,-10355000.0,3218000.0,-3547000.0,50111000.0,-4959000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-29828000.0,30457000.0,9183000.0,-8290000.0,-1069000.0,16304000.0,132000.0
Free Cash Flow,19558000.0,41762000.0,19538000.0,-13200000.0,3409000.0,-1385000.0,5201000.0
Net Cash/Marketcap,0.0243,0.1321,0.0986,0.0828,0.1564,0.1711,-0.0139
