date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-16790000.0,-99557000.0,-26563000.0,-23519000.0,69547000.0,-86968000.0,17824000.0,-25130000.0,14954000.0,151164000.0,48983000.0,67826000.0,-54468000.0,53197000.0,69122000.0,-25360000.0,-6134000.0,-6016000.0,8639000.0,2340000.0,-83965000.0,-39990000.0,-300000.0,-500000.0,-32400000.0,-101700000.0,-24600000.0,-11700000.0,-49300000.0,-15400000.0,5100000.0,-22400000.0
,depreciationAndAmortization,164026000.0,204475000.0,0.0,0.0,0.0,0.0,0.0,0.0,50113000.0,47348000.0,61615000.0,64449000.0,43202000.0,27179000.0,39767000.0,21083000.0,21878000.0,20462000.0,22652000.0,20740000.0,22363000.0,23738000.0,22600000.0,21300000.0,20800000.0,23800000.0,14800000.0,11000000.0,14300000.0,21900000.0,18400000.0,17500000.0
,deferredIncomeTax,-5505000.0,-33387000.0,-9699000.0,18308000.0,2112000.0,54978000.0,1895000.0,-5893000.0,546000.0,76944000.0,-141707000.0,-7100000.0,6756000.0,-10486000.0,-11822000.0,0.0,2323000.0,677000.0,-3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,-100000.0,0.0,-200000.0,-3700000.0
,stockBasedCompensation,6458000.0,5668000.0,6278000.0,6323000.0,6184000.0,5425000.0,4965000.0,4461000.0,3101000.0,2073000.0,3446000.0,2746000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,22393000.0,10073000.0,-10579000.0,-39532000.0,22518000.0,9624000.0,-51104000.0,-33120000.0,-34102000.0,-162433000.0,8058000.0,-12221000.0,17128000.0,2404000.0,641000.0,-4261000.0,-15277000.0,-11810000.0,-9358000.0,-4334000.0,-3550000.0,-13331000.0,-17000000.0,-16200000.0,-6600000.0,-2800000.0,-12000000.0,2900000.0,6600000.0,-7100000.0,-500000.0,-1200000.0
,accountsReceivables,-1080000.0,-10939000.0,9843000.0,-2414000.0,4233000.0,-6834000.0,3091000.0,-1313000.0,-4713000.0,16531000.0,-9404000.0,-18117000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-13208000.0,16146000.0,-27512000.0,-3744000.0,-5697000.0,-854000.0,1119000.0,-6507000.0,-2442000.0,-7064000.0,2335000.0,-135000.0,1812000.0,5445000.0,1401000.0,-5216000.0,-3314000.0,-2178000.0,-3890000.0,-1738000.0,-108000.0,-317000.0,-600000.0,500000.0,-4200000.0,-2300000.0,-4100000.0,-400000.0,4200000.0,-3000000.0,4100000.0,-1500000.0
,accountsPayables,19379000.0,-24355000.0,17795000.0,-16434000.0,-6539000.0,-4211000.0,-19697000.0,-10927000.0,4927000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,7532000.0,-7199000.0,-5203000.0,-1869000.0,8350000.0,-47847000.0,-13418000.0,-32333000.0,5177000.0,6471000.0,2989000.0,8875000.0,-1034000.0,-1745000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,11649000.0,13850000.0,16326000.0,6423000.0,8369000.0,15471000.0,11540000.0,2932000.0,3331000.0,8213000.0,195767000.0,9379000.0,21675000.0,55906000.0,5146000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,0.0,0.0,-6400000.0,-4600000.0,5800000.0,37900000.0,-200000.0,-100000.0,0.0
,netCashProvidedByOperatingActivites,180793000.0,120866000.0,94221000.0,115878000.0,225328000.0,106445000.0,83124000.0,26644000.0,69016000.0,69891000.0,197809000.0,114975000.0,14785000.0,64995000.0,61494000.0,-5913000.0,13334000.0,25977000.0,20235000.0,8038000.0,-5734000.0,2956000.0,2000000.0,6000000.0,22300000.0,11800000.0,-5300000.0,8600000.0,9500000.0,4800000.0,26600000.0,7300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-91016000.0,-121421000.0,-136933000.0,-98038000.0,-164788000.0,-137443000.0,-122537000.0,-150736000.0,-113096000.0,-87546000.0,-67414000.0,-23514000.0,-68674000.0,-41034000.0,-27345000.0,-44918000.0,-41371000.0,-19535000.0,-11219000.0,-17890000.0,-15210000.0,-22650000.0,-22500000.0,-24800000.0,-33700000.0,-45300000.0,-66600000.0,-52700000.0,-23200000.0,-18900000.0,-27900000.0,-40600000.0
,acquisitionsNet,0.0,0.0,-139000000.0,0.0,-3000000.0,-1000000.0,0.0,-321000000.0,0.0,0.0,0.0,0.0,-688000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2216000.0,-389000.0,-31971000.0,-56613000.0,-48943000.0,-947000.0,-580000.0,-6001000.0,-5823000.0,-3200000.0,0.0,0.0,0.0,-92276000.0,-55610000.0,-68694000.0,-35034000.0,-21053000.0,0.0,0.0,0.0,0.0,-700000.0,-1200000.0,-4200000.0,-3700000.0,-13600000.0,-27500000.0,0.0,0.0,-200000.0,-400000.0
,salesMaturitiesOfInvestments,0.0,1760000.0,64895000.0,49969000.0,18649000.0,14000.0,0.0,1772000.0,0.0,10814000.0,2597000.0,7578000.0,31037000.0,117596000.0,86651000.0,92128000.0,26404000.0,3050000.0,0.0,0.0,283000.0,311000.0,2900000.0,13800000.0,100000.0,5200000.0,32200000.0,300000.0,0.0,700000.0,1400000.0,4100000.0
