Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,127446000.0,129341000.0,130083000.0,104597000.0,89837000.0,78339000.0,72805000.0,70065000.0,65451000.0,75678000.0
Revenue Growth,-0.0147,-0.0057,0.2437,0.1643,0.1468,0.076,0.0391,0.0705,-0.1351,-0.0732
Cost of Revenue,70808000.0,71080000.0,76191000.0,60384000.0,54122000.0,47707000.0,41704000.0,40878000.0,40659000.0,47219000.0
Gross Profit,56638000.0,58261000.0,53892000.0,44213000.0,35715000.0,30632000.0,31101000.0,29187000.0,24792000.0,28459000.0
R&D Expenses,3334000.0,2004000.0,2147000.0,1658000.0,1414000.0,1500000.0,958000.0,1650000.0,1597000.0,1718000.0
SG&A Expense,49510000.0,38038000.0,35212000.0,33998000.0,31390000.0,30562000.0,27985000.0,24288000.0,22837000.0,22697000.0
Operating Expenses,52844000.0,40042000.0,37359000.0,35656000.0,32804000.0,32062000.0,28943000.0,25938000.0,24434000.0,24415000.0
Operating Income,3794000.0,18219000.0,16533000.0,8557000.0,2911000.0,-1430000.0,2158000.0,3249000.0,358000.0,4044000.0
Interest Expense,-13000.0,-150000.0,29000.0,130000.0,-39000.0,-37000.0,135000.0,-117000.0,289000.0,306000.0
Earnings before Tax,3735000.0,18866000.0,14847000.0,8147000.0,3954000.0,-1650000.0,2023000.0,3366000.0,69000.0,3738000.0
Income Tax Expense,-2115000.0,8913000.0,4339000.0,2908000.0,1351000.0,-454000.0,820000.0,1221000.0,51000.0,1496000.0
Net Income - Non-Controlling int,0.0,-497000.0,1657000.0,280000.0,-1004000.0,257000.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,5850000.0,9953000.0,10508000.0,5239000.0,2603000.0,-1196000.0,1203000.0,2145000.0,18000.0,2242000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,5850000.0,9953000.0,10508000.0,5239000.0,2603000.0,-1196000.0,1203000.0,2145000.0,18000.0,2242000.0
EPS,0.81,1.42,1.55,0.8,0.44,-0.21,0.23,0.41,0.0,0.43
EPS Diluted,0.74,1.3,1.43,0.74,0.41,-0.21,0.22,0.4,0.0,0.43
Weighted Average Shs Out,7589249.0,7243787.0,6898009.0,6589096.0,6319644.0,5837403.0,5360708.0,5239277.0,5223693.0,5212294.0
Weighted Average Shs Out (Dil),7220000.0,7026000.0,6783000.0,6509000.0,5951000.0,5755000.0,5326000.0,5237000.0,5220000.0,5207000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Gross Margin,0.4444,0.4504,0.4143,0.4227,0.3976,0.391,0.4272,0.4166,0.3788,0.3761
EBITDA Margin,0.065,0.181,0.15,0.119,0.085,0.01,0.053,0.076,0.041,0.087
EBIT Margin,0.0292,0.1447,0.1144,0.0791,0.0436,-0.0215,0.0296,0.0464,0.0055,0.0534
Profit Margin,0.046,0.077,0.081,0.05,0.029,-0.015,0.017,0.031,0.0,0.03
Free Cash Flow margin,0.0722,0.0541,0.0187,-0.0158,0.0359,0.0214,-0.0258,0.0543,0.0202,0.1102
EBITDA,8317000.0,23470000.0,19521000.0,12464000.0,7627000.0,810000.0,3857000.0,5301000.0,2656000.0,6609000.0
EBIT,3722000.0,18716000.0,14876000.0,8277000.0,3915000.0,-1687000.0,2158000.0,3249000.0,358000.0,4044000.0
Consolidated Income,5850000.0,9456000.0,12165000.0,5519000.0,1599000.0,-939000.0,1203000.0,2145000.0,18000.0,2242000.0
Earnings Before Tax Margin,0.0293,0.1459,0.1141,0.0779,0.044,-0.0211,0.0278,0.048,0.0011,0.0494
Net Profit Margin,0.0459,0.077,0.0808,0.0501,0.029,-0.0153,0.0165,0.0306,0.0003,0.0296
