date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-2192000000.0,1769000000.0,716000000.0,1228000000.0,782000000.0,436600000.0,307348000.0,280000000.0,175000000.0,115000000.0,216000000.0,42544530.0,-136162467.0,-111623123.0
,depreciationAndAmortization,1445000000.0,991000000.0,891000000.0,789000000.0,695000000.0,661404000.0,570722000.0,463100000.0,347600000.0,236900000.0,171500000.0,145571393.0,90835965.0,32901981.0
,deferredIncomeTax,0.0,-38000000.0,-91000000.0,-79000000.0,26000000.0,-50149000.0,-42391000.0,-22600000.0,-18200000.0,-35700000.0,9200000.0,7957146.0,-34126710.0,-19746205.0
,stockBasedCompensation,122000000.0,15000000.0,12000000.0,10200000.0,7984000.0,8110000.0,5147000.0,5033000.0,3345000.0,2460000.0,1986870000.0,7955166.0,4815022.0,14785372.0
,changeInWorkingCapital,339000000.0,-1554000000.0,60000000.0,201000000.0,372000000.0,436825000.0,392411000.0,140600000.0,39900000.0,38000000.0,-17400000.0,43640182.0,-26689097.0,-8695012.0
,accountsReceivables,0.0,-5000000.0,-5000000.0,647000.0,-6656000.0,-888000.0,-3026000.0,-4670000.0,47000.0,80000.0,-981898000.0,-2848180.0,-8891721.0,1191869.0
,inventory,0.0,-2000000.0,-2000000.0,425000.0,565000.0,919000.0,665000.0,668000.0,0.0,0.0,-1425323000.0,13767424.0,-12823253.0,-7612112.0
,accountsPayables,0.0,0.0,2000000.0,1251000.0,8516000.0,2191000.0,2904000.0,596000.0,0.0,0.0,526932000.0,4254720.0,-8938700.0,-5303367.0
,otherWorkingCapital,0.0,139000000.0,146000000.0,320401000.0,174074000.0,26405000.0,-20000000.0,-59539000.0,-25319000.0,60450000.0,127344812000.0,-339927.0,6677109.0,-14316085.0
,otherNonCashItems,-55000000.0,2133000000.0,1462000000.0,314000000.0,199000000.0,262213000.0,230882000.0,205300000.0,167000000.0,101500000.0,84000000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,609000000.0,3293000000.0,3049000000.0,2453000000.0,2066000000.0,1749673000.0,1454015000.0,1070200000.0,715700000.0,458700000.0,469100000.0,296340013.0,-13737524.0,-68253704.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-219000000.0,-82000000.0,-62273000.0,-42684000.0,-48646000.0,-45525000.0,-1773000.0,-1001600000.0,-783400000.0,-60189662000.0,-264780840.0,-470349508.0,-259833910.0
,acquisitionsNet,0.0,-35000000.0,-72000000.0,-575686000.0,18940000.0,-2957000.0,-2587000.0,-5628000.0,-5000000.0,-9000000.0,-1462576000.0,0.0,0.0,0.0
,purchasesOfInvestments,-1702000000.0,-48000000.0,-721000000.0,-204034000.0,-42219000.0,-21258000.0,-30794000.0,-9043000.0,0.0,0.0,-65151515000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,396000000.0,288000000.0,26000000.0,19700000.0,2138000.0,4498000.0,14226000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8754226.0,20379796.0,-22156121.0
,netCashUsedForInvestingActivites,-8101000000.0,-285000000.0,-6345000000.0,-6716254000.0,183762000.0,-1550357000.0,-1063186000.0,-1152248000.0,-1068130000.0,-734577000.0,-515309504.0,-256026614.0,-451589465.0,-284014183.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-11207000000.0,102000000.0,89000000.0,58447000.0,-47898000.0,-43767000.0,-48351000.0,-17476000.0,0.0,0.0,0.0,-264500000.0,-220500000.0,-157920000.0
,commonStockIssued,6019000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54945161.0,0.0,76185973.0
,commonStockRepurchased,0.0,14000000.0,14000000.0,9000000.0,12000000.0,-84712000.0,20985000.0,28100000.0,18500000.0,7300000.0,1018100000.0,0.0,0.0,0.0
,dividendsPaid,-678000000.0,-658000000.0,0.0,-306000000.0,-276000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2200000.0,-1008333.0,0.0
,otherFinancingActivites,-157000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38163285.0,66707398.0,-4356319.0
,netCashUsedProvidedByFinancingActivities,883000000.0,6045000000.0,4248000000.0,4536103000.0,-247549000.0,232281000.0,21683000.0,30646000.0,19895000.0,13834000.0,845836203.0,47063523.0,482478728.0,499306491.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-300000000.0,62000000.0,-24000000.0,-32733000.0,13300000.0,-2624000.0,-1082000.0,-976000.0,758000.0,-16463000.0,-10173515.0,-35579.0,-7541319.0,-6675561.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-6909000000.0,9115000000.0,928000000.0,720000000.0,1638000000.0,428973000.0,411430000.0,-52400000.0,-331800000.0,-278500000.0,789500000.0,87341343.0,9610420.0,140363043.0
