Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,316797000.0,265357000.0,269198000.0,273053000.0,255146000.0,274785000.0,283100000.0,261885000.0,197814000.0,224638000.0
Short-term investments,0.0,0.0,0.0,0.0,,,,,,
Cash and short-term investments,316797000.0,265357000.0,269198000.0,273053000.0,,,,,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,410944000.0,330332000.0,343574000.0,360475000.0,,,,,,
Property, Plant & Equipment Net,506899000.0,514454000.0,527583000.0,516716000.0,526423000.0,504842000.0,481287000.0,453050000.0,468950000.0,490375000.0
Goodwill and Intangible Assets,282532000.0,282532000.0,282557000.0,282685000.0,283329000.0,285718000.0,290351000.0,294722000.0,299841000.0,304890000.0
Long-term investments,3755994000.0,4448460000.0,4696911000.0,4670563000.0,,,,,,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,,,,,,,,,,
Total assets,11871952000.0,12184698000.0,11804041000.0,11772869000.0,12196520000.0,12079477000.0,11882673000.0,11739649000.0,11943469000.0,11762543000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,11137000.0,100000000.0,12163000.0,14118000.0,,,,,,
Total current liabilities,9195509000.0,9832941000.0,9396542000.0,9156823000.0,,,,,,
Long-term debt,597000000.0,421000000.0,462000000.0,886000000.0,,,,,,
Total debt,1096070000.0,1709446000.0,1398776000.0,1494938000.0,2107710000.0,2372057000.0,2069432000.0,2033516000.0,2661167000.0,2990524000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,8696545000.0,8544892000.0,8610089000.0,8536253000.0,8438625000.0,8243425000.0,8287213000.0,7946092000.0,7599558000.0,7178007000.0
Total non-current liabilities,,,,,,,,,,
Total liabilities,9932370000.0,10345718000.0,10079374000.0,10107366000.0,10615862000.0,10655069000.0,10446965000.0,10139484000.0,10484252000.0,10355073000.0
Other comprehensive income,-54634000.0,-28397000.0,-26697000.0,2167000.0,11397000.0,-43774000.0,65662000.0,84959000.0,28777000.0,65878000.0
Retained earnings (deficit),2064134000.0,1891805000.0,1777963000.0,1683600000.0,1585389000.0,1467000000.0,1369543000.0,1302964000.0,1214743000.0,1122290000.0
Total shareholders equity,1939582000.0,1838980000.0,1724667000.0,1665503000.0,1580658000.0,1424408000.0,1435708000.0,1600165000.0,1459217000.0,1407470000.0
Investments,10538545000.0,10728945000.0,10596938000.0,10554489000.0,10969450000.0,10824616000.0,10616965000.0,10536857000.0,10775383000.0,10577806000.0
Net Debt,291340000.0,,,,,,,,,
Other Assets,94147000.0,,,,,,,,,
Other Liabilities,9184372000.0,9732941000.0,9384379000.0,9142705000.0,,,,,,
