Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,2943000.0,2194000.0,2041000.0,1755000.0,2182000.0,2450000.0,2150000.0,2258000.0,2601000.0,2470000.0
Stock-based compensation,1395000.0,844000.0,685000.0,579000.0,457000.0,532000.0,414000.0,214000.0,474000.0,561000.0
Operating Cash Flow,177000.0,4230000.0,-405000.0,664000.0,3158000.0,2315000.0,2006000.0,-3000.0,1616000.0,2105000.0
Capital Expenditure,-5507000.0,-2294000.0,-1766000.0,-3982000.0,-1458000.0,-930000.0,-1735000.0,-2582000.0,-1811000.0,-1367000.0
Acquisitions and disposals,-1397000.0,-2426000.0,-536000.0,-197000.0,500000.0,0.0,626000.0,0.0,775000.0,-1342000.0
Investment purchases and sales,-38093000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225000.0
Investing Cash flow,-44997000.0,-4720000.0,-2302000.0,-4179000.0,-958000.0,-930000.0,-1109000.0,-2582000.0,-1043000.0,-2484000.0
Issuance (repayment) of debt,-11787000.0,-350000.0,-307000.0,3331000.0,-2068000.0,-1531000.0,-701000.0,2527000.0,-573000.0,639000.0
Issuance (buybacks) of shares,63787000.0,314000.0,3815000.0,340000.0,165000.0,145000.0,159000.0,230000.0,261000.0,152000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,52000000.0,-36000.0,3508000.0,3731000.0,-1935000.0,-1404000.0,-799000.0,2420000.0,-668000.0,523000.0
Effect of forex changes on cash,-150000.0,281000.0,-518000.0,-177000.0,-154000.0,11000.0,8000.0,3000.0,-9000.0,-8000.0
Net cash flow / Change in cash,7030000.0,-245000.0,283000.0,39000.0,111000.0,-8000.0,106000.0,-162000.0,-104000.0,136000.0
Free Cash Flow,-5330000.0,1936000.0,-2171000.0,-3318000.0,1700000.0,1385000.0,271000.0,-2585000.0,-195000.0,738000.0
Net Cash/Marketcap,0.2024,-0.0751,-0.2275,-0.1956,-0.1385,-0.3629,-0.4354,-0.2758,-0.3824,-0.4974
