Date,2018-12-31,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,492860000.0,612057000.0,43394000.0,13203625.0,13452775.0,6961494.0,41326000.0,32838096.0,27097610.0,29533230.0,27390778.0
Short-term investments,4941000.0,26745000.0,111508000.0,37424221.0,86165532.0,34871120.0,0.0,0.0,0.0,957000.0,0.0
Cash and short-term investments,497801000.0,638802000.0,154902000.0,50627846.0,99618307.0,41832614.0,41326000.0,32838096.0,27097610.0,30490230.0,27390778.0
Receivables,0.0,46000.0,489000.0,750760.0,1202695.0,977719.0,1250587.0,1048960.0,1711311.0,1195015.0,1830856.0
Inventories,0.0,0.0,580000.0,350524.0,584424.0,778989.0,1030480.0,415876.0,289604.0,534709.0,232920.0
Total current assets,504503000.0,648380000.0,157298000.0,52951105.0,103487202.0,45384897.0,45215610.0,35479433.0,30257618.0,32999691.0,
Property, Plant & Equipment Net,23469000.0,15733000.0,5245000.0,3969163.0,2241838.0,1895475.0,2086911.0,2527500.0,3456150.0,4327801.0,5079354.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8222154.0,17458349.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Total non-current assets,15793000.0,5275000.0,3999163.0,2292404.0,2101585.0,2711743.0,3155788.0,4067155.0,13122418.0,,
Total assets,528040000.0,664173000.0,162573000.0,56950268.0,105779606.0,47486482.0,47927353.0,38635221.0,34324773.0,46122109.0,53280912.0
Payables,20125000.0,31664000.0,31367000.0,15188189.0,11808223.0,6886682.0,3950866.0,2982016.0,5548318.0,4424216.0,4746286.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,31722000.0,43740000.0,122244000.0,15423561.0,12079890.0,7126840.0,6731175.0,3164647.0,5548318.0,4424216.0,50431671.0
Long-term debt,7055000.0,19763000.0,98084000.0,97354398.0,96624577.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,19763000.0,98084000.0,97354398.0,96624577.0,0.0,0.0,0.0,0.0,0.0,,
Deferred revenue,94000.0,171000.0,235372.0,271667.0,240158.0,2780309.0,182631.0,0.0,0.0,,
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Total non-current liabilities,220747000.0,99793000.0,99053674.0,98224337.0,1500244.0,1400728.0,1301212.0,1134492.0,979278.0,,
Total liabilities,262191000.0,264487000.0,222037000.0,114477235.0,110304227.0,8627084.0,8131903.0,4465859.0,6682810.0,5403494.0,51304371.0
Other comprehensive income,-353000.0,-303000.0,-132226.0,-161092.0,261837.0,161830.0,80161.0,394669.0,341214.0,,
Retained earnings (deficit),-953216000.0,-795548000.0,-521711000.0,-368504954.0,-309468004.0,-261465638.0,-226039812.0,-214658289.0,-217898394.0,-202827973.0,-239824199.0
Total shareholders equity,266751000.0,400507000.0,-58693000.0,-56816227.0,-3912647.0,39349767.0,40180467.0,34456922.0,27815949.0,40718615.0,1976541.0
Investments,43636000.0,26745000.0,111508000.0,37424221.0,86165532.0,34871120.0,0.0,0.0,0.0,9179154.0,17458349.0
Net Debt,-490746000.0,-619039000.0,-56818000.0,46726552.0,-2993730.0,-41832614.0,-41326000.0,-32838096.0,-27097610.0,-30490230.0,-27390778.0
Other Assets,6702000.0,9532000.0,1327000.0,1221975.0,2081776.0,1795575.0,1608543.0,1176501.0,1159093.0,779737.0,772227.0
Other Liabilities,11597000.0,12076000.0,90877000.0,235372.0,271667.0,240158.0,2780309.0,182631.0,0.0,0.0,45685385.0
