date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2003-03-26_FY,2002-12-31_FY
,revenue,20548000000.0,34002000000.0,34964000000.0,29125000000.0,25446000000.0,26809000000.0,36440000000.0,32809000000.0,31188000000.0,30714000000.0,25092000000.0,21398000000.0,31579000000.0,25443000000.0,24788000000.0,28214000000.0,22460000000.0,19208000000.0,0.0,17042000000.0
,costOfRevenue,22121000000.0,27466000000.0,27662000000.0,23843000000.0,20344000000.0,20718000000.0,28141000000.0,25443000000.0,22933000000.0,22961000000.0,18807000000.0,15885000000.0,23093000000.0,17500000000.0,17239000000.0,20495000000.0,15914000000.0,13605000000.0,0.0,13265000000.0
,grossProfit,-1573000000.0,6536000000.0,7302000000.0,5282000000.0,5102000000.0,6091000000.0,8299000000.0,7366000000.0,8120000000.0,7513000000.0,6139000000.0,5407000000.0,8147000000.0,7569000000.0,7266000000.0,7302000000.0,6494000000.0,5489000000.0,0.0,3625000000.0
,grossProfitRatio,-0.0765524625267666,0.192223986824304,0.2088433817641,0.181356223175966,0.200503026015877,0.227199820955649,0.227744237102086,0.224511566948094,0.260356547390022,0.244611577782119,0.244659652478878,0.252687167024956,0.257987903353494,0.297488503714185,0.293125705986768,0.258807684128447,0.28913624220837,0.285766347355269,0.0,0.212709775847905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,47000000.0,19000000.0,183000000.0,94000000.0,73000000.0,67000000.0,123000000.0,83000000.0,92000000.0,191000000.0,153000000.0,132000000.0,106000000.0,32000000.0,43000000.0,59000000.0,55000000.0,0.0,30000000.0
,GeneralAndAdministrativeExpenses,0.0,1043000000.0,1015000000.0,893000000.0,1129000000.0,1117000000.0,1075000000.0,1082000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,900000000.0,908000000.0,893000000.0,1129000000.0,1117000000.0,1075000000.0,1082000000.0,1081000000.0,1168000000.0,1070000000.0,1106000000.0,0.0,0.0,0.0,1577000000.0,1218000000.0,0.0,0.0,0.0
,otherExpenses,-121000000.0,7148000000.0,6579000000.0,6164000000.0,5692000000.0,5837000000.0,6028000000.0,11000000.0,4698000000.0,4331000000.0,4229000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
