date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,29453000.0,25239000.0,21900000.0,15226000.0,12074000.0
,depreciationAndAmortization,7831000.0,7655000.0,5667000.0,5299000.0,3799000.0
,deferredIncomeTax,-4118000.0,-4402000.0,978000.0,-3296000.0,3544000.0
,stockBasedCompensation,2110000.0,1680000.0,1596000.0,1038000.0,736000.0
,changeInWorkingCapital,2766586000.0,-306619000.0,-558569000.0,-812679000.0,-251094000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-72236000.0,-2838822000.0,-2532203000.0,-1973634000.0,-1160955000.0
,otherNonCashItems,-2788794000.0,232870000.0,557784000.0,819036000.0,257411000.0
,netCashProvidedByOperatingActivites,13068000.0,-43577000.0,29356000.0,24624000.0,26470000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-25559000.0,-4105000.0,-2219000.0,-1517000.0,-3173000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-146091000.0,-211205000.0,-91547000.0,-94013000.0,-366355000.0
,salesMaturitiesOfInvestments,196710000.0,122747000.0,62507000.0,77534000.0,92046000.0
,otherInvestingActivites,-69869000.0,-220710000.0,-607454000.0,-890155000.0,-309240000.0
,netCashUsedForInvestingActivites,-44809000.0,-313273000.0,-638713000.0,-908151000.0,-586722000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-440000000.0,-605000000.0,-263000000.0,-321806000.0,-158000000.0
,commonStockIssued,0.0,0.0,54334000.0,51636000.0,46223000.0
,commonStockRepurchased,0.0,-9784000.0,-216000.0,0.0,0.0
,dividendsPaid,-2349000.0,-2418000.0,-2230000.0,-1675000.0,-1199000.0
,otherFinancingActivites,566535000.0,1112701000.0,961200000.0,1163901000.0,687528000.0
,netCashUsedProvidedByFinancingActivities,124186000.0,495499000.0,750088000.0,892056000.0,574552000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,92445000.0,138649000.0,140731000.0,8529000.0,14300000.0
,cashAtEndOfPeriod,419806000.0,327361000.0,188712000.0,47981000.0,39452000.0
,cashAtBeginningOfPeriod,327361000.0,188712000.0,47981000.0,39452000.0,25152000.0
,operatingCashFlow,13068000.0,-43577000.0,29356000.0,24624000.0,26470000.0
,capitalExpenditure,-25559000.0,554000.0,332000.0,30000.0,-3173000.0
,freeCashFlow,-12491000.0,-47682000.0,27137000.0,23107000.0,23297000.0
