Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,15994000.0,15681000.0,14354000.0,12307000.0,12108000.0,8490000.0,10212000.0,9634000.0,9880000.0,5744000.0
Stock-based compensation,4225000.0,3333000.0,3628000.0,2490000.0,3554000.0,3074000.0,3363000.0,2563000.0,1734000.0,774000.0
Operating Cash Flow,141837000.0,130909000.0,92899000.0,89543000.0,90305000.0,141335000.0,43952000.0,56469000.0,46653000.0,31416000.0
Capital Expenditure,-8917000.0,-18774000.0,-10050000.0,-9255000.0,-6459000.0,-9264000.0,-8464000.0,-7821000.0,-6985000.0,-6534000.0
Acquisitions and disposals,-6906000.0,6289000.0,8668000.0,-13448000.0,0.0,10520000.0,-8965000.0,-457000.0,-269000.0,97335000.0
Investment purchases and sales,-374761000.0,-307904000.0,-238720000.0,-188772000.0,-286565000.0,-216775000.0,-259172000.0,-187559000.0,-163453000.0,103422000.0
Investing Cash flow,-387511000.0,-316769000.0,-238886000.0,-205541000.0,-292672000.0,-208596000.0,-267939000.0,-190766000.0,-163784000.0,205179000.0
Issuance (repayment) of debt,43068000.0,-14234000.0,-59836000.0,-112932000.0,-41398000.0,-141017000.0,-90813000.0,-27179000.0,-81441000.0,-243132000.0
Issuance (buybacks) of shares,1525000.0,428000.0,1828000.0,3405000.0,3247000.0,2775000.0,2332000.0,4590000.0,629000.0,304000.0
Dividend payments,-40167000.0,-34045000.0,-29711000.0,-26172000.0,-22443000.0,-15122000.0,-22494000.0,-16038000.0,-15237000.0,-13455000.0
Financing Cash Flow,283013000.0,109881000.0,159317000.0,213509000.0,164296000.0,68112000.0,201957000.0,210519000.0,156508000.0,-164797000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,37339000.0,-75979000.0,13330000.0,97511000.0,-38071000.0,851000.0,-22030000.0,76222000.0,39377000.0,71798000.0
Free Cash Flow,132920000.0,112135000.0,82849000.0,80288000.0,83846000.0,132071000.0,35488000.0,48648000.0,39668000.0,24882000.0
Net Cash/Marketcap,-0.0803,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754,0.0754
