Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,98799694.1176,196115121.1073,108744074.1186,2211671.0165,33384556.1544,14347922.3015,41498235.1848,22735886.6504,35448611.7876,6940727.5502,5680654.5263
Short-term investments,142887976.4706,276333598.6159,71005234.0272,118605567.8244,32154878.4512,26563929.1861,31427456.8085,9978304.1842,7159279.1038,41324853.7268,49134072.3146
Cash and short-term investments,241687670.5882,472448719.7232,179749308.1458,120817238.8409,65539434.6056,40911851.4876,72925691.9933,32714190.8346,42607890.8914,48265581.277,54814726.8409
Receivables,171815976.4706,146718719.7232,134227529.7798,162104798.2333,98828181.7182,125782886.6486,116416867.9175,103090325.4372,98271797.3697,88586873.5691,62715492.2143
Inventories,680564.7059,1339480.9689,1366983.5158,1218095.4293,1688153.1185,1274649.6189,1838380.0855,2301084.7908,1798343.887,5581531.4169,3100026.3922
Total current assets,404372800.0,574015951.5571,271645108.8918,274611724.5533,156635243.6476,157723137.4478,178377856.214,121529555.0144,126906478.3244,151834647.6723,511258643.4415
Property, Plant & Equipment Net,1427258964.7059,2928648719.7232,2168055468.656,2165055276.7182,469191398.086,218471108.9255,304998142.2998,347858977.1973,382931076.4735,389104807.9369,417451306.4133
Goodwill and Intangible Assets,9547529.4118,16258027.6817,6711587.0533,4493006.759,7591574.0843,8083845.5864,11640535.0176,4981403.5865,5539454.4569,10170185.7034,2480337.82
Long-term investments,48393035.2941,86132837.3702,51638972.4462,60910392.8261,47900560.9944,28935087.2879,50358536.1323,48582687.6245,30172917.6814,42656321.5467,46677223.5418
Tax assets,3394941.1765,13466782.0069,3694922.392,26622699.5918,5886591.1341,5043889.8451,7892810.7004,6081248.6163,6714076.9605,0.0,0.0
Total non-current assets,1501482188.2353,3100962283.737,2280485080.0144,2269823930.9376,541279947.2005,272104622.5719,389113133.9402,432791011.7335,452575986.3614,480205545.6627,232967273.687
Total assets,1905854988.2353,3674978235.2941,2552130188.9063,2544435655.4909,697915190.8481,429827760.0197,567490990.1542,554320566.7478,579482464.6858,632040193.335,647008445.5001
Payables,79396211.7647,140192664.3599,90938515.2208,86328046.577,115494775.0522,84273911.9744,116648708.8984,115582909.0104,114096200.6819,69802849.1478,67894695.1702
Short-term debt,29634447.0588,16444498.2699,15032366.7429,41925450.0435,51837531.6247,58917752.6432,66139327.5125,14293114.8993,29618850.4627,51972271.6866,62239113.2225
Total current liabilities,95430141.1765,140821557.0934,108331909.5175,121934952.8207,166626993.7301,137472215.3922,168183726.5465,123538631.8353,130699220.6527,168084202.493,179568487.7276
Long-term debt,524036682.3529,826998200.692,356041330.7665,352444355.2165,365470025.2997,128608556.6757,155083410.7375,150664157.6267,149903312.226,172512083.4393,182669305.8855
Total debt,553671129.4118,843442698.9619,371073697.5093,394369805.26,417307556.9244,187526309.3189,221222738.25,164957272.526,179522162.6887,224484355.1259,244908419.1079
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,309549717.6471,618739065.7439,693797256.6478,686937295.0545,25319436.8056,20218711.581,33368939.2532,50117113.1282,49646127.6181,31930297.6342,48165215.0963
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45892393.7929,44932435.9989
Total non-current liabilities,854827247.0588,1477008996.5398,1059112441.3428,1055290838.5197,405543284.5672,168727686.2552,211528144.1575,215479079.0348,221614710.1802,219411854.49,232967273.687
Total liabilities,950257388.2353,1617830553.6332,1167444350.8603,1177225791.3404,572170278.2972,306199901.6474,379711870.7041,339017710.87,352313930.8329,387496056.983,412535761.4146
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),1359000000.0,1108733846.7092,1090510339.2893,31193708.0629,17051020.4082,30507895.2257,11462032.3223,5521432.0507,,,
Total shareholders equity,904356376.4706,1979485259.5156,1332275237.6369,1315305962.6581,105413375.8662,100010695.8446,157704439.9034,182394509.6303,193842669.2645,210877639.2775,202126682.502
Investments,191281011.7647,362466435.9862,122644206.4733,179515960.6505,80055439.4456,55499016.4741,81785992.9407,58560991.8087,37332196.7852,83981175.2735,95811295.8564
Net Debt,,,,,,,,,,,
Other Assets,,,,,,,,,,,
Other Liabilities,-13600517.647,-15815605.5364,2361027.5538,-6318543.7998,-705312.9468,-5719449.2254,-14604309.8644,-6337392.0744,-13015830.4919,46309081.6586,49434679.3349
