Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,1805400000.0,2517700000.0,2070200000.0,2214700000.0,1918200000.0,1914800000.0,1123300000.0,1109700000.0,1377200000.0,790000000.0
Short-term investments,283000000.0,277000000.0,330000000.0,403000000.0,363900000.0,283700000.0,308800000.0,182400000.0,,
Cash and short-term investments,2088400000.0,2794700000.0,2400200000.0,2617700000.0,1487200000.0,1393400000.0,1686000000.0,972400000.0,,
Receivables,906100000.0,1547800000.0,1323300000.0,1267900000.0,1439600000.0,1491500000.0,1083600000.0,967300000.0,1096900000.0,672400000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,20465000000.0,22321000000.0,17207200000.0,16127600000.0,3907600000.0,3834100000.0,4274500000.0,3121000000.0,,
Property, Plant & Equipment Net,468700000.0,490700000.0,464700000.0,426900000.0,402600000.0,350800000.0,349600000.0,312800000.0,272400000.0,220700000.0
Goodwill and Intangible Assets,9333200000.0,8149400000.0,7528600000.0,7529700000.0,7826100000.0,8131000000.0,8335900000.0,8230700000.0,8317400000.0,6606700000.0
Long-term investments,506800000.0,553700000.0,438800000.0,882000000.0,4797400000.0,6829800000.0,7370400000.0,842400000.0,,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,38400000.0,28700000.0,30400000.0,123500000.0
Total non-current assets,13584800000.0,15512900000.0,16169600000.0,7788600000.0,,,,,,
Total assets,30978400000.0,31668800000.0,25734300000.0,25073200000.0,20450000000.0,19270500000.0,17492400000.0,19347000000.0,20444100000.0,10909600000.0
Payables,12650700000.0,14124000000.0,9695900000.0,7476500000.0,3185300000.0,3061100000.0,2332500000.0,1683100000.0,1800200000.0,1650900000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,215100000.0,0.0,0.0,,
Total current liabilities,1733700000.0,1591800000.0,1466700000.0,1524400000.0,2713000000.0,2974400000.0,3264500000.0,2298400000.0,,
Long-term debt,7635000000.0,6876000000.0,6506000000.0,7510000000.0,5085400000.0,6582500000.0,7181100000.0,745700000.0,,
Total debt,7634800000.0,6875600000.0,6505500000.0,7509800000.0,6726400000.0,5770300000.0,5085400000.0,6797600000.0,7181100000.0,745700000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,326400000.0,275500000.0,309700000.0,288900000.0,304800000.0,323600000.0,311400000.0,333600000.0,301200000.0,82800000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81200000.0,146300000.0,0.0
Total non-current liabilities,5730400000.0,7235000000.0,7818700000.0,990400000.0,,,,,,
Total liabilities,21646000000.0,22470000000.0,17838800000.0,16210200000.0,11164700000.0,10293200000.0,8443400000.0,10209400000.0,11083200000.0,3288800000.0
Other comprehensive income,-735000000.0,-391200000.0,-809300000.0,-446000000.0,48800000.0,427900000.0,530500000.0,373300000.0,495500000.0,393600000.0
Retained earnings (deficit),5884500000.0,5489100000.0,4833400000.0,4439600000.0,3943600000.0,3466200000.0,2930100000.0,2747500000.0,2399900000.0,1631400000.0
Total shareholders equity,8578800000.0,8696100000.0,7503800000.0,7885300000.0,8326000000.0,8392600000.0,8316800000.0,8119100000.0,8264600000.0,6912900000.0
Investments,6827000000.0,6332600000.0,5911400000.0,7035200000.0,6648200000.0,5574400000.0,5161300000.0,7113500000.0,7679200000.0,1024800000.0
Net Debt,5801500000.0,3598200000.0,5404200000.0,5495100000.0,-226700000.0,,,,,
Other Assets,17470500000.0,1336800000.0,1473400000.0,1491600000.0,1476200000.0,,,,,
Other Liabilities,-10917000000.0,-12532200000.0,-8229200000.0,-5952100000.0,380500000.0,1076200000.0,1464300000.0,647500000.0,,
