date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,761600000.0,688300000.0,882800000.0,1127300000.0,854200000.0,968100000.0,988100000.0,940300000.0,677100000.0,729700000.0,465700000.0,322500000.0,481700000.0,673600000.0
,depreciationAndAmortization,203500000.0,177600000.0,142100000.0,116800000.0,101200000.0,93600000.0,89400000.0,88400000.0,95000000.0,117400000.0,96700000.0,77600000.0,47600000.0,64100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,188500000.0,207500000.0,172400000.0,175300000.0,159700000.0,150300000.0,138000000.0,133100000.0,136400000.0,115100000.0,117800000.0,90800000.0,97700000.0,0.0
,changeInWorkingCapital,146600000.0,-11430200000.0,-904600000.0,409100000.0,-457900000.0,279500000.0,338900000.0,107500000.0,334900000.0,-150300000.0,187400000.0,547100000.0,-278000000.0,127700000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-10463100000.0,967100000.0,1871700000.0,1462600000.0,1920500000.0,1641000000.0,1302100000.0,1194600000.0,859700000.0,1010000000.0,822600000.0,275500000.0,553500000.0
,otherNonCashItems,-44900000.0,-65700000.0,40000000.0,-39400000.0,-22900000.0,38500000.0,-48500000.0,-36400000.0,-8300000.0,77800000.0,63400000.0,42300000.0,-60700000.0,-103200000.0
,netCashProvidedByOperatingActivites,1230300000.0,1116600000.0,828800000.0,1370700000.0,129300000.0,1053500000.0,1200400000.0,780200000.0,819300000.0,964800000.0,379200000.0,362700000.0,495700000.0,913700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-115000000.0,-124300000.0,-102500000.0,-111700000.0,-147700000.0,-124500000.0,-133200000.0,-88200000.0,-99300000.0,-107000000.0,-89600000.0,-39500000.0,-84100000.0,-36700000.0
,acquisitionsNet,0.0,291000000.0,-1469000000.0,-299000000.0,-122000000.0,0.0,61000000.0,135000000.0,-37000000.0,-32000000.0,-776000000.0,-34000000.0,-174000000.0,-54000000.0
,purchasesOfInvestments,-4702200000.0,-5473900000.0,-4641800000.0,-5886800000.0,-3864900000.0,-4820900000.0,-6486300000.0,-4953300000.0,-3463900000.0,-3166200000.0,-2471000000.0,-148200000.0,-248800000.0,-411800000.0
,salesMaturitiesOfInvestments,3925500000.0,3778200000.0,3333200000.0,5203800000.0,3105300000.0,4230100000.0,4693000000.0,4628500000.0,3481000000.0,3603800000.0,2973400000.0,112700000.0,309400000.0,260400000.0
,otherInvestingActivites,0.0,26000000.0,-63800000.0,0.0,0.0,0.0,0.0,-1900000.0,-37200000.0,0.0,25300000.0,0.0,-45300000.0,196000000.0
,netCashUsedForInvestingActivites,-865100000.0,-1425400000.0,-2898700000.0,-961100000.0,-990600000.0,-664800000.0,-1827200000.0,-239900000.0,-82400000.0,348100000.0,-337800000.0,-102400000.0,-68600000.0,-46400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-791100000.0,-2150400000.0,-714600000.0,-2438800000.0,-142800000.0,-1573100000.0,-721800000.0,-1461300000.0,-745700000.0,-544300000.0,362700000.0,-397200000.0,-117200000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441800000.0,0.0,137400000.0
,commonStockRepurchased,-47100000.0,-469800000.0,-51800000.0,-63800000.0,-535000000.0,-548800000.0,-269600000.0,-470500000.0,-265000000.0,-436500000.0,-192200000.0,0.0,-313400000.0,-716000000.0
,dividendsPaid,-594200000.0,-652700000.0,-490600000.0,-471600000.0,-460400000.0,-454500000.0,-424000000.0,-379700000.0,-289000000.0,-220900000.0,-197900000.0,-168900000.0,-207100000.0,-155000000.0
,otherFinancingActivites,-121500000.0,125400000.0,333200000.0,330800000.0,280400000.0,8700000.0,306300000.0,-148300000.0,-244300000.0,-132800000.0,-58100000.0,-56400000.0,-108500000.0,-84100000.0
,netCashUsedProvidedByFinancingActivities,-285900000.0,201300000.0,1540000000.0,169000000.0,470100000.0,23300000.0,862500000.0,-59300000.0,-645900000.0,-1322100000.0,-65900000.0,-100700000.0,-666400000.0,-740800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,53300000.0,10700000.0,-44800000.0,99800000.0,-132200000.0,-74800000.0,-52700000.0,14700000.0,17100000.0,-3900000.0,3000000.0,17200000.0,-91300000.0,10400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,138100000.0,-104200000.0,-712300000.0,678400000.0,-523400000.0,337200000.0,183000000.0,495700000.0,108100000.0,-13100000.0,-21500000.0,176800000.0,-330600000.0,136900000.0
