Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,1044000000.0,913000000.0,798000000.0,685000000.0,596000000.0
Stock-based compensation,0000000.0,2000000.0,9000000.0,16000000.0,9000000.0
Operating Cash Flow,1804000000.0,1020000000.0,1258000000.0,526000000.0,1465000000.0
Capital Expenditure,-2204000000.0,-1755000000.0,-894000000.0,-651000000.0,-387000000.0
Acquisitions and disposals,-1000000.0,-3000000.0,-2000000.0,-1000000.0,-6000000.0
Investment purchases and sales,0,0,0,0,0
Investing Cash flow,-3279000000.0,-3086000000.0,-1103000000.0,-1373000000.0,-614000000.0
Issuance (repayment) of debt,-5446000000.0,-4169000000.0,-3106000000.0,-4135000000.0,-3581000000.0
Issuance (buybacks) of shares,000000.0,000000.0,-140000000.0,000000.0,000000.0
Dividend payments,,,,,
Financing Cash Flow,455000000.0,1706000000.0,563000000.0,877000000.0,-1772000000.0
Effect of forex changes on cash,-76000000.0,46000000.0,10000000.0,5000000.0,10000000.0
Net cash flow / Change in cash,-1096000000.0,-314000000.0,728000000.0,35000000.0,-912000000.0
Free Cash Flow,-400000000.0,-735000000.0,364000000.0,-124000000.0,1077000000.0
Net Cash/Marketcap,,,,,
