Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Revenue,49979000.0,50000000.0,54573000.0,55000000.0,38287000.0,38000000.0,32464000.0,32000000.0,29226452.0,29000000.0,25828377.0,43062021.0
Revenue Growth,-0.00042,-0.0837960163450791,-0.00776363636363636,0.436518922871993,0.00755263157894737,0.170527353376047,0.0145,0.0948985528588965,0.00780868965517241,0.122796062640715,-0.400205183124127,0.0
Cost of Revenue,28961000.0,29000000.0,24293000.0,24000000.0,21414000.0,21000000.0,17689000.0,18000000.0,13250885.0,13000000.0,12788264.0,11691365.0
Gross Profit,21018000.0,21000000.0,30280000.0,30000000.0,16873000.0,16000000.0,14775000.0,15000000.0,15975567.0,16000000.0,13040113.0,31370656.0
R&D Expenses,6860000.0,7000000.0,9676000.0,10000000.0,7039000.0,7000000.0,663000.0,1000000.0,0.0,000000.0,770642.0,2779058.0
SG&A Expense,17244000.0,17000000.0,15325000.0,15000000.0,11707000.0,12000000.0,10297000.0,10000000.0,8477233.0,8000000.0,8570094.0,8108194.0
Operating Expenses,24881000.0,24000000.0,25001000.0,25000000.0,18746000.0,19000000.0,10960000.0,11000000.0,10100601.0,8000000.0,10230605.0,10887252.0
Operating Income,-3863000.0,-3000000.0,5279000.0,5000000.0,-1873000.0,-3000000.0,3815000.0,4000000.0,5874966.0,7000000.0,2809508.0,22928862.0
Interest Expense,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,12111.0
Earnings before Tax,-2246000.0,-2000000.0,6042000.0,6000000.0,-1491000.0,-2000000.0,4378000.0,4000000.0,6726338.0,7000000.0,3462225.0,20566474.0
Income Tax Expense,-186000.0,-0000000.0,91000.0,0000000.0,5000.0,0000000.0,988000.0,1000000.0,22564.0,0000000.0,0.0,31000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,-2060000.0,-2000000.0,5951000.0,6000000.0,-1496000.0,-2000000.0,3390000.0,3000000.0,6703774.0,7000000.0,9917273.0,20527192.0
Preferred Dividends,-445000.0,,28000.0,,28000.0,,28000.0,,27500.0,,29334.0,-30000.0
Net Income Com,-2060000.0,-2000000.0,5951000.0,6000000.0,-1496000.0,-2000000.0,3390000.0,3000000.0,6703774.0,7000000.0,9917273.0,20527192.0
EPS,-0.15,-0.15,0.55,0.55,-0.14,-0.20,0.31,0.31,0.59,0.59,0.11,0.24
EPS Diluted,-0.15,-0.15,0.55,0.55,-0.14,-0.20,0.27,0.27,0.52,0.52,0.03,0.22
Weighted Average Shs Out,10824000.0,11000000.0,10795000.0,11000000.0,10774000.0,11000000.0,10992000.0,11000000.0,11259347.0,11000000.0,87315808.0,86325350.0
Weighted Average Shs Out (Dil),10824000.0,11000000.0,10891000.0,11000000.0,10774000.0,11000000.0,11007000.0,11000000.0,11273456.0,11000000.0,88504274.0,92549153.0
Dividend per Share,0.00129342202513,,0.00257093012579,,0.00259884908112,,0.00254383574089,,0.00243935843631,,0.000331441620548,0.000324152075168
Gross Margin,0.420536625383,0.42,0.554853132501,0.54545454545455,0.440697887011,0.42105263157895,0.455119517003,0.46875,0.546613287169,0.55172413793103,0.504875432165,0.728499389288
EBITDA Margin,-0.0322135296825,-0.02,0.131530243894,0.12727272727273,0.000992503983075,-0.026315789473684,0.178875061607,0.1875,0.232462804585,0.27586206896552,0.133646260468,0.536339248917
EBIT Margin,-0.0772924628344,-0.04,0.0967328165943,0.10909090909091,-0.0489199989553,-0.052631578947368,0.117514785609,0.125,0.201015367859,0.24137931034483,0.108776017943,0.532461353823
Profit Margin,-0.0412173112707,-0.04,0.109046598135,0.10909090909091,-0.0390733147021,-0.052631578947368,0.104423361262,0.09375,0.229373514103,0.24137931034483,0.383968106087,0.476689006306
Free Cash Flow margin,-0.0142659917165,,0.139666135268,,-0.0678820487372,,0.150351158206,,0.224120361924,,0.130009524021,-0.0614688753229
EBITDA,-1610000.0,-1000000.0,7178000.0,7000000.0,38000.0,-1000000.0,5807000.0,6000000.0,6794063.0,8000000.0,3451866.0,23095852.0
EBIT,-3863000.0,-2000000,5279000.0,6000000,-1873000.0,-2000000,3815000.0,4000000,5874966.0,7000000,2809508.0,22928862.0
Consolidated Income,-2060000.0,-2000000.0,5951000.0,6000000.0,-1496000.0,-2000000.0,3390000.0,3000000.0,6703774.0,7000000.0,9917273.0,20527192.0
Earnings Before Tax Margin,-0.0449388743272,-0.04,0.110714089385,0.10909090909091,-0.0389427220728,-0.052631578947368,0.134857072449,0.125,0.230145554445,0.24137931034483,0.134047330965,0.477601225451
Net Profit Margin,-0.0412173112707,-0.04,0.109046598135,0.10909090909091,-0.0390733147021,-0.052631578947368,0.104423361262,0.09375,0.229373514103,0.24137931034483,0.383968106087,0.476689006306
