Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,285690448.6252,346542472.7932,276668538.5169,175382991.8348,179489183.0804,178211671.6123,182332424.6312,124993972.0812,187541818.1818,140238318.4415
Short-term investments,993615918.958,731491837.9686,598893880.4896,589361731.6284,552252179.5286,343218595.45,225921263.6305,201513800.7614,61658030.303,37690054.1966
Cash and short-term investments,1279306367.5832,1078034310.7618,875562419.0065,764744723.4632,731741362.609,521430267.0623,408253688.2617,326507772.8426,249199848.4848,177928372.6381
Receivables,33294500.7236,28243802.9021,16018142.5486,15079340.6255,12055214.7239,10354104.8467,8449005.7729,6933375.6345,5058484.8485,2628680.2402
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1400432706.2229,1190786124.5466,967542836.5731,856616545.9868,814621246.3675,590277283.2179,463028062.8608,366892607.868,266683333.3333,187131097.1144
Property, Plant & Equipment Net,76269175.1085,75248639.6614,75815838.7329,86181482.0521,83880852.4378,85604516.9799,45005933.2906,30475888.3249,30711969.697,26650505.3464
Goodwill and Intangible Assets,185321273.5166,178881197.0979,41902663.7869,42135110.1525,1242492.7349,602044.1807,628447.7229,680520.3046,728030.303,776475.758
Long-term investments,105513024.602,65581318.0169,27216270.6983,3512555.8466,0.0,0.0,0.0,0.0,2338333.3333,2330745.5691
Tax assets,2171490.5933,1951632.4063,110151.1879,374056.3858,1668065.8702,1712660.7319,1385984.6055,1765228.4264,1039242.4242,771495.5324
Total non-current assets,370683936.3242,324288240.6288,146339092.8726,132793714.3737,86528253.1482,89411308.935,56754169.3393,38887214.467,34530303.0303,34418045.9938
Total assets,1771116642.547,1515074365.1753,1113881929.4456,989410260.3605,901149499.5157,679688592.153,519782232.2001,405779822.335,301213636.3636,221549143.1082
Payables,145015774.2402,111694830.7134,76393376.5299,58930827.2993,47648853.7294,38878338.2789,19357119.9487,9695272.8426,10006363.6364,3705580.7822
Short-term debt,249664544.1389,0.0,181095608.3513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,609184949.3488,308744558.6457,389204031.6775,175017408.7198,155630287.3749,129556379.822,91941789.6087,71460818.5279,50238030.303,27444851.3256
Long-term debt,0.0,252111094.3168,0.0,170832999.5378,179400548.9183,0.0,0.0,0.0,0.0,0.0
Total debt,249664544.1389,252111094.3168,181095608.3513,170832999.5378,179400548.9183,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,58255426.9175,53216747.2793,30662634.9892,22946695.4244,19855343.8812,13861358.391,10879249.5189,8977633.2487,6269393.9394,2447194.9612
Deposit Liabilities,162995658.466,141774637.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,30499565.8466,270452690.4474,8231245.5004,177493760.5916,181433645.4634,986317.1777,318313.0212,312817.2589,239848.4848,148088.4722
Total liabilities,639684515.1954,579197249.0931,397435277.1778,352511169.3114,337063932.8382,130542696.9997,92260102.6299,71773635.7868,50477878.7879,27592939.7979
Other comprehensive income,36785094.0666,20699365.1753,4648236.1411,373132.029,247336.1317,254038.9054,261225.1443,259835.0254,198939.3939,156291.1967
Retained earnings (deficit),758710709.1172,603654322.8537,521584161.2671,470890771.8379,394081691.96,330425486.3172,241377966.6453,164140069.797,98295757.5758,60573311.85
Total shareholders equity,1095403907.3806,899996977.0254,715254571.6343,635501771.6839,564085566.6774,549145895.1533,427522129.5702,334006186.5482,250735757.5758,193956203.3104
Investments,1099128943.5601,797073155.9855,626110151.1879,592874287.475,552252179.5286,343218595.45,225921263.6305,201513800.7614,63996363.6364,40020799.7656
Net Debt,-1034293664.5258,,,,,,,,,
Other Assets,94399131.6932,,,,,,,,,
Other Liabilities,214504630.9697,197049727.9323,131715046.7963,116086581.4205,107981433.6455,90678041.5431,72584669.66,61765545.6853,40231666.6666,23739270.5434
