date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1097276000.0,532318000.0,1252319000.0,371889000.0,565978000.0,618057000.0,438910000.0,500600000.0,470100000.0,386500000.0,234700000.0,112500000.0,76600000.0,103600000.0,99300000.0,61400000.0,61100000.0,32600281.8528,3945771.66624
,depreciationAndAmortization,137009000.0,135273000.0,95569000.0,63667000.0,62776000.0,55948000.0,48227000.0,33691000.0,28996000.0,28004000.0,29387000.0,31191000.0,26019000.0,21038630.4,19006811.72,16311852.7965,10619541.946,7908124.97315,4531007.088
,deferredIncomeTax,-5880000.0,-3587000.0,18531000.0,12787000.0,14419000.0,18129000.0,6667000.0,2252000.0,2498000.0,-3880000.0,-1020000.0,-2259000.0,3623000.0,-854694.36,1514352.475,1522710.541,-3238437.11445,-38650.68235,-2187598.53312
,stockBasedCompensation,143806000.0,126149000.0,104965000.0,85968000.0,86070000.0,85945000.0,81380000.0,64858000.0,50538000.0,37974000.0,23962000.0,27020000.0,27434000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,71872000.0,133254000.0,368819000.0,396507000.0,266567000.0,92558000.0,57002000.0,136375000.0,15574000.0,22963000.0,50337000.0,44588000.0,-32457000.0,21593816.48,27067212.23,16650584.5625,16712831.53835,6795367.772,7156011.09024
,accountsReceivables,-38570000.0,-59171000.0,-54905000.0,-74356000.0,-20071000.0,-25030000.0,-13666000.0,-10909000.0,-10555000.0,-11123000.0,-15412000.0,503000.0,10182000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,34589000.0,-1502000.0,14958000.0,2565000.0,7474000.0,750000.0,-522000.0,6013000.0,-3523000.0,5357000.0,5657000.0,-817000.0,-63000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,50086000.0,-17782000.0,188319000.0,234523000.0,91795000.0,72716000.0,77189000.0,73547000.0,47870000.0,102810000.0,69701000.0,29258000.0,11418000.0,9080214.44,117601.895,227672.7,-563501.94865,-723096.4025,-25157.08512
,otherNonCashItems,-19189000.0,752073000.0,0.0,0.0,0.0,0.0,47522000.0,0.0,0.0,0.0,0.0,0.0,0.0,29695150.2,28543871.59,14559273.5635,8.27815,0.0,-8.27808
,netCashProvidedByOperatingActivites,1405307000.0,1761773000.0,1792942000.0,1441703000.0,1086877000.0,864450000.0,755614000.0,746611000.0,574560000.0,496955000.0,344208000.0,214455000.0,119867000.0,193591925.08,185072578.6475,122075825.013,105812463.96285,65966698.20995,22254045.2448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-47327000.0,-25919000.0,-87053000.0,-23655000.0,-20328000.0,-86434000.0,-33287000.0,-222108000.0,-136760000.0,-58870000.0,-23253000.0,-28747000.0,-24336000.0,-32507606.0,-154825623.8925,-54413573.4625,-12006786.04485,-8839764.53045,-6347168.17152
,acquisitionsNet,0.0,0.0,-27923000.0,-734895000.0,-8450000.0,-231531000.0,0.0,0.0,1318000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-739052000.0,-1649905000.0,-2162061000.0,-673719000.0,-433539000.0,-419589000.0,-1338244000.0,-673119000.0,-138502000.0,-863400000.0,-149633000.0,-241210000.0,-24072000.0,-8802621.4,0.0,0.0,0.0,-10732348.29605,0.0
,salesMaturitiesOfInvestments,183435000.0,6285000.0,80500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10545604.115,0.0,0.0,0.0,0.0
,otherInvestingActivites,-1941000.0,-8993000.0,-83660000.0,-1987000.0,-27011000.0,-6128000.0,-6611000.0,-1557000.0,-1129000.0,-1100000.0,-1564000.0,-2947000.0,-43000.0,0.0,0.0,0.0,-1797989.34555,-770944.109500002,-3304609.536
,netCashUsedForInvestingActivites,-604885000.0,-1678532000.0,-2280197000.0,-1434256000.0,-489328000.0,-743682000.0,-1378142000.0,-896784000.0,-275073000.0,-923370000.0,-174450000.0,-272904000.0,-48451000.0,-41310227.4,-144280019.7775,-54413573.4625,-13804775.3904,-20343056.936,-9651777.70752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4478014.04,6094050.3525,1546656.542,640964646.21535,746225.5536,25819008.67488
,commonStockRepurchased,0.0,0.0,-75000.0,0.0,0.0,-157272000.0,-153684000.0,0.0,0.0,-648000.0,-21300000.0,-47311000.0,-6248000.0,0.0,0.0,-75674925.8015,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,161133000.0,281376000.0,145196000.0,424415000.0,160493000.0,83476000.0,784904000.0,99681000.0,39818000.0,26560000.0,93148000.0,5062000.0,2147000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,161133000.0,281376000.0,145121000.0,424415000.0,160493000.0,-73796000.0,631220000.0,99681000.0,39818000.0,25912000.0,71848000.0,-42249000.0,-4101000.0,4478014.04,6094050.3525,-74128269.2595,640964646.21535,746225.5536,25819008.67488
