Date,2019-04-30,2018-04-30,2017-04-30,2016-04-30,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30
Revenue,146550000.0,158050000.0,138558000.0,128626000.0,118828000.0,111166000.0,117121000.0,102847000.0,100003000.0,99093000.0
Revenue Growth,-0.0728,0.1407,0.0772,0.0825,0.0689,-0.0508,0.1388,0.0284,0.0092,-0.047
Cost of Revenue,121231000.0,125891000.0,111951000.0,104918000.0,97062000.0,89134000.0,94863000.0,83691000.0,80719000.0,77690000.0
Gross Profit,25319000.0,32159000.0,26607000.0,23708000.0,21766000.0,22032000.0,22258000.0,19156000.0,19284000.0,21403000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,23207000.0,22240000.0,20065000.0,18010000.0,16540000.0,16068000.0,16981000.0,16443000.0,16127000.0,15576000.0
Operating Expenses,23207000.0,22240000.0,20065000.0,18010000.0,16540000.0,16068000.0,16981000.0,16443000.0,16127000.0,15576000.0
Operating Income,2112000.0,9919000.0,6542000.0,5698000.0,5226000.0,5964000.0,5277000.0,2713000.0,3157000.0,5827000.0
Interest Expense,367000.0,299000.0,292000.0,306000.0,325000.0,373000.0,362000.0,445000.0,199000.0,157000.0
Earnings before Tax,1975000.0,9442000.0,6641000.0,5664000.0,5274000.0,5878000.0,4584000.0,1770000.0,2714000.0,5493000.0
Income Tax Expense,446000.0,4161000.0,2126000.0,1862000.0,1745000.0,1983000.0,1540000.0,739000.0,864000.0,1921000.0
Net Income - Non-Controlling int,159000.0,177000.0,105000.0,75000.0,111000.0,108000.0,637000.0,769000.0,248000.0,178000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,1529000.0,5281000.0,4515000.0,3802000.0,3529000.0,3895000.0,3044000.0,1031000.0,1850000.0,3572000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,1529000.0,5281000.0,4515000.0,3802000.0,3529000.0,3895000.0,3044000.0,1031000.0,1850000.0,3572000.0
EPS,0.56,1.94,1.67,1.43,1.34,1.49,1.18,0.4,0.72,1.39
EPS Diluted,0.55,1.9,1.66,1.42,1.33,1.48,1.17,0.4,0.72,1.39
Weighted Average Shs Out,2746598.0,2724932.0,2711953.0,2684580.0,2628838.0,2616553.0,2591462.0,2579464.0,2578270.0,2572743.0
Weighted Average Shs Out (Dil),2742000.0,2720000.0,2705000.0,2667000.0,2626000.0,2608000.0,2587000.0,2579000.0,2575000.0,2564000.0
Dividend per Share,0.74,0.66,0.58,0.51,0.47,0.43,0.4,0.4,0.4,0.38
Gross Margin,0.1728,0.2035,0.192,0.1843,0.1832,0.1982,0.19,0.1863,0.1928,0.216
EBITDA Margin,0.034,0.079,0.07,0.067,0.069,0.079,0.065,0.047,0.054,0.081
EBIT Margin,0.016,0.0616,0.05,0.0464,0.0471,0.0562,0.0422,0.0215,0.0291,0.057
Profit Margin,0.01,0.033,0.033,0.03,0.03,0.035,0.026,0.01,0.018,0.036
Free Cash Flow margin,-0.0118,-0.0013,0.0653,0.0395,-0.0023,0.0544,0.0121,0.0534,-0.0398,0.003
EBITDA,4913000.0,12502000.0,9635000.0,8562000.0,8214000.0,8800000.0,7599000.0,4879000.0,5400000.0,7998000.0
EBIT,2342000.0,9741000.0,6933000.0,5970000.0,5599000.0,6251000.0,4946000.0,2215000.0,2913000.0,5650000.0
Consolidated Income,1688000.0,5458000.0,4620000.0,3877000.0,3640000.0,4003000.0,3681000.0,1800000.0,2098000.0,3750000.0
Earnings Before Tax Margin,0.0135,0.0597,0.0479,0.044,0.0444,0.0529,0.0391,0.0172,0.0271,0.0554
Net Profit Margin,0.0104,0.0334,0.0326,0.0296,0.0297,0.035,0.026,0.01,0.0185,0.036
