Date,2019-09-28,2018-09-29,2017-09-30,2016-10-01,2015-10-03,2014-09-27,2013-09-28,2012-09-29,2011-10-01,2010-10-02,2009-10-03
Cash and cash equivalents,364184000.0,320630000.0,392410000.0,547907000.0,498614000.0,587981000.0,521788000.0,440244000.0,378188000.0,178349000.0,144841000.0
Short-term investments,0.0,293000000.0,216000000.0,0.0,0.0,0.0,3252000.0,0.0,6364000.0,2985000.0,0.0
Cash and short-term investments,364184000.0,613630000.0,608410000.0,547907000.0,498614000.0,587981000.0,525040000.0,440244000.0,384552000.0,181334000.0,144841000.0
Receivables,195830000.0,243373000.0,198480000.0,130455000.0,108596000.0,171530000.0,162714000.0,188986000.0,138649000.0,196035000.0,95779000.0
Inventories,89308000.0,115191000.0,122023000.0,87295000.0,79096000.0,49694000.0,38135000.0,58994000.0,73092000.0,73893000.0,41489000.0
Total current assets,893751000.0,987273000.0,953382000.0,780942000.0,707369000.0,837691000.0,754388000.0,713316000.0,619841000.0,472690000.0,117174000.0
Property Plant & Equipment Net,72370000.0,76067000.0,67762000.0,50342000.0,53234000.0,52755000.0,47541000.0,28441000.0,26501000.0,30059000.0,36046000.0
Goodwill and Intangible Assets,98342000.0,109421000.0,118634000.0,132082000.0,138743000.0,47437000.0,52755000.0,61933000.0,71111000.0,65809000.0,75354000.0
Long-term investments,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,6409000.0,9017000.0,27771000.0,0.0,4126000.0,4291000.0,4487000.0,3515000.0,1651000.0,5443000.0,1786000.0
Total non-current assets,185865000.0,198467000.0,217725000.0,201502000.0,197097000.0,106757000.0,108606000.0,102293000.0,108550000.0,107479000.0,118772000.0
Total assets,1079616000.0,1185740000.0,1171107000.0,982444000.0,904466000.0,944448000.0,862994000.0,815609000.0,728391000.0,580169000.0,412635000.0
Payables,36711000.0,48527000.0,51354000.0,41813000.0,25521000.0,35132000.0,37030000.0,57231000.0,36321000.0,82353000.0,39908000.0
Short-term debt,60900000.0,9687000.0,10663000.0,11505000.0,9615000.0,8045000.0,6711000.0,0.0,105224000.0,0.0,48964000.0
Total current liabilities,174642000.0,174076000.0,192981000.0,118597000.0,73934000.0,81351000.0,77402000.0,123369000.0,214182000.0,125130000.0,123060000.0
Long-term debt,14207000.0,15187000.0,16074000.0,16701000.0,16483000.0,19102000.0,19396000.0,0.0,0.0,98475000.0,92217000.0
Total debt,75107000.0,24874000.0,26737000.0,28206000.0,26098000.0,27147000.0,26107000.0,0.0,105224000.0,98475000.0,141181000.0
Deferred revenue,1896000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,12494000.0,19571000.0,16780000.0,12830000.0,2442000.0,2488000.0,1504000.0,8192000.0,14261000.0,21634000.0,17894000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,103857000.0,105866000.0,58096000.0,29632000.0,31451000.0,33183000.0,32705000.0,48573000.0,44332000.0,132559000.0,118772000.0
Total liabilities,310553000.0,305533000.0,251077000.0,175926000.0,132575000.0,155206000.0,146329000.0,171942000.0,258514000.0,257689000.0,241832000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791000.0,1879000.0
Retained earnings (deficit),594625000.0,613529000.0,569080000.0,449975000.0,405505000.0,354866000.0,291878000.0,232520000.0,71940000.0,-55670000.0,-197812000.0
Total shareholders equity,769063000.0,880207000.0,920030000.0,806518000.0,771891000.0,789242000.0,716665000.0,643667000.0,469877000.0,322480000.0,170803000.0
Investments,5000000.0,293000000.0,216000000.0,0.0,0.0,0.0,3252000.0,0.0,6364000.0,2985000.0,0.0
Net Debt,-289077000.0,-295756000.0,-365673000.0,-519701000.0,-472516000.0,-560834000.0,-495681000.0,-440244000.0,-272964000.0,-82859000.0,-3660000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21428000.0,13352000.0
Other Liabilities,32054000.0,25591000.0,0.0,27697000.0,27190000.0,40672000.0,36222000.0,0.0,0.0,42777000.0,34188000.0
