Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,0.0,0.0,0.0,0.0
Stock-based compensation,1973000.0,65000.0,0.0,0.0
Operating Cash Flow,76830000.0,53801000.0,25406000.0,11542000.0
Capital Expenditure,0.0,0.0,0.0,0.0
Acquisitions and disposals,0.0,37310000.0,-10240000.0,-23887000.0
Investment purchases and sales,-1997213000.0,-1120987000.0,-445753000.0,-340146000.0
Investing Cash flow,-1997213000.0,-1083677000.0,-456448000.0,-364307000.0
Issuance (repayment) of debt,1919348000.0,520353000.0,317030000.0,121835000.0
Issuance (buybacks) of shares,76829000.0,575834000.0,205799000.0,256751000.0
Dividend payments,-88847000.0,-50579000.0,-21908000.0,-7545000.0
Financing Cash Flow,1903394000.0,1037050000.0,500602000.0,379490000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-16989000.0,7174000.0,69560000.0,26725000.0
Free Cash Flow,76830000.0,53801000.0,25406000.0,11542000.0
Net Cash/Marketcap,-2.5996,-1.7057,-1.7057,-1.7057
