date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,450900000.0,569700000.0,773500000.0,810600000.0,703400000.0,603700000.0,398600000.0,121200000.0,64056000.0,62633000.0,50536000.0,86235000.0,0.0,0.0
,costOfRevenue,149500000.0,214200000.0,334800000.0,331700000.0,253800000.0,200500000.0,137100000.0,26800000.0,6726000.0,397000.0,11526000.0,0.0,0.0,0.0
,grossProfit,301400000.0,355500000.0,438700000.0,478900000.0,449600000.0,403200000.0,261500000.0,94400000.0,57330000.0,62236000.0,39010000.0,86235000.0,0.0,0.0
,grossProfitRatio,0.668440895985806,0.624012638230648,0.567162249515191,0.590796940537873,0.63918112027296,0.667881398045387,0.656046161565479,0.778877887788779,0.894998126639191,0.993661488352785,0.771924964381827,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,179000000.0,194200000.0,219600000.0,219400000.0,231900000.0,198600000.0,155900000.0,101300000.0,75282000.0,58892000.0,53607000.0,93750000.0,533739.0,72845.0
,SellingAndMarketingExpenses,2800000.0,3800000.0,5900000.0,7200000.0,8000000.0,7300000.0,5600000.0,3600000.0,4550000.0,3965000.0,3186000.0,0.0,0.0,0.0
,otherExpenses,3600000.0,400000.0,12000000.0,8300000.0,6600000.0,-2500000.0,5100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,361400000.0,385600000.0,431600000.0,439100000.0,438100000.0,372200000.0,266000000.0,122300000.0,84769000.0,65655000.0,58411000.0,94872000.0,1420385.0,72845.0
,costAndExpenses,510900000.0,599800000.0,766400000.0,770800000.0,691900000.0,572700000.0,403100000.0,149100000.0,91495000.0,66052000.0,69937000.0,94872000.0,1420385.0,72845.0
,interestExpense,211200000.0,215100000.0,238200000.0,217700000.0,192100000.0,155700000.0,103400000.0,51700000.0,28595000.0,20507000.0,7634000.0,13174000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,179600000.0,187600000.0,206100000.0,212500000.0,198200000.0,166300000.0,104500000.0,17400000.0,4937000.0,2798000.0,1618000.0,1122000.0,0.0,0.0
,EBITDA,119600000.0,157500000.0,213200000.0,252300000.0,209700000.0,197300000.0,100000000.0,-10500000.0,-22502000.0,-621000.0,-17783000.0,-7515000.0,-1420385.0,-72845.0
,EBITDARatio,0.265247283211355,0.276461295418641,0.27563025210084,0.311250925240563,0.298123400625533,0.32681795593838,0.250878073256397,-0.0866336633663366,-0.35128637442238,-0.00991490109047946,-0.351887763178724,-0.0871455905374848,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-60000000.0,-30100000.0,7100000.0,39800000.0,11500000.0,31000000.0,-4500000.0,-27900000.0,-27439000.0,-3419000.0,-19401000.0,-8637000.0,-1420385.0,-72845.0
,operatingIncomeRatio,-0.133067198935462,-0.0528348253466737,0.00917905623787977,0.0490994325191216,0.0163491612169463,0.0513500082822594,-0.0112895132965379,-0.23019801980198,-0.428359560384663,-0.054587837082688,-0.383904543295868,-0.100156548965037,0.0,0.0
,totalOtherIncomeExpensesNet,422600000.0,607700000.0,501200000.0,299600000.0,271100000.0,237100000.0,230400000.0,82000000.0,50681000.0,12507000.0,36393000.0,-328000.0,0.0,0.0
,incomeBeforeTax,151400000.0,362500000.0,270100000.0,121700000.0,90500000.0,112400000.0,122500000.0,16500000.0,6841000.0,5121000.0,10212000.0,-13618000.0,2388303.0,1007696.0
,incomeBeforeTaxRatio,0.33577289864715,0.636299806915921,0.349191984486102,0.150135701949173,0.128660790446403,0.186185191320192,0.307325639739087,0.136138613861386,0.106797177469714,0.0817620104417799,0.202073769194238,-0.157917318954021,0.0,0.0
,incomeTaxExpense,43600000.0,41400000.0,58000000.0,-16300000.0,14000000.0,53400000.0,32400000.0,2900000.0,-208000.0,-2014000.0,3727000.0,-3961000.0,877088.0,392498.0
,netIncome,110100000.0,226700000.0,150000000.0,100500000.0,5600000.0,74700000.0,21900000.0,-6400000.0,4250000.0,6346000.0,3506000.0,-15336000.0,1511215.0,615198.0
,netIncomeRatio,0.244178310046574,0.397928734421625,0.193923723335488,0.123982235381199,0.00796133067955644,0.123736955441444,0.054942298043151,-0.0528052805280528,0.066348195329087,0.101320390209634,0.0693762862118094,-0.177839624282484,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.78788384353726,1.6,1.04971835636611,0.83,0.01,0.723406018658665,0.245513341772341,-0.21,-0.07,-0.05,-0.03,-0.57,0.05,0.05
,EPSDiluted,0.784482131175031,1.58,1.03624493959283,0.83,0.01,0.681857216214495,0.23919992148126,-0.21,-0.07,-0.05,-0.03,-0.57,0.05,0.05
