Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,84000000.0,31600000.0,57253000.0,50282000.0,45008000.0,29898000.0,23686000.0,42839000.0,20851000.0,9306000.0,12776000.0
Short-term investments,66100000.0,0.0,0.0,0.0,0.0,8563000.0,13074000.0,16411000.0,0.0,0.0,0.0
Cash and short-term investments,150100000.0,31600000.0,57253000.0,50282000.0,45008000.0,29898000.0,23686000.0,42839000.0,20851000.0,9306000.0,12776000.0
Receivables,505000000.0,529400000.0,521938000.0,417714000.0,308462000.0,295379000.0,170519000.0,133149000.0,0.0,75011000.0,52097000.0
Inventories,2433700000.0,2365300000.0,2132744000.0,1772587000.0,1470987000.0,1249659000.0,859019000.0,723326000.0,506484000.0,415228000.0,333628000.0
Total current assets,3070500000.0,2991400000.0,2782782000.0,2287194000.0,1878865000.0,1615509000.0,1081549000.0,933209000.0,648191000.0,508544000.0,418063000.0
Property Plant & Equipment Net,1611700000.0,1448000000.0,1185169000.0,1006130000.0,876660000.0,816745000.0,481212000.0,425086000.0,373779000.0,362433000.0,386054000.0
Goodwill and Intangible Assets,454600000.0,434900000.0,256320000.0,259399000.0,213220000.0,199375000.0,49511000.0,32047000.0,18958000.0,51379000.0,42428000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,159900000.0,87200000.0,22500000.0,59075000.0,23800000.0,2603000.0,10256000.0,17123000.0,29270000.0,42461000.0,40735000.0
Total non-current assets,3013400000.0,2392600000.0,1900284000.0,1556956000.0,1348434000.0,1265423000.0,643572000.0,559493000.0,497942000.0,463132000.0,477037000.0
Total assets,6083900000.0,5384000000.0,4683066000.0,3844150000.0,3227299000.0,2880932000.0,1725121000.0,1492702000.0,1146133000.0,971676000.0,895100000.0
Payables,125300000.0,126300000.0,111362000.0,88423000.0,70871000.0,70853000.0,51159000.0,41589000.0,31712000.0,23747000.0,18782000.0
Short-term debt,39300000.0,25900000.0,18876000.0,20965000.0,38891000.0,31912000.0,7083000.0,8182000.0,8221000.0,263338000.0,248790000.0
Total current liabilities,2569100000.0,2493500000.0,2300981000.0,1921994000.0,1590825000.0,1442600000.0,872511000.0,721304000.0,456584000.0,345869000.0,321177000.0
Long-term debt,1430600000.0,1358200000.0,1028476000.0,769916000.0,606463000.0,609066000.0,245471000.0,286876000.0,278653000.0,268693000.0,233065000.0
Total debt,1469900000.0,1384100000.0,1047352000.0,790881000.0,645354000.0,640978000.0,252554000.0,295058000.0,286874000.0,532031000.0,481855000.0
Deferred revenue,171500000.0,149600000.0,127300000.0,99600000.0,80200000.0,63400000.0,50100000.0,3990000.0,0.0,20158000.0,17981000.0
Tax Liabilities,0.0,0.0,0.0,0.0,1031000.0,1495000.0,0.0,0.0,0.0,0.0,1036000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1808600000.0,1693300000.0,1298867000.0,1011380000.0,808310000.0,765227000.0,319436000.0,347129000.0,327158000.0,305590000.0,266885000.0
Total liabilities,4616200000.0,4186800000.0,3599848000.0,2933374000.0,2399135000.0,2207827000.0,1190399000.0,1064601000.0,779012000.0,651459000.0,588062000.0
Other comprehensive income,46100000,35100000,11433000,41444000,39138000,30094000,22917000,12742000,11386000,-4869000.0,-3850000.0
Retained earnings (deficit),1401800000.0,1162100000.0,922662000.0,703820000.0,530893000.0,367879000.0,245088000.0,149173000.0,80877000.0,28839000.0,19039000.0
Total shareholders equity,1467700000.0,1197200000.0,1083218000.0,910776000.0,828164000.0,673105000.0,534722000.0,428101000.0,367121000.0,320217000.0,307038000.0
Investments,66100000.0,0.0,0.0,0.0,0.0,8563000.0,13074000.0,16411000.0,0.0,0.0,0.0
Net Debt,1385900000.0,1352500000.0,990099000.0,740599000.0,600346000.0,611080000.0,228868000.0,252219000.0,266023000.0,522725000.0,469079000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8999000.0,19562000.0
Other Liabilities,238500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58784000.0,53605000.0
