Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31,2010-01-31
Depreciation & Amortization,965000.0,775000.0,1194000.0,986000.0,1109000.0,1606993.0,1550865.0,1939469.0,1976596.0,1744113.0
Stock-based compensation,744000.0,424000.0,276000.0,586000.0,1203000.0,197744.0,332761.0,543542.0,676304.0,198588.0
Operating Cash Flow,1785000.0,648000.0,11493000.0,-518000.0,2926000.0,-3881373.0,1387373.0,-4459.0,-1027100.0,18677709.0
Capital Expenditure,-3103000.0,-905000.0,-413000.0,-389000.0,-938000.0,-828894.0,-1384539.0,-4871932.0,-1698500.0,-1192251.0
Acquisitions and disposals,0.0,0.0,0.0,-2286000.0,0.0,724402.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-3103000.0,-905000.0,-413000.0,-2675000.0,-938000.0,-104492.0,-584539.0,-4871932.0,-1698500.0,-1192251.0
Issuance (repayment) of debt,-360000.0,-4159000.0,-7684000.0,4416000.0,-9765000.0,1916944.0,97679.0,5006939.0,1874530.0,-14979892.0
Issuance (buybacks) of shares,-1165000.0,10114000.0,41000.0,40000.0,0.0,0.0,0.0,-339371.0,-1659673.0,-74226.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-1551000.0,5579000.0,-7664000.0,3706000.0,261000.0,1860573.0,-30134.0,4616379.0,3516438.0,-15147519.0
Effect of forex changes on cash,-88000.0,101000.0,-73000.0,-200000.0,-95000.0,-56573.0,22723.0,17981.0,190287.0,0.0
Net cash flow / Change in cash,-2957000.0,5423000.0,3343000.0,313000.0,2154000.0,-2181865.0,1025924.0,-242031.0,981125.0,2337939.0
Free Cash Flow,-1318000.0,-257000.0,11080000.0,-907000.0,1988000.0,-4710267.0,2834.0,-4876391.0,-2725600.0,17485458.0
Net Cash/Marketcap,0.1275,0.1233,0.0581,-0.0643,-0.0411,-0.373,-0.4215,-0.2531,-0.15,-0.1328
