Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-03-31
Depreciation & Amortization,54764000.0,46208000.0,29882000.0,0.0,10258000.0,1663000.0,0.0,0.0
Stock-based compensation,75087000.0,70983000.0,69244000.0,0.0,37150000.0,6490000.0,0.0,0.0
Operating Cash Flow,-638950000.0,-590814000.0,545000.0,0.0,49920000.0,1139000.0,0.0,0.0
Capital Expenditure,52976000.0,44615000.0,51842000.0,0.0,20572000.0,10435000.0,0.0,0.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-109464000.0,-0.0,-0.0,-0.0
Investment purchases and sales,-136445000.0,0.0,-29485000.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,878736000.0,933813000.0,-422957000.0,0.0,-1257075000.0,-1120615000.0,52551000.0,0.0
Issuance (repayment) of debt,-139206000.0,-42834000.0,-0.0,-0.0,-50000000.0,-0.0,-0.0,-0.0
Issuance (buybacks) of shares,0.0,0.0,-19485000.0,0.0,-869780000.0,-49299000.0,-52551000.0,0.0
Dividend payments,-318000.0,-72000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Financing Cash Flow,-240017000.0,-456882000.0,314483000.0,0.0,2027636000.0,1116224000.0,0.0,0.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,372974000.0,-113883000.0,-107929000.0,0.0,820481000.0,-3252000.0,52551000.0,0.0
Free Cash Flow,-691926000.0,-635429000.0,-51297000.0,0.0,29348000.0,-9296000.0,0.0,0.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
