Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,0.0,0.0,
Stock-based compensation,0.0,0.0,
Operating Cash Flow,-2499000.0,-23000.0,-23000.0
Capital Expenditure,0.0,0.0,0.0
Acquisitions and disposals,0.0,0.0,
Investment purchases and sales,0.0,-300000000.0,
Investing Cash flow,0.0,-300000000.0,-300000000.0
Issuance (repayment) of debt,0.0,183000.0,1200.0
Issuance (buybacks) of shares,0.0,308276000.0,30000.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,1927000.0,301749000.0,31200.0
Effect of forex changes on cash,0.0,0.0,
Net cash flow / Change in cash,-572000.0,1726000.0,
Free Cash Flow,-2499000.0,-23000.0,
Net Cash/Marketcap,0.0027,0.0038,
