Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31
Revenue,2903259000.0,3140322000.0,2886902000.0,2660844000.0,2819106000.0,2741757000.0,387966000.0,448863000.0,2784317000.0,2634879000.0
Revenue Growth,-0.0754900293664153,0.0877826819199266,0.0849572541644681,-0.0561390738766119,0.0282114716949752,6.06700329410309,-0.135669458164295,-0.838788830438488,0.0567153178571008,-0.2152
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,-305897000.0,481217000.0,-121438000.0,-104723000.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,3047654000.0,-93251000.0,570301000.0,2889040000.0,2634879000.0
R&D Expenses,228138000.0,212798000.0,208885000.0,197857000.0,182438000.0,157872000.0,149645000.0,164712000.0,161969000.0,0.0
SG&A Expense,1398047000.0,1503000000.0,1374334000.0,1204817000.0,1232770000.0,1210387000.0,1188470000.0,1144309000.0,1185353000.0,2123294000.0
Operating Expenses,2800157000.0,2816321000.0,2464659000.0,2610013000.0,2320887000.0,2616761000.0,2565370000.0,2444651000.0,2502232000.0,2313696000.0
Operating Income,103102000.0,324001000.0,422243000.0,50831000.0,498219000.0,430893000.0,-431540000.0,342455000.0,386808000.0,321183000.0
Interest Expense,-117341000.0,-117872000.0,113173000.0,48463000.0,58274000.0,52911000.0,62919000.0,87584000.0,92157000.0,126273000.0
Earnings before Tax,28495000.0,233840000.0,370878000.0,-25218000.0,367993000.0,272246000.0,-383681000.0,293219000.0,365197000.0,323033000.0
Income Tax Expense,20561000.0,-102510000.0,84175000.0,7692000.0,125284000.0,137805000.0,-150859000.0,72052000.0,119434000.0,118676000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6623000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-28508000.0,285075000.0,227256000.0,-25032000.0,237080000.0,284784000.0,-353327000.0,220817000.0,253923000.0,204357000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-28508000.0,285075000.0,227256000.0,-25032000.0,237080000.0,284784000.0,-353327000.0,220817000.0,253923000.0,204357000.0
EPS,-0.38,3.03,2.19,-0.25,2.06,2.34,-2.65,1.54,1.63,1.33
EPS Diluted,-0.38,3.01,2.18,-0.25,2.04,2.33,-2.65,1.54,1.63,1.32
Weighted Average Shs Out,85423000.0,90734000.0,100580000.0,107406000.0,112019000.0,121941000.0,133226000.0,143292000.0,155321000.0,161455646.0
Weighted Average Shs Out (Dil),85423000.0,91194000.0,100799000.0,107406000.0,113246000.0,122383000.0,133226000.0,143349000.0,155484000.0,161455646.0
Dividend per Share,1.34344380319,1.1204465206,0.872002698439,0.782945086867,0.625320099606,0.506328493336,0.414708840617,0.304166753866,0.172448612076,0.12
Gross Margin,0.0,0.0,0.0,0.0,0.0,1.11156969783,-0.240358691226,1.27054580128,1.03761173746,1.0
EBITDA Margin,0.0598775376224,0.127312740541,0.172075463594,0.040584115416,0.194753230279,0.180080875147,-0.885881752525,0.961758933127,0.174196041615,0.214
EBIT Margin,0.0355125050848,0.103174451537,0.146261632712,0.0191033371366,0.176729431245,0.15715944192,-1.11231396566,0.762938803154,0.138923836618,0.1705
Profit Margin,-0.00981930995478,0.0907789073859,0.0787196794349,-0.00940754136657,0.0840975827088,0.103869161271,-0.910716402984,0.491947431622,0.0911975899296,0.078
Free Cash Flow margin,0.210866822423,0.168862301382,0.173125031608,0.155635204469,0.185287463472,0.144750975378,0.683000572215,1.03583275966,0.136204318689,0.5044
EBITDA,173840000.0,399803000.0,496765000.0,107988000.0,549030000.0,493738000.0,-343692000.0,431698000.0,485017000.0,563384000.0
EBIT,103102000.0,324001000.0,422243000.0,50831000.0,498219000.0,430893000.0,-431540000.0,342455000.0,386808000.0,449306000.0
Consolidated Income,-28508000.0,285075000.0,227256000.0,-25032000.0,237080000.0,284784000.0,-353327000.0,220817000.0,253923000.0,210980000.0
Earnings Before Tax Margin,0.0098148322282,0.074463701493,0.128469203319,-0.00947744399897,0.130535354116,0.0992961812444,-0.988955217725,0.653248318529,0.131162148563,0.1226
Net Profit Margin,-0.00981930995478,0.0907789073859,0.0787196794349,-0.00940754136657,0.0840975827088,0.103869161271,-0.910716402984,0.491947431622,0.0911975899296,0.0776
