date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,947257000.0,449723000.0,257573000.0,208542000.0,205876000.0,119317000.0,9283000.0,74300000.0,-228100000.0,71500000.0,128500000.0,65000000.0,107000000.0,231026000.0,229848000.0,181105000.0,149266000.0,132153000.0,98843000.0
,depreciationAndAmortization,82570000.0,73751000.0,67651000.0,56902000.0,50488000.0,52993000.0,49665000.0,66800000.0,67500000.0,72500000.0,76000000.0,70900000.0,52200000.0,49222000.0,40115000.0,34521000.0,32361000.0,31404000.0,30569000.0
,deferredIncomeTax,34484000.0,-159853000.0,-12257000.0,7141000.0,-2397000.0,6604000.0,2240000.0,-4800000.0,11600000.0,100000.0,-8700000.0,-17900000.0,-10400000.0,-2138000.0,-9691000.0,-4870000.0,-3587000.0,9338000.0,-387000.0
,stockBasedCompensation,86019000.0,54870000.0,50265000.0,44138000.0,35890000.0,27351000.0,25825000.0,25546000.0,25198000.0,31529000.0,34846000.0,-2814000.0,-6592000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,298466000.0,67717000.0,35237000.0,76613000.0,9450000.0,-45796000.0,78913000.0,86900000.0,-185400000.0,-29000000.0,252300000.0,-356000000.0,-13800000.0,57822000.0,45635000.0,-58793000.0,35634000.0,6400000.0,14408000.0
,accountsReceivables,-201220000.0,-15768000.0,-58798000.0,-26363000.0,-46553000.0,25513000.0,-8018000.0,-219000.0,44667000.0,29279000.0,-54684000.0,28489000.0,152496000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-427501000.0,60388000.0,-21551000.0,16047000.0,-15428000.0,31966000.0,-60510000.0,49471000.0,23954000.0,-36621000.0,-60482000.0,30942000.0,-9078000.0,-10230000.0,-11478000.0,-25425000.0,-35276000.0,-5307000.0,-32714000.0
,accountsPayables,553960000.0,-24250000.0,-19134000.0,17695000.0,24459000.0,-58104000.0,60413000.0,-21322000.0,-34069000.0,3622000.0,37714000.0,94155000.0,-123802000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,700334000.0,632617000.0,597380000.0,520767000.0,511317000.0,557113000.0,478200000.0,391300000.0,576700000.0,605700000.0,353400000.0,709400000.0,-10725000.0,-8637000.0,-5416000.0,0.0,0.0,0.0
,otherNonCashItems,3932000.0,38170000.0,49219000.0,38550000.0,27336000.0,13198000.0,147982000.0,28300000.0,244600000.0,50500000.0,29700000.0,22400000.0,24500000.0,84908000.0,6388000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,1458638000.0,425000000.0,305181000.0,346261000.0,288389000.0,185195000.0,178632000.0,205400000.0,117000000.0,196100000.0,156600000.0,365300000.0,200600000.0,393079000.0,303825000.0,152217000.0,213674000.0,166460000.0,145108000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-76189000.0,-39484000.0,-35930000.0,-39748000.0,-31804000.0,-56615000.0,-45253000.0,-46658000.0,-49240000.0,-47807000.0,-43039000.0,-39834000.0,-48263000.0,-57900000.0,-47246000.0,-54102000.0,-40541000.0,-24718000.0,-28657000.0
,acquisitionsNet,0.0,-91569000.0,-133814000.0,-88323000.0,-66987000.0,0.0,-926000.0,-650000.0,0.0,-18814000.0,-7300000.0,-388809000.0,-64430000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-16451000.0,-11964000.0,-32449000.0,-31962000.0,-84746000.0,-70358000.0,-1663000.0,-8450000.0,-87812000.0,-156036000.0,-19075000.0,0.0,0.0,-379793000.0,-416475000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,16181000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6470000.0,0.0,0.0,551787000.0,214724000.0,0.0,0.0,0.0,2072000.0
,otherInvestingActivites,0.0,0.0,18714000.0,31329000.0,84573000.0,66283000.0,-447000.0,333980000.0,84576000.0,171447000.0,23083000.0,0.0,0.0,-1151000.0,-537000.0,-1464000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-119982000.0,-130234000.0,-173345000.0,-128704000.0,-98964000.0,-59295000.0,-48289000.0,-46803000.0,-50181000.0,-51210000.0,-39861000.0,-427830000.0,-113120000.0,53221000.0,-270058000.0,-54706000.0,-71035000.0,-40208000.0,-24600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,20851000.0,15312000.0,0.0,0.0,0.0,10838000.0,9189000.0,14108000.0,14422000.0,16619000.0,-13630000.0,15268000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50603000.0,44706000.0,49206000.0,45985000.0,31404000.0,15629000.0
,commonStockRepurchased,-164952000.0,-28196000.0,-14392000.0,11188000.0,-44212000.0,-50591000.0,1397000.0,16900000.0,-74000000.0,-138400000.0,43000000.0,-97400000.0,-47800000.0,-219742000.0,-138095000.0,-241352000.0,-134525000.0,-79162000.0,-63822000.0
,dividendsPaid,-146705000.0,-124180000.0,-113971000.0,-104248000.0,-93093000.0,-85915000.0,-43767000.0,-36100000.0,-133500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-32082000.0,0.0,-12713000.0,7097000.0,30823000.0,14604000.0,-3424000.0,482854000.0,13633000.0,16662000.0,524355000.0,0.0,0.0,15231000.0,13076000.0,0.0,0.0,0.0,0.0
