Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,301071000.0,221321000.0,21505000.0,13698000.0,11137000.0,7704000.0,6100000.0,4403000.0,3719721.0,3201029.0
Stock-based compensation,65734000.0,67292000.0,31883000.0,23756000.0,24386000.0,19697000.0,8157000.0,3038000.0,3841872.0,2921612.0
Operating Cash Flow,404039000.0,316197000.0,92315000.0,85770000.0,74153000.0,30020000.0,28257000.0,32871000.0,36468553.0,24339042.0
Capital Expenditure,-65184000.0,-66341000.0,-15574000.0,-16594000.0,-10000000.0,-23999000.0,-6326000.0,-2668000.0,-4659228.0,-3373180.0
Acquisitions and disposals,-342072000.0,-21167000.0,-6083000.0,-107575000.0,-22449000.0,0.0,-14831000.0,-10000000.0,0.0,0.0
Investment purchases and sales,0.0,55598000.0,29147000.0,14707000.0,-297000.0,-376000.0,-5085000.0,-5066000.0,-60348800.0,-30010825.0
Investing Cash flow,-364862000.0,-31910000.0,7490000.0,-107974000.0,-32942000.0,-24368000.0,-29800000.0,-17760000.0,-65002910.0,-33165151.0
Issuance (repayment) of debt,200000000.0,-32032000.0,-30346000.0,59012000.0,0.0,0.0,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,-243313000.0,-62718000.0,-13628000.0,-296000.0,-18905000.0,-26727000.0,2682000.0,6207000.0,4834883.0,86156975.0
Dividend payments,-62202000.0,-52269000.0,-25466000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-136132000.0,-181493000.0,-79448000.0,49592000.0,-24288000.0,-28648000.0,9227000.0,12094000.0,5788886.0,86156975.0
Effect of forex changes on cash,-6762000.0,8080000.0,-2633000.0,-5205000.0,-5220000.0,321000.0,644000.0,-881000.0,-264543.0,46154.0
Net cash flow / Change in cash,-103717000.0,110874000.0,17724000.0,22183000.0,11703000.0,-22675000.0,8328000.0,26324000.0,-23010014.0,77377020.0
Free Cash Flow,338855000.0,249856000.0,76741000.0,69176000.0,64153000.0,6021000.0,21931000.0,30203000.0,31809325.0,20965862.0
Net Cash/Marketcap,-0.0123,0.0415,0.0676,0.0897,0.1685,0.2333,0.3884,0.212,0.1598,0.2949
