Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,256947000.0,255139000.0,37458000.0,58853000.0,51433000.0,5926000.0,87370000.0,197114000.0,165801000.0,168205000.0
Short-term investments,0.0,0.0,0.0,0.0,33667000.0,67333000.0,34917000.0,0.0,0.0,0.0
Cash and short-term investments,256947000.0,255139000.0,37458000.0,58853000.0,85100000.0,73259000.0,122287000.0,197114000.0,165801000.0,168205000.0
Receivables,0.0,0.0,0.0,0.0,0.0,33667000.0,67333000.0,362688000.0,319426000.0,248097000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77301000.0,71233000.0,83671000.0
Total current assets,264082000.0,269343000.0,40941000.0,61832000.0,86886000.0,90845000.0,129107000.0,515784000.0,519077000.0,467028000.0
Property, Plant & Equipment Net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203722000.0,235905000.0,207996000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8179000.0,11110000.0,20300000.0
Long-term investments,24574000.0,53430000.0,107950000.0,0.0,104792000.0,116820000.0,62517000.0,446235000.0,362556000.0,282033000.0
Tax assets,45197000.0,62671000.0,115830000.0,152676000.0,112898000.0,96942000.0,122117000.0,330433000.0,360239000.0,12715000.0
Total non-current assets,66218000.0,105368000.0,223290000.0,152786000.0,217740000.0,236895000.0,249885000.0,1320369000.0,1235832000.0,786424000.0
Total assets,330300000.0,374711000.0,264231000.0,214618000.0,304626000.0,327740000.0,378992000.0,1836153000.0,1754909000.0,1253452000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90323000.0,95952000.0,86809000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,4068000.0,3852000.0,6128000.0,14431000.0,15724000.0,9710000.0,71516000.0,402970000.0,439947000.0,441318000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227485000.0,261603000.0,291021000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,34505000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,28666000.0,80261000.0,87692000.0,91697000.0,113262000.0,110120000.0,121015000.0,485598000.0,414013000.0,380143000.0
Total liabilities,32734000.0,84113000.0,93820000.0,106128000.0,128986000.0,119830000.0,192531000.0,888568000.0,853960000.0,821461000.0
Other comprehensive income,-17620000.0,-37278000.0,-13836000.0,-28698000.0,-29221000.0,-20916000.0,-37394000.0,-154475000.0,-95873000.0,-62878000.0
Retained earnings (deficit),-695521000.0,-682831000.0,-826460000.0,-873660000.0,-803378000.0,-777549000.0,-794128000.0,94303000.0,-32374000.0,-519220000.0
Total shareholders equity,297566000.0,290598000.0,170411000.0,108490000.0,175640000.0,207910000.0,186461000.0,946459000.0,900320000.0,431991000.0
Investments,24574000.0,53430000.0,107950000.0,0.0,138459000.0,184153000.0,97434000.0,446235000.0,362556000.0,282033000.0
Net Debt,-256947000.0,-255139000.0,-37458000.0,-58853000.0,-85100000.0,-73259000.0,-122287000.0,-197114000.0,-165801000.0,-168205000.0
Other Assets,7135000.0,14204000.0,3483000.0,2979000.0,1786000.0,-16081000.0,-60513000.0,-121319000.0,-37383000.0,-32945000.0
Other Liabilities,4068000.0,3852000.0,6128000.0,14431000.0,15724000.0,9710000.0,71516000.0,312647000.0,343995000.0,354509000.0
