date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,102400000.0,121900000.0,181900000.0,126100000.0,128200000.0,151900000.0,162900000.0,155500000.0,136000000.0,114000000.0,102000000.0,146000000.0,72000000.0,85700000.0,68500000.0,41500000.0,33300000.0,17900000.0,-7400000.0,-21800000.0
,depreciationAndAmortization,362500000.0,359900000.0,296100000.0,279200000.0,272300000.0,244100000.0,215800000.0,148000000.0,143000000.0,132000000.0,132000000.0,111000000.0,101000000.0,48100000.0,45700000.0,37900000.0,34700000.0,34100000.0,32300000.0,28300000.0
,deferredIncomeTax,17300000.0,44700000.0,14400000.0,-22800000.0,20400000.0,24200000.0,-23100000.0,-29000000.0,-7000000.0,3000000.0,-14000000.0,45000000.0,-3000000.0,4400000.0,8900000.0,3000000.0,6900000.0,13600000.0,-13800000.0,-12400000.0
,stockBasedCompensation,25400000.0,22000000.0,35000000.0,29700000.0,25400000.0,27400000.0,24000000.0,22000000.0,22000000.0,23000000.0,18000000.0,13000000.0,6000000.0,9400000.0,6900000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-6800000.0,-120200000.0,-65600000.0,174400000.0,58100000.0,13200000.0,-1165800000.0,1299000000.0,70000000.0,265000000.0,7000000.0,-2038000000.0,0.0,-11200000.0,-32600000.0,-21600000.0,7300000.0,-39700000.0,-23400000.0,-20200000.0
,accountsReceivables,75500000.0,-123700000.0,38700000.0,-54300000.0,-27000000.0,-43300000.0,-29500000.0,-39100000.0,-3000000.0,-11000000.0,-8000000.0,-52000000.0,-25000000.0,-11100000.0,-15900000.0,0.0,0.0,0.0,0.0,0.0
,inventory,-31000000.0,-24800000.0,19900000.0,-18600000.0,-17100000.0,-9700000.0,-20100000.0,-5000000.0,-6000000.0,-2000000.0,-6000000.0,-11000000.0,9000000.0,-6600000.0,-4800000.0,-3200000.0,-600000.0,-1700000.0,-1100000.0,200000.0
,accountsPayables,33700000.0,45700000.0,-24700000.0,-14400000.0,-16300000.0,19500000.0,2900000.0,13200000.0,-10000000.0,-11000000.0,-29000000.0,21000000.0,23000000.0,8900000.0,1300000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,520300000.0,527100000.0,647300000.0,712900000.0,538500000.0,480400000.0,467200000.0,1633000000.0,334000000.0,264000000.0,-1000000.0,-8000000.0,2030000000.0,0.0,0.0,0.0,0.0,0.0,700000.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,2500000.0,200000.0,1600000.0,2200000.0,0.0,67300000.0
,netCashProvidedByOperatingActivites,471600000.0,435200000.0,627100000.0,412300000.0,354000000.0,382200000.0,401500000.0,374100000.0,350000000.0,346000000.0,240000000.0,261000000.0,296000000.0,148600000.0,104600000.0,114800000.0,114100000.0,83400000.0,57500000.0,45300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-474200000.0,-399500000.0,-274700000.0,-207100000.0,-185200000.0,-221400000.0,-219900000.0,-168700000.0,-166000000.0,-157000000.0,-164000000.0,-199000000.0,-170000000.0,-82000000.0,-70200000.0,-197800000.0,-35800000.0,-113800000.0,-64800000.0,-29300000.0
,acquisitionsNet,-5800000.0,-121100000.0,-619400000.0,-265600000.0,-188100000.0,-199700000.0,-121000000.0,-184900000.0,-81000000.0,-21000000.0,0.0,-281000000.0,-963000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-76100000.0,-233100000.0,-134500000.0,-222300000.0,-39100000.0,-95500000.0,-174600000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,186600000.0,233000000.0,152300000.0,221800000.0,40100000.0,94500000.0,173400000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1100000.0,700000.0,-26900000.0,-33000000.0,-2300000.0,-2200000.0,100000.0
,netCashUsedForInvestingActivites,-369500000.0,-520700000.0,-876300000.0,-473200000.0,-372300000.0,-422100000.0,-342100000.0,-353600000.0,-244000000.0,-185000000.0,-163000000.0,-484000000.0,-1100000000.0,-113600000.0,-86000000.0,-224700000.0,-68300000.0,-91800000.0,-67000000.0,-29300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-500000.0,-30000000.0,-7200000.0,-7200000.0,-20000000.0,-10000000.0,-400000.0,-13700000.0,-4000000.0,-5000000.0,-14000000.0,-1000000.0,-40000000.0,-79900000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200000.0,0.0,3000000.0,100400000.0,7200000.0,0.0,0.0
,commonStockRepurchased,-76100000.0,-233100000.0,-134500000.0,-222300000.0,-39100000.0,-95500000.0,-174600000.0,-152100000.0,-3000000.0,-118000000.0,0.0,0.0,0.0,0.0,-45700000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-9600000.0,160700000.0,483400000.0,-156000000.0,630300000.0,104200000.0,34400000.0,165500000.0,0.0,0.0,0.0,0.0,0.0,1900000.0,1000000.0,1000000.0,-1600000.0,-900000.0,22400000.0,-14900000.0
