Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,42460267.0,36981533.0,12802458.0,17464040.0,14116969.0,7778541.0,6340461.0,8939127.0,7216580.0,5228802.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,42460267.0,36981533.0,12802458.0,17464040.0,14116969.0,7778541.0,6340461.0,8939127.0,7216580.0,5228802.0
Receivables,13037068.0,5929042.0,10269012.0,11034557.0,5689615.0,5408281.0,7059635.0,5958086.0,7669625.0,7203203.0
Inventories,6873742.0,4634781.0,6848835.0,8863167.0,3364233.0,3346177.0,3336916.0,3330773.0,3106600.0,2890364.0
Total current assets,68228757.0,58801578.0,37097593.0,38750203.0,23886119.0,17312181.0,17440414.0,19335141.0,18703363.0,16612865.0
Property, Plant & Equipment Net,3627886.0,2854641.0,3482687.0,6614238.0,3497057.0,2060709.0,2426638.0,2816674.0,3204670.0,4129015.0
Goodwill and Intangible Assets,3403278.0,1727390.0,3869217.0,12678424.0,199277.0,288475.0,437839.0,539563.0,664418.0,580785.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,7369979.0,7421058.0,17899380.0,19381610.0,3698329.0,2391894.0,3017354.0,3584280.0,4172298.0,5145059.0
Total assets,75598736.0,66222636.0,54996973.0,58131813.0,27584448.0,19704075.0,20457768.0,22919421.0,22875661.0,21757924.0
Payables,2395984.0,2111077.0,2954742.0,4054425.0,1447177.0,1401764.0,1797571.0,1656602.0,2008183.0,1142267.0
Short-term debt,659901.0,1876998.0,1885461.0,1864792.0,695725.0,1566617.0,1554091.0,1675949.0,3697978.0,7510.0
Total current liabilities,12139454.0,14826135.0,15968356.0,15333662.0,8472832.0,7206390.0,6931659.0,8407347.0,10648367.0,5556132.0
Long-term debt,68978.0,674282.0,2534972.0,4326904.0,39582.0,735307.0,2253917.0,3808008.0,2611609.0,19062000.0
Total debt,728879.0,2551280.0,4420433.0,6191696.0,735307.0,2301924.0,3808008.0,5483957.0,6309587.0,19069510.0
Deferred revenue,0.0,0.0,837906.0,1109759.0,861081.0,691424.0,832822.0,1462603.0,1392602.0,1027016.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1104952.0,1858720.0,3938929.0,5891133.0,1609959.0,735307.0,2253917.0,3808008.0,2611609.0,19062000.0
Total liabilities,13244406.0,16684855.0,19907285.0,21224795.0,10082791.0,7941697.0,9185576.0,12215355.0,13259976.0,24618132.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-21305222.0,-32406189.0,-46874205.0,-44399455.0,-46630651.0,-51010357.0,-50104880.0,-48600741.0,-47080919.0,-44100258.0
Total shareholders equity,62354330.0,49537781.0,35089688.0,36907018.0,17501657.0,11762378.0,11272192.0,10704066.0,9615685.0,-2860208.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-41731388.0,-34430253.0,-8382025.0,-11272344.0,-13381662.0,-5476617.0,-2532453.0,-3455170.0,-906993.0,13840708.0
Other Assets,5857680.0,11256222.0,7177288.0,1388439.0,715302.0,779182.0,703402.0,1107155.0,710558.0,1290496.0
Other Liabilities,9083569.0,10838060.0,11128153.0,9414445.0,6329930.0,4238009.0,3579997.0,5074796.0,4942206.0,4406355.0
