Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,107933000.0,39886000.0,32495000.0,23750000.0,25639000.0,26193000.0,45346000.0,34390000.0,30635000.0,41153000.0
Short-term investments,0.0,0.0,0.0,0.0,,,,,,
Cash and short-term investments,107933000.0,39886000.0,32495000.0,23750000.0,,,,,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,112433000.0,43849000.0,36489000.0,28656000.0,,,,,,
Property, Plant & Equipment Net,13003000.0,11853000.0,11203000.0,9772000.0,9980000.0,9828000.0,8670000.0,8264000.0,8179000.0,8394000.0
Goodwill and Intangible Assets,17468000.0,17820000.0,4595000.0,4635000.0,4675000.0,4715000.0,4754000.0,4794000.0,4559000.0,4559000.0
Long-term investments,597000000000.0,463000000000.0,634000000000.0,1000000.0,,,,,,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,,,,,,,,,,
Total assets,1248398000.0,1106336000.0,787821000.0,735139000.0,677531000.0,647090000.0,670288000.0,654551000.0,632197000.0,558658000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,154000.0,0.0,0.0,0.0,,,,,,
Total current liabilities,1108267000.0,954435000.0,699456000.0,661356000.0,,,,,,
Long-term debt,9000000.0,9000000.0,9000000.0,9000000.0,,,,,,
Total debt,99201000.0,103772000.0,77796000.0,45764000.0,25432000.0,22418000.0,19508000.0,24223000.0,26953000.0,32665000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,1016067000.0,878194000.0,629934000.0,624447000.0,586112000.0,568836000.0,593335000.0,580962000.0,565251000.0,487106000.0
Total non-current liabilities,,,,,,,,,,
Total liabilities,1120108000.0,986473000.0,710861000.0,672835000.0,613664000.0,593617000.0,614851000.0,607298000.0,594175000.0,521951000.0
Other comprehensive income,-154000.0,1091000.0,1201000.0,2395000.0,2548000.0,-2237000.0,5391000.0,4541000.0,487000.0,562000.0
Retained earnings (deficit),56037000.0,47431000.0,41334000.0,37236000.0,32524000.0,27465000.0,22485000.0,18206000.0,15840000.0,14960000.0
Total shareholders equity,128290000.0,119863000.0,76960000.0,62304000.0,63867000.0,53473000.0,55437000.0,47253000.0,38022000.0,36707000.0
Investments,1084216000.0,1011769000.0,717552000.0,674952000.0,618510000.0,585822000.0,595126000.0,589038000.0,568049000.0,485371000.0
Net Debt,-98779000.0,,,,,,,,,
Other Assets,4500000.0,,,,,,,,,
Other Liabilities,1108113000.0,954435000.0,699456000.0,661356000.0,,,,,,
