date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,374607000.0,320087000.0,-5728000.0,144877000.0,73044000.0,74479000.0,177949000.0,112143000.0,116911000.0,191164000.0,152198000.0,403072000.0,-242119000.0,237832000.0,214817000.0,253259000.0,286208000.0,184321000.0,66105000.0,105339000.0,109366000.0,133709000.0,177526000.0,156306000.0,105764000.0,90301000.0
,depreciationAndAmortization,68463000.0,64730000.0,58791000.0,55343000.0,26385000.0,26478000.0,28054000.0,30587000.0,36974000.0,40657000.0,40735000.0,35692000.0,27037000.0,26324000.0,24262000.0,18781000.0,16192000.0,16126000.0,10233000.0,8477000.0,6926000.0,6896000.0,5444000.0,5157000.0,4067000.0,3736000.0
,deferredIncomeTax,31236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6443000.0,0.0,0.0,-27003000.0,0.0,0.0,0.0,-9000000.0,500000.0,1000000.0,5000000.0
,stockBasedCompensation,142000.0,123000.0,145000.0,60000.0,142000.0,5208000.0,4112000.0,974000.0,-370000.0,899000.0,812000.0,763000.0,652000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1833896000.0,228181000.0,-421266000.0,-239251000.0,-29525000.0,-249299000.0,5892000.0,-161692000.0,109322000.0,805436000.0,-4073960000.0,471742000.0,-367321000.0,114737000.0,98930000.0,118974000.0,194718000.0,134803000.0,2283377000.0,-115800000.0,-96700000.0,-23100000.0,-30800000.0,-147200000.0,-212200000.0,37269000.0
,accountsReceivables,44073000.0,92482000.0,-245718000.0,-57951000.0,-22531000.0,-41512000.0,-23934000.0,-20688000.0,-56588000.0,-7819000.0,-4192000.0,17138000.0,26436000.0,153000.0,-16600000.0,-29067000.0,-54495000.0,-45690000.0,-47339000.0,-23593000.0,-8248000.0,6400000.0,12800000.0,26800000.0,26100000.0,9400000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,51988000.0,26493000.0,6586000.0,-4178000.0,-10586000.0,-35086000.0,31019000.0,30367000.0,1197000.0,0.0,0.0,0.0,0.0,-45230000.0,113529000.0,262754000.0,41732000.0,299949000.0,300440000.0,126095000.0,53592000.0,29300000.0,5800000.0,89700000.0,49500000.0,31800000.0
,otherWorkingCapital,-259606000.0,-2093502000.0,-2321683000.0,-1900417000.0,-1661166000.0,-1631641000.0,-1382342000.0,-1388234000.0,-1226542000.0,-1335864000.0,-2141300000.0,1932660000.0,1460918000.0,1828239000.0,1713502000.0,1614572000.0,1495598000.0,1300880000.0,1166077000.0,-1117300000.0,-1001500000.0,-904800000.0,-881700000.0,-850900000.0,-703700000.0,-491500000.0
,otherNonCashItems,14291000.0,-27163000.0,13663000.0,42462000.0,-4059000.0,-1496000.0,-1954000.0,-10317000.0,-6181000.0,-4113000.0,4231000.0,-3774000.0,-5485000.0,-8153000.0,-66006000.0,-195346000.0,-16622000.0,-235400000.0,-186967000.0,-88401000.0,1200000.0,21814000.0,-10572000.0,-103525000.0,-51287000.0,252000.0
,netCashProvidedByOperatingActivites,605616000.0,519678000.0,383434000.0,341405000.0,287473000.0,190244000.0,246535000.0,209804000.0,148062000.0,158525000.0,91781000.0,189025000.0,64601000.0,216121000.0,361941000.0,489818000.0,468663000.0,444452000.0,342562000.0,199452000.0,153070000.0,188925000.0,192140000.0,268206000.0,196624000.0,136558000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-39953000.0,-40088000.0,-27959000.0,-19443000.0,-16979000.0,-20112000.0,-26037000.0,-18671000.0,-15177000.0,-18079000.0,-28886000.0,-36336000.0,-48513000.0,-42036000.0,-40644000.0,-42211000.0,-26185000.0,-35015000.0,-29389000.0,-18095000.0,-8342000.0,-9268000.0,-7164000.0,-6854000.0,-5971000.0,-4115000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,-115000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2108998000.0,-1909481000.0,-1733051000.0,-1610447000.0,-1983281000.0,-1715305000.0,-1467407000.0,-1448684000.0,-1007727000.0,-824898000.0,-705388000.0,-726205000.0,-1059816000.0,-2360779000.0,-3130759000.0,-2194853000.0,-1416614000.0,-1115570000.0,-902725000.0,-431538000.0,-378199000.0,-691485000.0,-1096343000.0,-971192000.0,-712984000.0,-596504000.0
,salesMaturitiesOfInvestments,1717088000.0,1542121000.0,1528469000.0,1436120000.0,1769921000.0,1643350000.0,1295713000.0,1446443000.0,948860000.0,961713000.0,759165000.0,842081000.0,1137185000.0,2310515000.0,1954532000.0,1748017000.0,1038533000.0,793265000.0,663489000.0,392731000.0,284247000.0,560702000.0,953558000.0,740310000.0,531493000.0,484474000.0
,otherInvestingActivites,20577000.0,6247000.0,10105000.0,1934000.0,3605000.0,2473000.0,3472000.0,1741000.0,2255000.0,2889000.0,6868000.0,3882000.0,4284000.0,-1686000.0,934735000.0,100570000.0,0.0,6709000.0,-1246000.0,-108381000.0,-200000.0,-3052000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-411286000.0,-401201000.0,-222436000.0,-185597000.0,-226720000.0,-81682000.0,-194035000.0,-18351000.0,-69745000.0,124615000.0,33100000.0,-31697000.0,34654000.0,-92876000.0,-281607000.0,-387266000.0,-403469000.0,-349193000.0,-267630000.0,-164720000.0,-106601000.0,-142187000.0,-138487000.0,-236571000.0,-220924000.0,-115651000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
