date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,revenue,77121000000.0,45977000000.0,34440000000.0,38956000000.0,38813000000.0,26027000000.0,26622000000.0,26419000000.0,18090000000.0,24746000000.0,24611000000.0,28804000000.0,28705000000.0,25192000000.0,23761000000.0,22429000000.0,19327000000.0,12095000000.0,12297000000.0,16231000000.0,14174468370.0,14107362999.0,10528407918.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,7510000000.0,10879000000.0,11474000000.0,9991000000.0,9752000000.0,8942000000.0,7138000000.0,6899000000.0,6714000000.0,6142000000.0,5830000000.0,6047000000.0,6007000000.0,5926000000.0,5691000000.0,5145000000.0,4624000000.0,3448000000.0,3422000000.0,2478000000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,389000000.0,406000000.0,360000000.0,402000000.0,358000000.0,287000000.0,311000000.0,299000000.0,257000000.0,302000000.0,268000000.0,314000000.0,306000000.0,275000000.0,246000000.0,349000000.0,234000000.0,248000000.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,72031000000.0,32178000000.0,54683000000.0,48995000000.0,30711000000.0,49127000000.0,13880000000.0,27796000000.0,49586000000.0,37728000000.0,38958000000.0,31239000000.0,28895000000.0,27896000000.0,26937000000.0,23217000000.0,14551000000.0,14615000000.0,0.0,0.0,0.0,0.0
