date,,2022-01-31_FY,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY
,revenue,23107000.0,21215000.0,42675000.0,42942000.0,48276000.0
,costOfRevenue,17085000.0,13906000.0,26054000.0,31202000.0,42192000.0
,grossProfit,6022000.0,7309000.0,16621000.0,11740000.0,6084000.0
,grossProfitRatio,0.2606136668542,0.344520386518972,0.389478617457528,0.273392017139397,0.126025354213274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,3596000.0,3003000.0,1850000.0,1159000.0,1502000.0
,GeneralAndAdministrativeExpenses,0.0,0.0,19716000.0,20905000.0,19663000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,2209000.0,16103000.0,4670000.0,2696000.0,3161000.0
,operatingExpenses,20566000.0,19106000.0,26236000.0,24760000.0,24326000.0
,costAndExpenses,37651000.0,33012000.0,52290000.0,55962000.0,66518000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2214000.0,4627000.0,7768000.0,11814000.0,16637000.0
,EBITDA,-12910000.0,-15143000.0,-2641000.0,-7774000.0,-3522000.0
,EBITDARatio,-0.558705154282252,-0.713787414565166,-0.0618863503222027,-0.181034884262494,-0.0729555058414119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-14544000.0,-14328000.0,-10375000.0,-13020000.0,-19708000.0
,operatingIncomeRatio,-0.629419656381183,-0.675371199622908,-0.243116578793204,-0.303199664663965,-0.408235976468639
,totalOtherIncomeExpensesNet,926000.0,862000.0,-34000.0,-6568000.0,-451000.0
,incomeBeforeTax,-13618000.0,-13466000.0,-10409000.0,-19588000.0,-20159000.0
,incomeBeforeTaxRatio,-0.589345220063184,-0.634739571058214,-0.243913298183948,-0.456150156024405,-0.417578092634021
,incomeTaxExpense,-39000.0,536000.0,878000.0,252000.0,910000.0
,netIncome,-15085000.0,-20306000.0,-11287000.0,-19840000.0,-21069000.0
,netIncomeRatio,-0.652832475007573,-0.957152957812868,-0.264487404803749,-0.462018536630804,-0.436428038777032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-9.54,-10.77247,-5.98783,-10.52526,-11.17725
,EPSDiluted,-9.54,-10.77247,-5.98783,-10.52526,-11.17725
,weightedAverageShsOut,1884990.0,1884990.0,1884990.0,1884990.0,1884990.0
,weightedAverageShsOutDil,1884990.0,1884990.0,1884990.0,1884990.0,1884990.0
