Date,2018-12-30,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29,2012-12-30,2011-12-25,2010-12-26,2009-12-27
Revenue,807226000.0,903592000.0,977093000.0,1056574000.0,1146552000.0,1214848000.0,1279844000.0,1351854000.0,1460948000.0,1471584000.0
Revenue Growth,-0.1066,-0.0752,-0.0752,-0.0785,-0.0562,-0.0508,-0.0533,-0.0747,-0.0072,-0.2257
Cost of Revenue,352625000.0,405026000.0,447790000.0,481152000.0,526682000.0,543532000.0,572265000.0,603581000.0,655821000.0,749405000.0
Gross Profit,454601000.0,498566000.0,529303000.0,575422000.0,619870000.0,671316000.0,707579000.0,748273000.0,805127000.0,722179000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,364038000.0,352830000.0,393015000.0,404347000.0,415682000.0,411621000.0,403260000.0,422630000.0,432840000.0,380778000.0
Operating Expenses,477554000.0,456401000.0,491987000.0,810790000.0,537547000.0,550372000.0,527608000.0,546958000.0,566244000.0,523667000.0
Operating Income,-22953000.0,42165000.0,37316000.0,-235368000.0,82323000.0,120944000.0,179971000.0,201315000.0,238883000.0,198512000.0
Interest Expense,81397000.0,81501000.0,83168000.0,85973000.0,127503000.0,135381000.0,151334000.0,165434000.0,177641000.0,127276000.0
Earnings before Tax,-81927000.0,-226899000.0,-47258000.0,-311959000.0,605219000.0,30462000.0,-23869000.0,62785000.0,41784000.0,77387000.0
Income Tax Expense,-2170000.0,105459000.0,-13065000.0,-11797000.0,231230000.0,11659000.0,-23725000.0,8396000.0,5601000.0,26800000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,1988000.0,-2359000.0,-3822000.0,0.0,-3083000.0,6174000.0
Net Income,-79757000.0,-332358000.0,-34193000.0,-300162000.0,373989000.0,18803000.0,-144000.0,54389000.0,36183000.0,50587000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-79757000.0,-332358000.0,-34193000.0,-300162000.0,373989000.0,18803000.0,-144000.0,54389000.0,36183000.0,50587000.0
EPS,-10.27,-43.55,-4.41,-34.66,43.09,2.2,0.0,6.4,4.3,6.1
EPS Diluted,-10.27,-43.55,-4.41,-34.66,42.33,2.2,0.0,6.3,4.3,6.1
Weighted Average Shs Out,7808841.0,7685135.0,7575085.0,8585929.0,8710234.0,8633957.0,8589103.0,8540636.0,8495600.0,8446816.0
Weighted Average Shs Out (Dil),7768000.0,7632000.0,7750000.0,8659000.0,8680000.0,8620100.0,8574400.0,8521100.0,8476000.0,8378500.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
Gross Margin,0.5632,0.5518,0.5417,0.5446,0.5406,0.5526,0.5529,0.5535,0.5511,0.4907
EBITDA Margin,0.094,-0.072,0.128,-0.118,0.738,0.237,0.197,0.259,0.242,0.236
EBIT Margin,-0.0007,-0.1609,0.0368,-0.2139,0.6391,0.1365,0.0996,0.1688,0.1502,0.1391
Profit Margin,-0.099,-0.368,-0.035,-0.284,0.326,0.015,0.0,0.04,0.025,0.034
Free Cash Flow margin,0.0254,0.0575,0.0733,-0.1332,0.1134,0.1049,0.016,-0.0285,0.1496,0.0808
EBITDA,75712000.0,-65269000.0,125356000.0,-124391000.0,846360000.0,287413000.0,251813000.0,349747000.0,352829000.0,347552000.0
EBIT,-530000.0,-145398000.0,35910000.0,-225986000.0,732722000.0,165843000.0,127465000.0,228219000.0,219425000.0,204663000.0
Consolidated Income,-79757000.0,-332358000.0,-34193000.0,-300162000.0,373989000.0,18803000.0,-144000.0,54389000.0,36183000.0,50587000.0
Earnings Before Tax Margin,-0.1015,-0.2511,-0.0484,-0.2953,0.5279,0.0251,-0.0186,0.0464,0.0286,0.0526
Net Profit Margin,-0.0988,-0.3678,-0.035,-0.2841,0.3262,0.0155,-0.0001,0.0402,0.0248,0.0344
