Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31,2010-01-31
Cash and cash equivalents,189911000.0,214811000.0,256279000.0,228188000.0,199852000.0,157659000.0,167889000.0,182201000.0,103016000.0,70975000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,33099000.0,0.0,0.0,0.0,0.0
Cash and short-term investments,189911000.0,214811000.0,256279000.0,228188000.0,199852000.0,190758000.0,167889000.0,182201000.0,103016000.0,70975000.0
Receivables,84026000.0,83098000.0,66847000.0,71030000.0,74106000.0,68683000.0,0.0,61235000.0,59768000.0,67785000.0
Inventories,165311000.0,151676000.0,153167000.0,162465000.0,170788000.0,181305000.0,0.0,163680000.0,181613000.0,204096000.0
Total current assets,468146000.0,481600000.0,504780000.0,489035000.0,485278000.0,485310000.0,167889000.0,432632000.0,374938000.0,380291000.0
Property Plant & Equipment Net,26067000.0,24671000.0,34173000.0,38553000.0,46673000.0,47796000.0,44501000.0,36290000.0,38525000.0,47394000.0
Goodwill and Intangible Assets,184216000.0,83393000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,24503000.0,6443000.0,24837000.0,20323000.0,13550000.0,14891000.0,22749000.0,14959000.0,8220000.0,0.0
Total non-current assets,291555000.0,163780000.0,103022000.0,96135000.0,97745000.0,93300000.0,358473000.0,73411000.0,69267000.0,89086000.0
Total assets,759701000.0,645380000.0,607802000.0,585170000.0,583023000.0,578610000.0,526362000.0,506043000.0,444205000.0,469377000.0
Payables,38650000.0,24364000.0,27192000.0,27308000.0,27767000.0,33598000.0,0.0,33080000.0,21487000.0,22661000.0
Short-term debt,300000.0,25000000.0,5000000.0,5000000.0,3900000.0,20400000.0,0.0,0.0,0.0,0.0
Total current liabilities,112683000.0,100296000.0,71402000.0,78182000.0,66072000.0,83593000.0,3602000.0,86393000.0,62897000.0,58363000.0
Long-term debt,50280000.0,300000.0,25000000.0,35000000.0,3900000.0,0.0,0.0,0.0,0.0,10000000.0
Total debt,50580000.0,25300000.0,30000000.0,40000000.0,7800000.0,20400000.0,0.0,0.0,0.0,10000000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,10831000.0,2989000.0,4149000.0,6257000.0,2657000.0,2740000.0,3602000.0,0.0,8288000.0,8415000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,146642000.0,75049000.0,62407000.0,65841000.0,36566000.0,29027000.0,27184000.0,25576000.0,24829000.0,39562000.0
Total liabilities,263046000.0,175045000.0,133809000.0,144618000.0,100814000.0,115306000.0,102672000.0,114677000.0,87726000.0,97925000.0
Other comprehensive income,0.0,0.0,0.0,0.0,25283000,43002000,49061000,41488000,93028000.0,67390000.0
Retained earnings (deficit),431180000.0,388739000.0,415919000.0,392788000.0,358006000.0,316334000.0,272094000.0,251695000.0,222685000.0,265856000.0
Total shareholders equity,496655000.0,470335000.0,473993000.0,440552000.0,482209000.0,463304000.0,423690000.0,391366000.0,354199000.0,369568000.0
Investments,0.0,0.0,0.0,0.0,0.0,33099000.0,0.0,0.0,0.0,0.0
Net Debt,-139331000.0,-189511000.0,-226279000.0,-188188000.0,-192052000.0,-137259000.0,-167889000.0,-182201000.0,-103016000.0,-60975000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30541000.0,37435000.0
Other Liabilities,3721000.0,0.0,0.0,595000.0,-1824000.0,2686000.0,71886000.0,2708000.0,41410000.0,35702000.0
