Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,213700000.0,215202000.0,190716000.0,212475000.0
Short-term investments,657451000.0,450525000.0,246339000.0,0.0
Cash and short-term investments,871151000.0,665727000.0,437055000.0,212475000.0
Receivables,16560000.0,11715000.0,8202000.0,0.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,887711000.0,677442000.0,445257000.0,294840000.0
Property Plant & Equipment Net,94840000.0,76162000.0,66692000.0,73133000.0
Goodwill and Intangible Assets,202049000.0,115556000.0,56023000.0,120174000.0
Long-term investments,657451000.0,113366000.0,74226000.0,60000000.0
Tax assets,1251000.0,12024000.0,5862000.0,10250000.0
Total non-current assets,4749962000.0,3735259000.0,2788466000.0,
Total assets,5637673000.0,4412701000.0,3233723000.0,2884824000.0
Payables,0.0,0.0,0.0,0.0
Short-term debt,124235000.0,156126000.0,131557000.0,0.0
Total current liabilities,125013000.0,156126000.0,131557000.0,2476293000.0
Long-term debt,640631000.0,496436000.0,237518000.0,111000000.0
Total debt,764866000.0,652562000.0,369075000.0,246632000.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,778000.0,0.0,0.0,0.0
Deposit Liabilities,4074170000.0,3131089000.0,2404366000.0,2367648000.0
Total non-current liabilities,641603000.0,496688000.0,246116000.0,
Total liabilities,5029148000.0,3963156000.0,2911953000.0,2651768000.0
Other comprehensive income,476614000,333118000,209712000,6029000.0
Retained earnings (deficit),133781000.0,114478000.0,112513000.0,90911000.0
Total shareholders equity,608525000.0,449545000.0,321770000.0,232880000.0
Investments,1314902000.0,563891000.0,320565000.0,2426363000.0
Net Debt,551166000.0,437360000.0,178359000.0,
Other Assets,0.0,0.0,0.0,
Other Liabilities,4262532000.0,3310342000.0,2534280000.0,2476293000.0
